"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","6,48","6,40","6,49","6,45","+0,00","0,18"
"2010-01-05","6,45","6,45","6,55","6,52","+1,09","0,64"
"2010-01-06","6,50","6,40","6,59","6,58","+0,92","0,79"
"2010-01-07","6,55","6,45","6,55","6,54","-0,61","0,20"
"2010-01-08","6,45","6,45","6,57","6,55","+0,15","0,30"
"2010-01-11","6,58","6,54","7,12","6,98","+6,56","3,16"
"2010-01-12","7,00","6,73","7,00","6,88","-1,43","1,21"
"2010-01-13","6,96","6,83","6,98","6,90","+0,29","0,19"
"2010-01-14","6,94","6,81","6,97","6,88","-0,29","0,28"
"2010-01-15","6,81","6,64","6,81","6,80","-1,16","0,36"
"2010-01-18","6,73","6,73","6,95","6,84","+0,59","0,14"
"2010-01-19","6,85","6,65","6,91","6,80","-0,58","0,48"
"2010-01-20","6,81","6,68","6,81","6,77","-0,44","1,21"
"2010-01-21","6,78","6,70","6,78","6,77","+0,00","0,40"
"2010-01-22","6,75","6,65","6,76","6,74","-0,44","0,41"
"2010-01-25","6,75","6,65","6,75","6,70","-0,59","0,16"
"2010-01-26","6,55","6,45","6,64","6,61","-1,34","0,50"
"2010-01-27","6,52","6,47","6,60","6,59","-0,30","0,27"
"2010-01-28","6,52","6,50","6,64","6,54","-0,76","0,29"
"2010-01-29","6,50","6,42","6,55","6,54","+0,00","0,26"
"2010-02-01","6,50","6,38","6,54","6,47","-1,07","0,22"
"2010-02-02","6,44","6,40","6,59","6,47","+0,00","0,18"
"2010-02-03","6,41","6,35","6,52","6,41","-0,93","0,17"
"2010-02-04","6,37","6,33","6,41","6,35","-0,94","0,19"
"2010-02-05","6,34","5,92","6,34","6,30","-0,79","0,66"
"2010-02-08","6,15","6,15","6,30","6,26","-0,63","0,33"
"2010-02-09","6,19","6,19","6,27","6,26","+0,00","0,56"
"2010-02-10","6,29","6,20","6,30","6,25","-0,16","0,26"
"2010-02-11","6,22","6,17","6,29","6,25","+0,00","0,23"
"2010-02-12","6,29","6,22","6,35","6,35","+1,60","0,11"
"2010-02-15","6,35","6,33","6,48","6,48","+2,05","0,37"
"2010-02-16","6,48","6,33","6,48","6,48","+0,00","0,21"
"2010-02-17","6,38","6,38","6,50","6,45","-0,46","0,36"
"2010-02-18","6,46","6,35","6,47","6,42","-0,47","0,45"
"2010-02-19","6,38","6,33","6,39","6,39","-0,47","0,17"
"2010-02-22","6,39","6,35","6,50","6,50","+0,00","0,38"
"2010-02-23","6,50","6,36","6,54","6,49","-0,15","0,40"
"2010-02-24","6,37","6,28","6,47","6,36","-2,00","0,44"
"2010-02-25","6,30","6,25","6,39","6,39","+0,47","0,29"
"2010-02-26","6,32","6,30","6,50","6,45","+0,94","0,29"
"2010-03-01","6,50","6,37","6,50","6,42","-0,47","0,19"
"2010-03-02","6,30","6,27","6,40","6,34","-1,25","0,29"
"2010-03-03","6,34","6,31","6,50","6,48","+2,21","0,46"
"2010-03-04","6,48","6,31","6,59","6,38","-1,54","1,64"
"2010-03-05","6,38","6,25","6,46","6,43","+0,78","1,26"
"2010-03-08","6,39","6,25","6,47","6,45","+0,31","1,67"
"2010-03-09","6,47","6,35","6,47","6,43","-0,31","0,53"
"2010-03-10","6,33","6,27","6,47","6,47","+0,62","1,46"
"2010-03-11","6,45","6,45","6,77","6,70","+3,55","1,22"
"2010-03-12","6,80","6,75","6,91","6,85","+2,24","0,69"
"2010-03-15","6,89","6,74","7,00","6,99","+2,04","1,64"
"2010-03-16","6,90","6,88","7,20","7,16","+2,43","1,23"
"2010-03-17","7,15","6,95","7,24","7,00","-2,23","0,94"
"2010-03-18","7,00","6,62","7,00","6,90","-1,43","0,88"
"2010-03-19","6,90","6,66","6,90","6,90","+0,00","0,75"
"2010-03-22","6,88","6,80","6,88","6,87","-0,43","0,32"
"2010-03-23","6,80","6,80","7,02","6,98","+1,60","0,80"
"2010-03-24","7,04","6,95","7,36","7,02","+0,57","0,84"
"2010-03-25","7,10","6,96","7,20","7,13","+1,57","0,45"
"2010-03-26","7,20","7,04","7,20","7,09","-0,56","0,19"
"2010-03-29","7,10","6,96","7,10","7,04","-0,71","0,20"
"2010-03-30","6,96","6,96","7,09","7,09","+0,71","0,41"
"2010-03-31","7,06","6,96","7,07","7,00","-1,27","0,82"
"2010-04-01","6,85","6,85","7,10","7,10","+1,43","0,32"
"2010-04-06","7,08","6,91","7,25","7,09","-0,14","0,92"
"2010-04-07","7,12","6,94","7,19","6,99","-1,41","0,28"
"2010-04-08","7,01","6,67","7,11","7,00","+0,14","1,10"
"2010-04-09","7,01","6,84","7,04","7,00","+0,00","0,42"
"2010-04-12","7,03","6,90","7,03","7,00","+0,00","0,17"
"2010-04-13","7,00","6,90","7,00","6,96","-0,57","0,26"
"2010-04-14","6,95","6,87","7,05","7,04","+1,15","0,50"
"2010-04-15","7,07","6,98","7,25","7,20","+2,27","1,91"
"2010-04-16","7,24","6,94","7,24","6,94","-3,61","0,51"
