"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","15,70","14,20","15,70","14,48","+0,00","0,04"
"2010-01-05","14,00","14,00","14,00","14,00","-3,31","0,00"
"2010-01-06","14,05","14,02","14,05","14,02","+0,14","0,01"
"2010-01-07","14,00","13,16","14,01","14,00","-0,14","0,02"
"2010-01-08","14,00","13,50","14,00","14,00","+0,00","0,33"
"2010-01-11","13,60","13,40","14,00","14,00","+0,00","0,04"
"2010-01-12","14,00","13,46","14,00","13,98","-0,14","0,02"
"2010-01-13","13,64","13,64","13,98","13,98","+0,00","0,00"
"2010-01-14","13,50","13,50","13,99","13,99","+0,07","0,03"
"2010-01-15","13,56","13,56","13,72","13,72","-1,93","0,01"
"2010-01-18","13,46","13,46","13,90","13,85","+0,95","0,04"
"2010-01-19","13,70","13,50","13,95","13,95","+0,72","0,03"
"2010-01-20","13,60","13,60","13,94","13,94","-0,07","0,02"
"2010-01-21","13,90","13,61","14,05","13,80","-1,00","0,23"
"2010-01-22","14,00","13,50","14,00","13,69","-0,80","0,02"
"2010-01-25","13,68","13,21","13,68","13,65","-0,29","0,02"
"2010-01-26","13,80","13,20","13,80","13,41","-1,76","0,06"
"2010-01-27","13,62","13,40","13,62","13,54","+0,97","0,00"
"2010-01-28","13,63","13,17","13,63","13,43","-0,81","0,01"
"2010-01-29","13,40","13,40","13,40","13,40","-0,22","0,00"
"2010-02-01","13,49","13,17","13,49","13,17","-1,72","0,00"
"2010-02-02","13,39","13,00","13,39","13,39","+1,67","0,01"
"2010-02-03","13,49","13,39","13,50","13,40","+0,07","1,37"
"2010-02-04","13,80","13,80","13,80","13,80","+2,99","0,00"
"2010-02-05","13,80","13,10","13,80","13,80","+0,00","1,44"
"2010-02-08","13,90","13,12","13,90","13,65","-1,09","0,01"
"2010-02-09","13,65","13,10","13,76","13,76","+0,81","0,03"
"2010-02-10","13,95","13,11","13,95","13,95","+1,38","0,03"
"2010-02-11","13,98","13,40","13,98","13,80","-1,08","0,05"
"2010-02-12","13,60","13,60","13,99","13,61","-1,38","0,06"
"2010-02-15","13,99","13,98","14,15","14,15","+3,97","0,09"
"2010-02-16","14,36","14,00","14,45","14,45","+2,12","0,03"
"2010-02-17","14,44","14,40","15,40","15,40","+6,57","0,14"
"2010-02-18","15,67","15,50","15,67","15,50","+0,65","0,01"
"2010-02-19","15,30","14,70","15,67","15,67","+1,10","0,05"
"2010-02-22","15,68","15,50","15,68","15,67","+0,00","0,01"
"2010-02-23","15,60","15,00","15,60","15,38","-1,85","0,04"
"2010-02-24","15,32","15,31","15,32","15,32","-0,39","0,03"
"2010-02-25","15,30","15,25","15,40","15,40","+0,52","0,06"
"2010-02-26","15,45","15,10","15,45","15,45","+0,32","0,03"
"2010-03-01","15,50","15,10","15,50","15,35","-0,65","0,01"
"2010-03-02","15,40","15,35","15,60","15,60","+1,63","0,09"
"2010-03-03","15,40","15,40","15,40","15,40","-1,28","0,00"
"2010-03-04","15,34","15,34","15,34","15,34","-0,39","0,00"
"2010-03-05","15,25","14,90","15,25","15,20","-0,91","0,03"
"2010-03-08","15,25","15,25","15,25","15,25","+0,33","0,00"
"2010-03-09","15,14","14,80","15,14","15,12","-0,85","0,02"
"2010-03-10","15,10","15,10","15,10","15,10","-0,13","0,01"
"2010-03-11","15,14","15,00","15,14","15,00","-0,66","0,02"
"2010-03-12","15,13","15,05","15,37","15,29","+1,93","0,20"
"2010-03-15","15,30","15,30","15,65","15,64","+2,29","0,11"
"2010-03-16","15,70","15,42","15,70","15,64","+0,00","0,05"
"2010-03-17","15,70","15,70","16,35","16,32","+4,35","0,09"
"2010-03-18","16,35","15,51","16,35","15,52","-4,90","0,15"
"2010-03-19","15,52","15,52","15,84","15,84","+2,06","0,01"
"2010-03-22","15,88","15,80","16,00","15,80","-0,25","0,01"
"2010-03-23","15,70","15,60","15,70","15,60","-1,27","0,01"
"2010-03-24","15,03","15,03","15,90","15,90","+1,92","0,00"
"2010-03-25","15,80","15,50","15,88","15,88","-0,13","0,01"
"2010-03-26","16,00","15,62","16,00","15,94","+0,38","0,01"
"2010-03-29","15,50","15,50","15,50","15,50","-2,76","0,00"
"2010-03-30","15,40","15,40","15,69","15,69","+1,23","0,00"
"2010-03-31","15,80","15,69","15,80","15,80","+0,70","0,07"
"2010-04-01","15,80","15,30","15,80","15,50","-1,90","0,07"
"2010-04-06","15,30","14,80","15,30","15,10","-2,58","0,07"
"2010-04-07","15,07","14,88","15,07","14,88","-1,46","0,01"
"2010-04-08","15,07","14,42","15,07","15,00","+0,81","0,02"
"2010-04-09","14,99","14,99","14,99","14,99","-0,07","0,00"
"2010-04-12","14,47","14,47","14,99","14,89","+0,00","0,01"
"2010-04-13","14,85","14,70","14,85","14,85","-0,27","0,00"
"2010-04-14","15,04","14,31","15,04","14,78","-0,47","0,00"
"2010-04-15","14,50","14,28","14,75","14,75","-0,20","0,04"
"2010-04-16","14,71","14,23","14,71","14,23","-3,53","0,04"
"2010-04-19","14,77","14,02","14,77","14,59","+2,53","0,01"
"2010-04-20","14,58","14,05","14,58","14,05","-3,70","0,00"
"2010-04-21","14,68","14,68","14,68","14,68","+4,48","0,00"
