"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","7,90","7,45","8,00","7,80","+0,00","0,38"
"2010-01-05","7,53","7,53","7,90","7,71","-1,15","0,11"
"2010-01-06","7,50","7,50","7,75","7,75","+0,52","0,04"
"2010-01-07","7,74","7,55","7,88","7,88","+1,68","0,04"
"2010-01-08","7,73","7,73","8,04","7,85","-0,38","0,22"
"2010-01-11","7,70","7,61","7,87","7,71","-1,78","0,04"
"2010-01-12","7,67","7,67","7,71","7,71","+0,00","0,02"
"2010-01-13","7,90","7,62","7,90","7,73","+0,26","0,06"
"2010-01-14","7,90","7,73","7,90","7,73","+0,00","0,05"
"2010-01-15","7,71","7,71","7,89","7,88","+1,94","0,10"
"2010-01-18","7,71","7,71","7,88","7,85","-0,38","0,01"
"2010-01-19","7,87","7,70","7,87","7,86","+0,13","0,00"
"2010-01-20","7,50","7,50","7,88","7,88","+0,25","0,00"
"2010-01-22","7,45","7,45","7,49","7,45","-5,46","0,03"
"2010-01-25","7,01","6,72","7,29","6,80","-8,72","0,14"
"2010-01-26","6,90","6,90","7,20","7,04","+3,53","0,03"
"2010-01-27","6,69","6,69","7,04","7,03","-0,14","0,04"
"2010-01-28","6,75","6,75","7,25","7,10","+1,00","0,40"
"2010-01-29","6,80","6,80","6,90","6,90","-2,82","0,01"
"2010-02-01","6,73","6,73","7,00","7,00","+1,45","0,22"
"2010-02-02","6,81","6,80","6,82","6,82","-2,57","0,02"
"2010-02-03","6,66","6,66","6,99","6,99","+2,49","0,05"
"2010-02-04","6,99","6,80","6,99","6,95","-0,57","0,04"
"2010-02-05","6,85","6,45","6,85","6,45","-7,19","0,07"
"2010-02-08","6,61","6,40","6,61","6,59","+2,17","0,01"
"2010-02-09","6,28","6,17","6,48","6,48","-1,67","0,03"
"2010-02-10","6,17","6,17","7,00","6,97","+7,56","0,10"
"2010-02-11","6,97","6,65","6,97","6,94","-0,43","0,01"
"2010-02-12","6,95","6,95","7,14","7,10","+2,31","0,25"
"2010-02-15","6,90","6,90","7,25","7,25","+2,11","0,04"
"2010-02-16","7,55","7,22","7,95","7,22","-0,41","0,55"
"2010-02-17","7,69","7,26","7,69","7,63","+5,68","0,06"
"2010-02-18","7,65","7,22","7,65","7,22","-5,37","0,06"
"2010-02-19","7,20","7,08","7,35","7,34","+1,66","0,05"
"2010-02-22","7,10","7,05","7,12","7,05","+0,00","0,03"
"2010-02-23","7,04","7,04","7,34","7,34","+4,11","0,01"
"2010-02-24","7,04","7,04","7,19","7,19","-2,04","0,00"
"2010-02-25","7,20","7,08","7,21","7,08","-1,53","0,03"
"2010-02-26","7,10","7,04","7,22","7,22","+1,98","0,11"
"2010-03-01","7,22","7,13","7,22","7,22","+0,00","0,01"
"2010-03-02","7,22","7,20","7,22","7,22","+0,00","0,04"
"2010-03-03","7,22","7,22","7,22","7,22","+0,00","0,00"
"2010-03-04","7,35","7,25","7,60","7,43","+2,91","0,05"
"2010-03-05","7,50","7,50","7,72","7,62","+2,56","0,04"
"2010-03-08","7,60","7,60","7,72","7,72","+1,31","0,02"
"2010-03-10","7,72","7,72","8,05","8,05","+4,27","0,12"
"2010-03-11","8,04","8,04","8,80","8,80","+9,32","0,23"
"2010-03-12","8,79","8,32","8,79","8,65","-1,70","0,20"
"2010-03-15","8,55","8,52","8,60","8,60","-0,58","0,01"
"2010-03-16","8,59","8,50","8,60","8,60","+0,00","0,03"
"2010-03-17","8,65","8,40","8,74","8,51","-1,05","0,06"
"2010-03-18","8,31","8,09","8,49","8,49","-0,24","0,05"
"2010-03-19","8,44","8,32","8,73","8,73","+2,83","0,02"
"2010-03-22","8,70","8,35","8,73","8,68","-0,57","0,02"
"2010-03-23","8,65","8,65","8,75","8,75","+0,81","0,05"
"2010-03-24","8,70","8,70","8,79","8,70","-0,57","0,02"
"2010-03-25","8,41","8,41","8,78","8,78","+0,92","0,08"
"2010-03-26","8,75","8,75","8,90","8,90","+1,37","0,08"
"2010-03-29","9,20","9,01","9,79","9,73","+9,33","0,13"
"2010-03-30","9,31","9,31","9,89","9,89","+1,64","0,07"
"2010-03-31","9,89","9,76","10,80","10,70","+8,19","0,11"
"2010-04-01","10,60","10,60","11,20","11,00","+2,80","0,49"
"2010-04-06","11,00","10,34","11,30","10,88","-1,09","0,11"
"2010-04-07","10,78","10,42","10,78","10,69","-1,75","0,03"
"2010-04-08","10,90","10,70","11,00","10,76","+0,65","0,20"
"2010-04-09","10,99","10,99","10,99","10,99","+2,14","0,00"
"2010-04-12","10,50","10,50","10,75","10,55","+0,00","0,04"
"2010-04-13","10,58","9,69","10,70","10,00","-5,21","0,11"
"2010-04-14","9,75","9,50","10,70","10,70","+7,00","0,10"
"2010-04-15","10,89","10,20","11,10","10,25","-4,21","0,14"
"2010-04-16","10,94","10,90","10,94","10,90","+6,34","0,02"
"2010-04-19","10,90","10,37","10,90","10,39","-4,68","0,03"
"2010-04-20","10,90","10,80","10,90","10,80","+3,95","0,01"
