"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-07","27,48","27,48","27,48","27,48","+0,00","0,00"
"2010-01-15","27,48","27,48","27,48","27,48","+0,00","0,00"
"2010-01-26","27,47","27,47","27,47","27,47","-0,04","0,01"
"2010-01-27","27,50","27,50","27,50","27,50","+0,11","0,04"
"2010-01-28","30,00","29,99","30,00","29,99","+9,05","0,03"
"2010-01-29","29,89","29,89","29,89","29,89","-0,33","0,00"
"2010-02-01","31,80","31,74","31,80","31,74","+6,19","0,00"
"2010-02-05","31,80","31,78","31,80","31,78","+0,13","0,01"
"2010-02-08","28,01","28,01","28,01","28,01","-11,86","0,01"
"2010-02-09","31,50","31,00","31,50","31,00","+10,67","0,00"
"2010-02-10","30,99","30,99","31,33","31,33","+1,06","0,01"
"2010-02-11","30,95","30,95","30,95","30,95","-1,21","0,00"
"2010-02-12","31,00","31,00","31,50","31,50","+1,78","0,00"
"2010-03-01","31,44","31,44","31,44","31,44","+0,00","0,00"
"2010-03-05","30,00","30,00","30,00","30,00","-4,58","0,00"
"2010-03-09","29,60","29,60","29,60","29,60","-1,33","0,02"
"2010-03-11","29,50","29,50","29,50","29,50","-0,34","0,00"
"2010-03-17","29,40","29,40","29,40","29,40","-0,34","0,02"
"2010-03-19","29,51","29,51","31,48","31,48","+7,07","0,00"
"2010-03-24","30,99","30,99","30,99","30,99","-1,56","0,01"
"2010-03-30","30,85","30,85","30,85","30,85","-0,45","0,00"
"2010-04-06","29,00","29,00","30,80","30,80","-0,16","0,00"
"2010-04-09","29,51","29,51","30,79","30,79","-0,03","0,01"
"2010-04-12","30,00","30,00","30,00","30,00","+0,00","0,01"
"2010-04-13","30,80","30,80","30,80","30,80","+2,67","0,00"
"2010-04-19","30,00","30,00","30,00","30,00","-2,60","0,00"
"2010-04-21","29,00","29,00","29,00","29,00","-3,33","0,02"
"2010-04-22","29,01","28,02","29,01","28,02","-3,38","0,03"
"2010-04-23","28,11","28,11","28,11","28,11","+0,32","0,01"
"2010-04-26","29,20","29,20","29,20","29,20","+3,88","0,00"
"2010-04-28","29,20","29,20","29,20","29,20","+0,00","0,00"
"2010-05-05","28,80","28,80","28,80","28,80","-1,37","0,01"
"2010-05-10","28,06","28,06","28,06","28,06","-2,57","0,00"
"2010-05-14","28,80","28,80","28,80","28,80","+2,64","0,02"
"2010-05-18","28,80","28,80","28,80","28,80","+0,00","0,02"
"2010-05-21","28,39","28,39","28,80","28,80","+0,00","0,00"
"2010-05-24","28,80","28,80","28,80","28,80","+0,00","0,00"
"2010-05-25","28,07","28,07","28,79","28,79","-0,03","0,00"
"2010-05-26","28,80","28,80","29,99","29,99","+4,17","0,01"
"2010-05-27","30,50","30,50","30,50","30,50","+1,70","0,05"
"2010-05-28","30,99","30,95","30,99","30,95","+1,48","0,01"
"2010-05-31","31,47","31,47","31,47","31,47","+0,00","0,00"
"2010-06-01","31,50","31,49","31,50","31,49","+0,06","0,03"
"2010-06-02","31,44","31,44","31,44","31,44","-0,16","0,00"
"2010-06-04","31,00","31,00","31,00","31,00","-1,40","0,00"
"2010-06-07","31,00","31,00","31,00","31,00","+0,00","0,00"
"2010-06-14","31,48","31,48","31,48","31,48","+1,55","0,00"
"2010-06-15","31,49","31,49","31,49","31,49","+0,03","0,00"
"2010-06-16","31,79","31,79","31,79","31,79","+0,95","0,00"
"2010-06-25","31,50","31,50","31,50","31,50","-0,91","0,00"
"2010-06-29","31,79","31,50","31,79","31,50","+0,00","0,00"
"2010-07-01","31,15","31,15","31,15","31,15","-1,11","0,00"
"2010-07-05","31,45","31,45","31,45","31,45","+0,96","0,00"
"2010-07-06","31,50","31,50","31,51","31,51","+0,19","0,04"
"2010-07-07","31,80","31,80","31,90","31,90","+1,24","0,04"
"2010-07-08","31,75","31,59","31,75","31,59","-0,97","0,02"
"2010-07-09","31,45","31,10","31,45","31,10","-1,55","0,02"
"2010-07-12","31,10","31,00","31,10","31,00","-0,32","0,04"
"2010-07-14","30,90","30,90","30,90","30,90","-0,32","0,00"
"2010-07-15","30,10","30,10","30,10","30,10","-2,59","0,03"
"2010-07-20","28,50","28,50","28,50","28,50","+0,00","0,01"
"2010-07-21","28,52","28,52","28,52","28,52","+0,07","0,00"
"2010-07-22","30,78","30,78","30,78","30,78","+7,92","0,00"
"2010-07-26","30,00","30,00","30,00","30,00","-2,53","0,00"
"2010-07-27","29,96","29,00","29,96","29,00","-3,33","0,00"
"2010-07-28","29,50","28,50","29,50","28,50","-1,72","0,04"
"2010-07-29","28,50","28,50","28,50","28,50","+0,00","0,04"
"2010-08-02","29,70","29,70","29,70","29,70","+4,21","0,00"
"2010-08-03","29,50","28,07","29,50","28,07","-5,49","0,01"
"2010-08-04","29,00","29,00","29,10","29,10","+3,67","0,01"
"2010-08-05","28,10","28,10","28,10","28,10","-3,44","0,04"
"2010-08-06","27,60","27,55","27,60","27,55","-1,96","0,07"
"2010-08-09","27,50","27,50","27,50","27,50","-0,18","0,02"
"2010-08-10","27,90","27,30","27,90","27,30","-0,73","0,02"
"2010-08-11","27,50","27,00","27,50","27,00","-1,10","0,03"
"2010-08-12","26,50","26,15","26,50","26,15","-3,15","0,06"
"2010-08-13","28,58","28,58","28,58","28,58","+9,29","0,00"
"2010-08-16","26,24","26,24","26,24","26,24","-8,19","0,03"
"2010-08-17","28,39","26,24","28,39","26,24","+0,00","0,06"
"2010-08-18","26,50","26,50","27,85","27,85","+6,14","0,06"
"2010-08-19","26,60","26,60","26,60","26,60","-4,49","0,04"
"2010-08-20","26,28","26,28","26,28","26,28","-1,20","0,26"
"2010-08-23","27,44","27,17","27,44","27,17","+3,39","0,01"
"2010-08-24","26,97","26,50","26,97","26,50","-2,47","0,02"
"2010-08-25","26,50","26,50","26,50","26,50","+0,00","0,01"
"2010-08-26","26,60","26,60","26,60","26,60","+0,38","0,01"
"2010-08-27","26,24","26,24","26,24","26,24","-1,35","0,03"
"2010-08-30","26,60","25,85","26,60","25,85","-1,49","0,02"
"2010-08-31","27,20","27,20","27,50","27,50","+6,38","0,48"
"2010-09-01","29,98","29,50","29,98","29,50","+7,27","0,21"
"2010-09-02","29,00","28,48","29,00","28,48","-3,46","0,05"
"2010-09-03","28,99","28,75","28,99","28,75","+0,95","0,02"
"2010-09-06","28,49","28,49","28,49","28,49","-0,90","0,00"
"2010-09-07","28,30","28,30","28,30","28,30","-0,67","0,04"
"2010-09-08","28,27","28,27","28,27","28,27","+0,00","0,10"
"2010-09-09","29,00","28,97","29,00","28,97","+2,48","0,21"
"2010-09-10","28,82","28,82","28,82","28,82","-0,52","0,02"
"2010-09-13","28,80","28,80","28,80","28,80","-0,07","0,17"
"2010-09-14","28,78","28,75","28,78","28,75","-0,17","0,16"
"2010-09-15","28,80","28,75","28,80","28,75","+0,00","0,46"
"2010-09-16","28,80","28,80","28,80","28,80","+0,17","0,19"
"2010-09-17","29,50","29,50","29,50","29,50","+2,43","0,20"
"2010-09-20","29,82","29,82","29,90","29,90","+1,36","0,33"
"2010-09-21","30,35","30,35","30,41","30,41","+1,71","0,33"
"2010-09-22","31,51","31,51","32,10","32,10","+5,56","0,22"
"2010-09-23","32,24","32,24","32,49","32,49","+1,21","0,34"
"2010-09-24","32,38","32,38","32,38","32,38","-0,34","0,12"
"2010-09-27","32,32","32,28","32,32","32,28","-0,31","0,04"
"2010-09-28","31,05","31,05","31,05","31,05","-3,81","0,27"
"2010-09-29","31,04","30,00","31,04","30,00","-3,38","0,35"
"2010-09-30","31,93","30,02","31,93","30,02","+0,07","0,53"
"2010-10-01","31,66","30,02","31,66","30,02","+0,00","0,49"
"2010-10-04","30,94","30,94","31,48","31,48","+4,86","0,41"
"2010-10-05","31,10","31,10","32,24","32,24","+2,41","0,21"
"2010-10-06","32,50","32,50","36,30","36,30","+12,59","1,54"
"2010-10-07","36,60","35,30","37,50","35,30","-2,75","0,83"
"2010-10-08","35,75","34,00","35,75","34,00","-3,68","0,22"
"2010-10-11","34,40","33,52","34,70","34,70","+2,06","0,30"
"2010-10-12","34,97","34,97","36,35","35,20","+1,44","0,09"
"2010-10-13","36,40","36,40","37,20","37,19","+5,65","0,42"
"2010-10-14","37,25","36,00","37,25","36,50","-1,86","0,22"
"2010-10-15","36,98","36,11","36,98","36,50","+0,00","0,18"
"2010-10-18","36,70","36,27","37,13","37,08","+1,59","0,15"
"2010-10-19","37,00","36,60","37,04","36,60","-1,29","0,38"
"2010-10-20","36,96","36,22","36,96","36,96","+0,98","0,09"
"2010-10-21","36,90","36,55","37,95","37,95","+2,68","0,38"
"2010-10-22","37,94","37,90","38,90","38,89","+2,48","0,21"
"2010-10-25","38,95","38,95","40,00","40,00","+2,85","0,93"
"2010-10-26","40,00","39,00","40,00","40,00","+0,00","0,12"
"2010-10-27","39,99","39,98","41,80","41,44","+3,60","0,07"
"2010-10-28","40,90","40,20","41,20","40,88","+0,00","0,12"
"2010-10-29","40,04","39,00","40,77","40,48","-0,98","0,18"
"2010-11-02","40,67","40,67","41,79","41,50","+2,52","0,26"
"2010-11-03","41,77","41,00","41,87","41,00","-1,20","0,09"
"2010-11-04","41,00","41,00","41,75","41,75","+1,83","0,03"
"2010-11-05","41,90","41,49","41,90","41,50","-0,60","0,04"
"2010-11-08","41,88","41,00","42,45","41,80","+0,72","0,16"
"2010-11-09","41,79","41,31","42,45","42,38","+1,39","0,15"
"2010-11-10","42,40","40,51","42,40","41,55","-1,96","0,22"
"2010-11-12","41,55","39,71","41,55","39,95","-3,85","0,16"
"2010-11-15","40,95","39,70","42,36","40,50","+1,38","0,39"
"2010-11-16","40,50","40,00","40,50","40,00","-1,23","0,04"
"2010-11-17","39,85","39,72","40,42","39,99","-0,02","0,05"
"2010-11-18","39,72","39,72","40,00","39,90","-0,23","0,01"
"2010-11-19","39,99","39,72","39,99","39,80","-0,25","0,01"
"2010-11-22","39,99","37,50","40,00","38,79","-2,54","0,05"
"2010-11-23","37,90","37,30","39,99","39,99","+3,09","0,04"
"2010-11-24","37,12","37,12","38,90","38,90","-2,73","0,02"
"2010-11-25","38,90","38,60","39,49","39,00","+0,26","0,03"
"2010-11-26","39,00","37,70","39,90","38,00","-2,56","0,06"
"2010-11-29","37,20","36,10","38,00","38,00","+0,00","0,09"
"2010-11-30","37,99","37,02","37,99","37,51","-1,29","0,02"
"2010-12-01","37,05","37,05","39,40","39,30","+4,77","0,13"
"2010-12-02","39,00","39,00","39,95","39,85","+1,40","0,04"
"2010-12-03","39,85","39,85","39,85","39,85","+0,00","0,03"
"2010-12-06","39,80","39,40","39,80","39,40","-1,13","0,03"
"2010-12-07","39,40","39,40","39,95","39,95","+1,40","0,11"
"2010-12-08","41,38","39,80","41,75","40,86","+2,28","0,29"
"2010-12-09","40,87","39,91","41,67","41,47","+1,49","0,13"
"2010-12-10","41,42","39,49","41,42","39,49","-4,77","0,18"
"2010-12-13","39,29","39,29","39,79","39,37","-0,30","0,03"
"2010-12-14","38,80","38,80","41,00","41,00","+4,14","0,12"
"2010-12-15","41,44","40,30","41,44","40,95","-0,12","0,19"
"2010-12-16","41,00","41,00","41,74","41,70","+1,83","0,16"
"2010-12-17","41,75","41,41","42,19","41,41","+0,00","0,06"
"2010-12-20","41,50","41,00","42,29","41,98","+1,38","0,09"
"2010-12-21","41,97","41,50","42,37","42,00","+0,05","0,14"
"2010-12-22","42,37","42,00","43,80","42,68","+1,62","0,39"
"2010-12-23","43,78","42,12","43,80","42,12","-1,31","0,12"
"2010-12-27","43,79","43,33","43,79","43,76","+3,89","0,09"
"2010-12-28","43,74","43,74","43,80","43,80","+0,09","0,08"
"2010-12-29","43,80","43,65","44,25","44,23","+0,98","0,25"
"2010-12-30","44,00","44,00","46,88","46,87","+5,97","0,59"
"2010-12-31","46,88","46,00","46,88","46,00","-1,86","0,18"
"2011-01-03","46,20","45,99","48,60","47,10","+2,39","0,15"
"2011-01-04","47,20","46,45","47,25","47,25","+0,32","0,06"
"2011-01-05","46,75","46,00","47,00","46,00","-2,65","0,13"
"2011-01-07","45,51","41,55","47,29","42,58","-7,43","0,66"
"2011-01-10","43,00","42,05","43,80","43,20","+1,46","0,02"
"2011-01-11","43,17","43,00","43,17","43,17","-0,07","0,01"
"2011-01-12","43,49","42,77","43,49","43,00","-0,39","0,06"
"2011-01-13","42,50","42,24","43,29","42,99","-0,02","0,02"
"2011-01-14","42,24","42,23","42,89","42,50","-1,14","0,03"
"2011-01-17","42,50","41,50","42,99","42,49","-0,02","0,03"
"2011-01-18","42,20","40,12","42,90","41,01","-3,48","0,07"
"2011-01-19","41,50","41,01","42,60","42,40","+3,39","0,10"
"2011-01-20","42,50","41,36","43,00","42,96","+1,32","0,05"
"2011-01-21","42,79","41,10","42,79","42,12","-1,96","0,06"
"2011-01-24","42,39","41,60","42,48","42,00","-0,28","0,02"
"2011-01-25","41,90","41,01","43,79","43,24","+2,95","0,11"
"2011-01-26","43,24","42,90","43,59","43,48","+0,56","0,02"
"2011-01-27","40,47","37,50","40,47","39,69","-8,72","0,69"
"2011-01-28","39,92","38,61","39,92","39,00","-1,74","0,07"
"2011-01-31","39,00","38,20","39,00","38,68","-0,82","0,07"
"2011-02-01","38,60","37,00","38,60","37,50","-3,05","0,16"
"2011-02-02","37,15","36,38","37,50","37,50","+0,00","0,08"
"2011-02-03","37,75","37,51","38,47","38,00","+1,33","0,03"
"2011-02-04","38,01","37,50","38,01","37,99","-0,03","0,02"
"2011-02-07","37,99","37,01","38,00","37,02","+0,00","0,12"
"2011-02-08","36,80","36,72","37,87","37,87","+2,30","0,01"
"2011-02-09","37,83","37,00","38,30","38,30","+1,14","0,06"
"2011-02-10","38,30","37,00","38,35","37,99","-0,81","0,07"
"2011-02-11","37,90","37,90","38,05","37,99","+0,00","0,04"
"2011-02-14","37,16","37,16","37,94","37,18","-2,13","0,01"
"2011-02-15","37,18","36,81","37,18","36,81","-1,00","0,02"
"2011-02-16","36,81","36,43","37,93","37,86","+2,85","0,05"
"2011-02-17","37,67","36,53","37,67","37,10","-2,01","0,01"
"2011-02-18","36,46","36,46","37,10","37,09","-0,03","0,04"
"2011-02-21","37,20","36,50","37,20","36,50","-1,59","0,01"
"2011-02-22","36,50","36,13","37,00","36,16","-0,93","0,03"
"2011-02-23","36,20","36,20","36,97","36,60","+1,22","0,01"
"2011-02-24","36,55","36,26","36,55","36,26","-0,93","0,01"
"2011-02-25","36,50","35,53","37,00","36,96","+1,93","0,04"
"2011-02-28","36,96","36,96","37,00","37,00","+0,11","0,01"
"2011-03-01","36,50","36,25","36,95","36,95","-0,14","0,01"
"2011-03-02","36,32","36,00","37,20","37,20","+0,68","0,02"
"2011-03-03","37,15","37,10","37,15","37,10","-0,27","0,00"
"2011-03-04","36,95","36,03","37,00","37,00","-0,27","0,02"
"2011-03-07","36,21","36,00","36,79","36,00","-2,70","0,04"
"2011-03-08","36,11","35,12","36,88","36,45","+1,25","0,04"
"2011-03-09","36,29","35,12","36,44","36,39","-0,16","0,05"
"2011-03-10","35,50","35,00","36,36","35,93","-1,26","0,02"
"2011-03-11","35,09","34,85","35,76","35,74","-0,53","0,01"
"2011-03-14","35,18","35,18","35,88","35,88","+0,39","0,00"
"2011-03-15","35,85","35,00","35,91","35,10","-2,17","0,01"
"2011-03-16","35,00","34,51","35,10","34,99","-0,31","0,03"
"2011-03-17","34,52","34,50","35,35","34,50","-1,40","0,02"
"2011-03-18","34,50","34,50","35,00","35,00","+1,45","0,02"
"2011-03-21","34,41","34,40","35,34","35,34","+0,97","0,27"
"2011-03-22","34,43","34,43","34,43","34,43","-2,57","0,00"
"2011-03-23","34,40","34,12","35,50","35,50","+3,11","0,00"
"2011-03-24","35,21","35,20","35,48","35,48","-0,06","0,00"
"2011-03-25","35,20","34,50","35,48","35,48","+0,00","0,05"
"2011-03-28","35,50","34,51","35,50","35,00","+0,00","0,02"
"2011-03-29","35,29","35,01","35,50","35,01","+0,03","0,01"
"2011-03-30","35,50","35,13","35,50","35,20","+0,54","0,01"
"2011-03-31","35,45","35,13","35,45","35,13","-0,20","0,00"
"2011-04-01","35,13","35,01","35,13","35,01","-0,34","0,01"
"2011-04-04","35,05","34,81","35,50","35,50","+1,40","0,03"
"2011-04-05","35,69","35,00","36,60","36,60","+3,10","0,11"
"2011-04-06","36,87","36,60","37,77","37,60","+2,73","0,03"
"2011-04-07","37,20","36,91","37,40","37,40","-0,53","0,01"
"2011-04-08","37,50","37,50","38,00","38,00","+1,60","0,03"
"2011-04-11","38,30","37,03","38,30","38,30","+0,79","0,06"
"2011-04-12","37,52","37,52","38,78","38,78","+1,25","0,05"
"2011-04-13","38,26","38,00","38,26","38,00","-2,01","0,02"
"2011-04-14","37,74","37,72","38,35","38,35","+0,92","0,02"
"2011-04-15","38,30","38,30","38,30","38,30","-0,13","0,00"
"2011-04-18","38,15","38,00","38,15","38,00","-0,78","0,00"
"2011-04-19","37,25","37,24","38,60","37,25","-1,97","0,01"
"2011-04-20","37,07","37,07","38,08","38,08","+2,23","0,03"
"2011-04-21","37,25","37,25","38,50","38,50","+1,10","0,03"
"2011-04-26","38,40","38,40","38,50","38,50","+0,00","0,02"
"2011-04-27","38,50","38,20","38,50","38,50","+0,00","0,02"
"2011-04-28","38,60","38,50","39,10","38,75","+0,65","0,04"
"2011-04-29","39,00","39,00","39,00","39,00","+0,65","0,01"
"2011-05-02","37,71","37,70","38,01","38,00","-2,56","0,03"
"2011-05-04","38,00","37,80","39,39","39,00","+2,63","0,06"
"2011-05-05","38,16","38,14","38,99","38,99","-0,03","0,02"
"2011-05-06","38,90","38,25","39,10","39,10","+0,28","0,05"
"2011-05-09","38,99","38,99","40,50","40,00","+2,30","0,11"
"2011-05-10","40,00","40,00","40,00","40,00","+0,00","0,00"
"2011-05-11","39,25","37,01","40,43","39,64","-0,90","0,39"
"2011-05-12","38,02","38,00","39,49","39,49","-0,38","0,02"
"2011-05-13","39,63","39,60","41,00","40,78","+3,27","0,15"
"2011-05-16","40,78","40,00","40,78","40,00","+0,00","0,01"
"2011-05-17","39,50","38,70","40,72","40,10","+0,25","0,02"
"2011-05-18","40,10","39,00","41,58","41,00","+2,24","0,17"
"2011-05-19","41,50","41,00","41,75","41,75","+1,83","0,04"
"2011-05-20","41,75","41,00","41,94","41,01","-1,77","0,02"
"2011-05-23","41,00","39,50","41,49","39,50","-3,68","0,03"
"2011-05-24","39,50","38,70","40,49","40,49","+2,51","0,01"
"2011-05-25","39,02","39,02","40,50","40,50","+0,02","0,02"
"2011-05-26","40,20","40,20","40,30","40,30","-0,49","0,03"
"2011-05-27","40,20","40,20","40,20","40,20","-0,25","0,00"
"2011-05-30","41,00","40,00","41,00","40,80","+1,49","0,04"
"2011-05-31","39,43","39,43","40,20","40,05","-1,84","0,03"
"2011-06-01","40,04","39,70","40,10","40,10","+0,12","0,03"
"2011-06-02","39,30","39,30","39,35","39,35","-1,87","0,00"
"2011-06-03","39,04","39,04","41,00","40,50","+2,92","0,04"
"2011-06-06","39,21","39,21","41,00","41,00","+1,23","0,01"
"2011-06-07","40,00","40,00","40,00","40,00","-2,44","0,00"
"2011-06-08","40,70","40,70","41,00","41,00","+2,50","0,09"
"2011-06-09","40,14","40,14","41,00","40,30","-1,71","0,06"
"2011-06-10","40,18","40,18","40,84","40,84","+1,34","0,01"
"2011-06-13","40,50","40,50","41,00","41,00","+0,39","0,01"
"2011-06-14","41,10","41,10","42,00","41,97","+2,37","0,04"
"2011-06-15","41,89","41,00","41,89","41,00","-2,31","0,03"
"2011-06-16","41,00","40,50","42,00","41,00","+0,00","0,08"
"2011-06-17","40,40","40,33","41,97","41,97","+2,37","0,02"
"2011-06-20","41,85","41,00","41,85","41,00","-2,31","0,01"
"2011-06-21","40,36","40,36","41,85","41,00","+0,00","0,03"
"2011-06-22","41,85","41,85","43,69","43,69","+6,56","0,09"
"2011-06-24","42,05","42,05","43,50","43,00","-1,58","0,02"
"2011-06-27","42,50","42,48","43,50","43,50","+1,16","0,03"
"2011-06-28","43,75","43,00","43,90","43,00","-1,15","0,02"
"2011-06-29","43,78","42,66","43,78","42,66","-0,79","0,00"
"2011-06-30","42,66","41,15","43,50","43,50","+1,97","0,02"
"2011-07-01","43,40","43,40","43,50","43,50","+0,00","0,01"
"2011-07-04","43,50","42,15","43,50","42,99","-1,17","0,03"
"2011-07-05","42,99","42,99","43,80","43,49","+0,00","0,06"
"2011-07-06","41,13","41,13","42,50","41,79","-3,91","0,01"
"2011-07-07","41,75","41,75","42,40","42,40","+1,46","0,02"
"2011-07-08","42,00","41,75","42,35","42,35","-0,12","0,04"
"2011-07-11","41,98","41,98","41,98","41,98","-0,87","0,00"
"2011-07-12","41,00","39,00","41,00","40,80","-2,81","0,05"
"2011-07-13","40,01","39,00","40,01","39,00","-4,41","0,05"
"2011-07-14","39,00","39,00","39,00","39,00","+0,00","0,01"
"2011-07-15","38,11","38,11","39,98","39,98","+2,51","0,01"
"2011-07-18","39,10","39,00","39,40","39,40","-1,45","0,00"
"2011-07-19","39,10","38,03","39,10","38,03","-3,48","0,02"
"2011-07-20","37,50","37,50","39,18","38,20","+0,45","0,04"
"2011-07-21","38,00","38,00","38,59","38,00","-0,52","0,01"
"2011-07-22","38,01","38,01","38,43","38,43","+1,13","0,00"
"2011-07-25","38,44","38,00","39,00","39,00","+1,48","0,01"
"2011-07-26","38,43","37,30","39,20","39,20","+0,51","0,03"
"2011-07-27","39,90","39,00","41,00","39,00","-0,51","0,01"
"2011-07-28","39,99","39,01","40,00","39,01","+0,03","0,02"
"2011-07-29","39,00","39,00","39,00","39,00","-0,03","0,00"
"2011-08-01","38,26","37,50","38,98","38,98","-0,05","0,01"
"2011-08-02","39,97","39,97","39,97","39,97","+2,54","0,00"
"2011-08-03","39,49","38,10","39,49","38,10","-4,68","0,01"
"2011-08-04","37,80","36,70","38,00","37,70","-1,05","0,01"
"2011-08-05","31,80","31,80","37,60","37,60","-0,27","0,01"
"2011-08-08","37,00","35,00","37,00","35,00","-6,91","0,02"
"2011-08-09","36,99","33,50","36,99","34,99","-0,03","0,15"
"2011-08-10","35,00","33,00","36,12","33,00","-5,69","0,05"
"2011-08-11","35,50","33,20","35,50","34,00","+3,03","0,02"
"2011-08-12","35,40","33,21","35,40","33,50","-1,47","0,01"
"2011-08-16","33,50","33,00","34,94","33,00","-1,49","0,01"
"2011-08-18","34,30","32,90","34,70","34,70","+5,15","0,20"
"2011-08-19","34,00","33,40","34,00","33,98","-2,07","0,01"
"2011-08-22","33,98","33,00","33,98","33,97","-0,03","0,01"
"2011-08-23","33,96","33,90","33,96","33,90","-0,21","0,00"
"2011-08-24","33,90","32,99","33,90","32,99","+0,00","0,01"
"2011-08-25","32,70","32,50","33,50","33,00","+0,03","0,04"
"2011-08-26","32,50","32,50","33,00","33,00","+0,00","0,00"
"2011-08-29","32,30","32,30","32,70","32,50","-1,52","0,04"
"2011-08-30","32,50","32,50","32,50","32,50","+0,00","0,08"
"2011-09-01","32,50","31,50","32,50","31,50","-3,08","0,03"
"2011-09-02","32,00","32,00","32,70","32,60","+3,49","0,00"
"2011-09-05","33,00","31,89","33,00","31,89","-2,18","0,00"
