"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2011-05-05","150,00","133,30","150,00","133,30","+0,00","0,00"
"2011-05-09","142,40","142,40","142,40","142,40","+6,83","0,00"
"2011-05-11","134,50","134,50","134,50","134,50","-5,55","0,00"
"2011-05-13","140,00","140,00","140,00","140,00","+4,09","0,00"
"2011-05-16","138,90","138,90","138,90","138,90","+0,00","0,00"
"2011-05-18","139,00","139,00","139,00","139,00","+0,07","0,00"
"2011-05-20","125,50","125,50","130,00","126,10","-9,28","0,01"
"2011-05-25","126,20","126,20","126,20","126,20","+0,08","0,00"
"2011-05-26","135,00","135,00","135,00","135,00","+6,97","0,00"
"2011-06-02","130,00","130,00","130,00","130,00","-3,70","0,00"
"2011-06-06","137,20","137,20","137,20","137,20","+5,54","0,00"
"2011-06-07","137,20","137,20","139,00","137,20","+0,00","0,01"
"2011-06-08","139,00","139,00","139,00","139,00","+1,31","0,00"
"2011-06-09","130,00","130,00","136,90","136,90","-1,51","0,00"
"2011-06-20","125,00","125,00","136,90","136,90","+0,00","0,00"
"2011-06-21","124,50","124,00","129,00","124,00","-9,42","0,01"
"2011-06-24","124,00","124,00","124,00","124,00","+0,00","0,00"
"2011-06-28","124,00","118,00","124,00","118,00","-4,84","0,01"
"2011-06-29","109,00","109,00","109,00","109,00","-7,63","0,00"
"2011-07-01","119,00","119,00","128,00","128,00","+17,43","0,00"
"2011-07-06","120,00","120,00","126,90","126,90","+0,00","0,00"
"2011-07-13","124,90","124,90","124,90","124,90","-1,58","0,00"
"2011-07-21","115,00","115,00","115,00","115,00","-7,93","0,00"
"2011-07-22","124,90","115,00","124,90","115,00","+0,00","0,00"
"2011-07-25","112,00","112,00","128,00","128,00","+11,30","0,00"
"2011-07-26","135,00","111,00","135,00","127,90","-0,08","0,00"
"2011-07-27","105,00","105,00","111,00","111,00","-13,21","0,00"
"2011-07-28","133,00","115,00","133,00","115,10","+3,69","0,03"
"2011-07-29","116,10","116,00","120,60","120,60","+4,78","0,00"
"2011-08-05","99,90","99,90","109,70","109,70","-9,04","0,01"
"2011-08-08","103,00","95,00","105,90","95,00","-13,40","0,01"
"2011-08-09","99,80","95,00","104,40","103,30","+8,74","0,01"
"2011-08-10","103,40","94,50","103,40","94,50","-8,52","0,01"
"2011-08-11","89,20","88,10","98,10","88,10","-6,77","0,00"
"2011-08-12","89,90","89,90","104,90","104,90","+19,07","0,00"
"2011-08-16","120,00","110,00","120,00","120,00","+14,39","0,02"
"2011-08-18","119,00","119,00","119,00","119,00","-0,83","0,00"
"2011-08-22","107,10","107,00","116,00","115,90","-2,61","0,01"
"2011-08-23","119,90","102,00","119,90","102,00","-11,99","0,00"
"2011-08-24","108,00","108,00","108,00","108,00","+0,00","0,00"
"2011-08-25","112,00","112,00","112,00","112,00","+3,70","0,00"
"2011-08-29","115,00","115,00","115,00","115,00","+2,68","0,00"
"2011-09-08","103,50","103,50","103,50","103,50","-10,00","0,00"
"2011-09-09","103,50","101,10","112,40","112,40","+8,60","0,00"
"2011-09-12","112,40","101,10","112,40","105,00","-6,58","0,00"
"2011-09-13","105,00","105,00","111,90","111,90","+6,57","0,00"
"2011-09-26","102,00","102,00","110,50","110,50","-1,25","0,00"
"2011-09-27","110,50","110,50","110,90","110,90","+0,36","0,00"
"2011-10-10","111,00","111,00","111,00","111,00","+0,09","0,00"
"2011-10-18","101,60","101,60","101,60","101,60","+0,00","0,00"
"2011-10-19","101,50","101,50","101,50","101,50","-0,10","0,00"
"2011-10-24","98,70","98,70","106,90","106,90","+5,32","0,00"
"2011-10-28","99,10","99,10","106,50","106,50","-0,37","0,00"
"2011-11-14","97,60","97,60","97,60","97,60","-8,36","0,00"
"2011-11-15","97,90","97,60","97,90","97,60","+0,00","0,00"
"2011-11-21","97,60","97,60","97,60","97,60","+0,00","0,00"
"2011-11-29","90,00","90,00","97,20","97,20","-0,41","0,00"
"2011-11-30","90,00","88,20","95,00","88,20","-9,26","0,00"
"2011-12-01","96,90","96,90","96,90","96,90","+9,86","0,00"
"2011-12-05","96,40","96,40","96,40","96,40","+0,00","0,00"
"2011-12-07","87,20","86,80","89,95","89,95","-6,69","0,00"
"2011-12-09","80,20","80,20","85,00","85,00","-5,50","0,01"
"2011-12-12","89,00","89,00","89,00","89,00","+4,71","0,00"
"2011-12-23","81,00","75,00","81,00","79,90","-10,22","0,00"
"2011-12-27","78,00","78,00","79,90","79,90","+0,00","0,00"
"2011-12-28","72,10","72,10","72,10","72,10","-9,76","0,00"
"2011-12-29","79,30","79,30","89,00","89,00","+23,44","0,02"
"2011-12-30","88,90","84,75","88,90","84,75","-4,78","0,00"
"2012-01-02","84,80","84,75","87,80","87,80","+3,60","0,00"
"2012-01-09","85,50","85,50","85,50","85,50","-2,62","0,00"
"2012-01-11","85,50","76,95","85,50","83,40","-2,46","0,02"
"2012-01-12","78,00","78,00","83,40","83,40","+0,00","0,00"
"2012-01-13","72,50","72,50","82,60","82,50","-1,08","0,00"
"2012-01-20","82,50","82,50","82,50","82,50","+0,00","0,00"
"2012-01-25","87,30","87,30","87,30","87,30","+0,00","0,00"
"2012-02-01","86,00","86,00","86,00","86,00","-1,49","0,00"
"2012-02-02","87,00","87,00","87,00","87,00","+1,16","0,00"
"2012-02-03","85,80","85,80","87,00","87,00","+0,00","0,00"
"2012-02-07","87,00","87,00","87,00","87,00","+0,00","0,00"
"2012-02-15","87,00","87,00","87,00","87,00","+0,00","0,00"
"2012-02-20","87,00","87,00","87,00","87,00","+0,00","0,00"
"2012-02-23","79,00","79,00","86,95","86,95","-0,06","0,00"
"2012-02-24","85,00","81,95","87,00","87,00","+0,06","0,00"
"2012-02-29","87,00","87,00","87,00","87,00","+0,00","0,00"
"2012-03-01","86,50","86,50","86,50","86,50","-0,57","0,00"
"2012-03-02","87,00","87,00","87,00","87,00","+0,58","0,00"
"2012-03-09","86,00","86,00","86,00","86,00","-1,15","0,00"
"2012-03-14","86,00","86,00","86,00","86,00","+0,00","0,01"
"2012-04-02","77,40","77,15","77,40","77,15","-10,29","0,02"
"2012-04-03","77,10","77,10","77,90","77,90","+0,97","0,01"
"2012-04-04","82,45","82,45","82,45","82,45","+5,84","0,00"
"2012-04-16","77,25","77,20","81,95","81,95","-0,61","0,00"
"2012-04-23","77,50","77,25","77,50","77,25","-5,74","0,00"
"2012-04-27","81,45","81,45","81,45","81,45","+5,44","0,00"
"2012-04-30","76,90","76,90","76,90","76,90","+0,00","0,00"
"2012-05-02","70,05","70,05","70,05","70,05","-8,91","0,01"
"2012-05-04","65,00","65,00","65,00","65,00","-7,21","0,00"
"2012-05-07","70,05","70,05","70,05","70,05","+7,77","0,00"
"2012-05-08","69,75","65,05","70,10","65,05","-7,14","0,00"
"2012-05-09","65,00","65,00","65,00","65,00","-0,08","0,00"
"2012-05-10","65,00","65,00","67,80","67,80","+4,31","0,00"
"2012-06-04","67,20","67,20","67,80","67,80","+0,00","0,00"
"2012-06-05","60,35","60,35","60,35","60,35","-10,99","0,00"
"2012-06-18","60,10","60,10","60,10","60,10","-0,41","0,00"
"2012-06-19","60,10","60,10","60,10","60,10","+0,00","0,00"
"2012-07-02","60,10","60,10","60,10","60,10","+0,00","0,00"
"2012-07-16","63,50","63,50","63,50","63,50","+5,66","0,00"
"2012-07-31","53,60","53,60","60,00","56,50","-11,02","0,00"
"2012-08-03","59,95","59,95","59,95","59,95","+6,11","0,00"
"2012-08-07","57,70","55,00","59,95","59,95","+0,00","0,00"
"2012-08-08","51,50","51,50","56,65","56,65","+0,00","0,00"
"2012-08-16","55,50","55,50","55,50","55,50","-2,03","0,00"
"2012-08-20","56,60","56,60","60,00","60,00","+8,11","0,00"
"2012-08-21","58,75","58,75","58,75","58,75","-2,08","0,00"
"2012-09-04","51,60","51,60","57,95","57,95","-1,36","0,00"
"2012-09-11","52,20","51,50","52,20","51,50","-11,13","0,00"
"2012-09-13","56,60","56,60","56,60","56,60","+9,90","0,00"
"2012-09-17","51,00","51,00","51,00","51,00","-9,89","0,00"
"2012-09-18","54,00","54,00","54,00","54,00","+5,88","0,00"
"2012-09-20","52,60","52,60","55,00","55,00","+1,85","0,00"
"2012-09-26","51,05","51,00","54,30","54,30","-1,27","0,00"
"2012-10-02","49,00","49,00","49,00","49,00","+0,00","0,00"
"2012-10-08","49,00","49,00","49,00","49,00","+0,00","0,00"
"2012-10-22","44,10","44,10","49,80","49,80","+1,63","0,00"
