"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-06","80,00","79,20","80,00","79,50","+0,00","0,04"
"2010-01-07","80,00","80,00","80,00","80,00","+0,63","0,01"
"2010-01-08","80,95","79,50","80,95","79,85","-0,19","0,05"
"2010-01-11","79,30","79,00","79,80","79,80","-0,06","0,00"
"2010-01-12","78,95","78,95","80,00","79,50","-0,38","0,08"
"2010-01-15","78,95","78,95","78,95","78,95","-0,69","0,00"
"2010-01-18","78,80","74,00","78,80","78,55","-0,51","0,06"
"2010-01-19","78,90","78,70","78,95","78,70","+0,19","0,02"
"2010-01-20","78,70","78,50","78,70","78,50","-0,25","0,05"
"2010-01-21","78,50","78,50","78,50","78,50","+0,00","0,02"
"2010-01-22","79,00","73,95","79,00","79,00","+0,64","0,02"
"2010-01-25","74,50","74,50","79,00","76,50","-3,16","0,01"
"2010-01-26","78,90","76,50","78,90","78,90","+3,14","0,00"
"2010-01-28","78,00","76,50","78,00","76,50","-3,04","0,02"
"2010-01-29","77,50","77,00","77,50","77,00","+0,65","0,01"
"2010-02-01","77,70","77,50","77,70","77,50","+0,65","0,02"
"2010-02-03","77,95","77,50","79,00","79,00","+1,94","0,00"
"2010-02-04","78,00","78,00","78,00","78,00","-1,27","0,00"
"2010-02-05","72,55","72,55","76,50","76,50","-1,92","0,00"
"2010-02-08","76,50","76,40","78,00","78,00","+1,96","0,02"
"2010-02-09","78,00","78,00","78,00","78,00","+0,00","0,00"
"2010-02-17","76,00","73,25","77,00","76,95","-1,35","0,04"
"2010-02-18","76,00","76,00","76,00","76,00","-1,23","0,00"
"2010-02-19","76,50","76,50","76,50","76,50","+0,66","0,00"
"2010-02-22","76,85","76,85","76,85","76,85","+0,00","0,00"
"2010-02-23","76,40","75,80","76,95","76,95","+0,13","0,02"
"2010-02-26","75,00","75,00","75,95","75,95","-1,30","0,02"
"2010-03-01","76,00","75,90","76,00","75,90","-0,07","0,00"
"2010-03-02","75,90","75,90","75,90","75,90","+0,00","0,00"
"2010-03-04","76,00","75,80","76,00","75,80","-0,13","0,00"
"2010-03-05","76,00","75,50","76,00","75,50","-0,40","0,03"
"2010-03-09","76,00","76,00","76,00","76,00","+0,66","0,00"
"2010-03-10","76,10","76,10","76,10","76,10","+0,13","0,00"
"2010-03-11","76,00","76,00","76,00","76,00","-0,13","0,01"
"2010-03-12","76,20","76,20","76,95","76,95","+1,25","0,04"
"2010-03-15","78,00","76,95","81,95","81,95","+6,50","0,16"
"2010-03-16","83,00","80,05","83,00","80,05","-2,32","0,03"
"2010-03-17","80,05","79,05","81,00","80,95","+1,12","0,03"
"2010-03-18","80,50","80,50","97,40","97,40","+20,32","1,03"
