"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2011-02-11","17,50","17,50","17,50","17,50","+0,00","0,00"
"2011-02-14","17,50","17,50","17,50","17,50","+0,00","0,00"
"2011-02-15","17,40","16,81","17,50","17,49","-0,06","0,06"
"2011-02-16","17,48","17,01","17,48","17,01","-2,74","0,05"
"2011-02-17","17,42","16,80","17,42","16,80","-1,23","0,06"
"2011-02-18","17,25","16,61","17,25","16,61","-1,13","0,00"
"2011-02-21","16,98","16,61","17,30","16,75","+0,84","0,06"
"2011-02-22","17,20","17,15","17,25","17,25","+2,99","0,06"
"2011-02-23","17,20","16,90","17,25","16,90","-2,03","0,06"
"2011-02-24","16,90","16,90","17,20","17,20","+1,78","0,06"
"2011-02-25","17,19","17,19","17,20","17,20","+0,00","0,03"
"2011-02-28","17,20","16,92","17,20","16,92","-1,63","0,03"
"2011-03-01","17,18","16,92","17,25","16,92","+0,00","0,04"
"2011-03-02","17,18","17,00","17,45","17,43","+3,01","0,18"
"2011-03-03","17,45","17,43","17,45","17,45","+0,11","0,15"
"2011-03-04","17,46","17,44","17,46","17,46","+0,06","0,38"
"2011-03-07","17,48","17,48","17,70","17,50","+0,23","0,15"
"2011-03-08","17,69","17,68","17,95","17,93","+2,46","0,06"
"2011-03-09","17,93","17,93","18,05","18,00","+0,39","0,43"
"2011-03-10","18,00","18,00","18,00","18,00","+0,00","0,05"
"2011-03-11","17,60","17,60","18,00","18,00","+0,00","0,06"
"2011-03-14","17,90","17,80","17,90","17,90","-0,56","0,05"
"2011-03-15","17,90","17,50","17,90","17,70","-1,12","0,07"
"2011-03-16","17,50","17,50","17,70","17,70","+0,00","0,01"
"2011-03-17","17,70","17,51","17,90","17,60","-0,56","0,09"
"2011-03-18","17,90","17,55","17,90","17,70","+0,57","0,09"
"2011-03-21","17,89","17,89","17,90","17,90","+1,13","0,05"
"2011-03-22","17,80","17,80","17,80","17,80","-0,56","0,06"
"2011-03-23","17,54","17,54","17,90","17,90","+0,56","0,04"
"2011-03-24","17,56","17,56","17,90","17,90","+0,00","0,12"
"2011-03-25","17,89","17,57","17,89","17,89","-0,06","0,02"
"2011-03-28","17,89","17,51","17,90","17,89","+0,00","2,53"
"2011-03-29","17,80","17,80","17,80","17,80","-0,50","0,00"
"2011-03-30","17,80","17,52","17,90","17,90","+0,56","0,95"
"2011-03-31","17,90","17,51","17,90","17,90","+0,00","0,00"
"2011-04-01","17,60","17,60","17,81","17,77","-0,73","0,01"
"2011-04-04","17,77","17,50","17,77","17,50","-1,52","0,02"
"2011-04-05","17,50","17,50","17,50","17,50","+0,00","0,00"
"2011-04-06","17,51","17,51","17,90","17,54","+0,23","0,01"
"2011-04-07","17,53","17,53","17,89","17,89","+2,00","0,06"
"2011-04-08","17,90","17,56","17,90","17,56","-1,84","0,01"
"2011-04-11","17,56","17,53","17,56","17,53","-0,17","0,04"
"2011-04-12","17,50","17,50","17,77","17,77","+1,37","0,02"
"2011-04-13","17,80","17,50","17,80","17,50","-1,52","0,05"
"2011-04-14","17,50","17,50","17,50","17,50","+0,00","0,01"
"2011-04-15","17,50","17,00","17,50","17,00","-2,86","0,01"
"2011-04-18","17,50","17,00","17,50","17,00","+0,00","0,00"
"2011-04-19","17,00","17,00","17,60","17,60","+3,53","0,11"
"2011-04-20","17,60","17,60","17,80","17,80","+1,14","0,12"
"2011-04-21","17,80","17,00","17,83","17,79","-0,06","0,08"
"2011-04-26","17,78","17,70","17,78","17,70","-0,51","0,00"
