"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2011-08-04","2,71","2,66","2,80","2,66","+0,00","0,44"
"2011-08-05","2,49","2,25","2,55","2,53","-4,89","0,19"
"2011-08-08","2,40","2,32","2,50","2,40","-5,14","0,37"
"2011-08-09","2,26","2,00","2,33","2,24","-6,67","0,47"
"2011-08-10","2,40","2,13","2,50","2,15","-4,02","0,27"
"2011-08-11","2,18","2,11","2,25","2,25","+4,65","0,69"
"2011-08-12","2,25","2,16","2,27","2,20","-2,22","0,64"
"2011-08-16","2,25","2,21","2,40","2,27","+3,18","0,21"
"2011-08-17","2,29","2,24","2,35","2,29","+0,88","0,52"
"2011-08-18","2,25","2,03","2,26","2,08","-9,17","0,31"
"2011-08-19","2,00","2,00","2,20","2,18","+4,81","0,13"
"2011-08-22","2,25","2,17","2,25","2,18","+0,00","0,08"
"2011-08-23","2,19","2,19","2,35","2,21","+1,38","2,41"
"2011-08-24","2,24","2,12","2,24","2,16","+0,00","0,11"
"2011-08-25","2,20","2,12","2,20","2,16","+0,00","0,39"
"2011-08-26","2,17","2,17","2,27","2,25","+4,17","3,26"
"2011-08-29","2,27","2,27","2,38","2,38","+5,78","0,26"
"2011-08-30","2,38","2,30","2,38","2,34","-1,68","0,18"
"2011-08-31","2,35","2,31","2,40","2,40","+2,56","0,14"
"2011-09-01","2,40","2,29","2,47","2,35","-2,08","0,05"
"2011-09-02","2,31","2,20","2,34","2,23","-5,11","0,09"
"2011-09-05","2,23","2,09","2,23","2,16","-3,14","0,09"
"2011-09-06","2,14","2,14","2,24","2,22","+2,78","0,12"
"2011-09-07","2,25","2,24","2,28","2,28","+2,70","0,05"
"2011-09-08","2,30","2,26","2,31","2,28","+0,00","0,02"
"2011-09-09","2,30","2,20","2,30","2,20","-3,51","0,03"
"2011-09-12","2,10","2,05","2,26","2,13","-3,18","0,05"
"2011-09-13","2,14","2,13","2,18","2,15","+0,94","0,05"
"2011-09-14","2,15","2,13","2,24","2,19","+1,86","0,03"
"2011-09-15","2,18","2,13","2,19","2,19","+0,00","0,02"
"2011-09-16","2,20","2,17","2,23","2,23","+1,83","0,05"
"2011-09-19","2,21","2,11","2,21","2,15","-3,59","0,04"
