"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","4,00","3,90","4,12","4,08","+0,00","0,07"
"2010-01-05","4,14","4,00","4,14","4,09","+0,23","0,07"
"2010-01-06","3,91","3,91","4,21","4,21","+2,79","0,11"
"2010-01-07","4,14","4,01","4,14","4,13","-1,81","0,07"
"2010-01-08","4,05","4,04","4,12","4,09","-0,92","0,02"
"2010-01-11","3,92","3,92","4,09","4,06","-0,70","0,04"
"2010-01-12","3,95","3,91","3,99","3,98","-2,11","0,02"
"2010-01-13","3,91","3,90","4,00","4,00","+0,48","0,04"
"2010-01-14","4,00","4,00","4,08","4,05","+1,19","0,01"
"2010-01-15","4,05","4,05","4,08","4,06","+0,47","0,01"
"2010-01-18","4,05","3,96","4,09","4,09","+0,70","0,05"
"2010-01-19","4,09","4,05","4,09","4,08","-0,23","0,02"
"2010-01-20","4,09","3,91","4,09","4,00","-2,10","0,03"
"2010-01-21","4,09","3,93","4,09","4,04","+0,95","0,02"
"2010-01-22","4,00","3,91","4,07","4,04","+0,00","0,01"
"2010-01-25","4,02","3,91","4,02","4,01","-0,71","0,01"
"2010-01-26","3,90","3,90","3,98","3,98","-0,71","0,04"
"2010-01-27","3,98","3,81","3,98","3,96","-0,48","0,02"
"2010-01-28","3,90","3,90","3,96","3,96","+0,00","0,01"
"2010-01-29","3,90","3,83","3,95","3,91","-1,20","0,01"
"2010-02-01","3,85","3,85","3,95","3,90","-0,24","0,02"
"2010-02-03","3,95","3,63","3,95","3,76","-3,66","0,07"
"2010-02-04","3,76","3,62","3,80","3,76","+0,00","0,01"
"2010-02-05","3,66","3,46","3,71","3,65","-2,78","0,04"
"2010-02-08","3,52","3,50","3,78","3,60","-1,56","0,03"
"2010-02-09","3,50","3,50","3,62","3,62","+0,53","0,02"
"2010-02-10","3,60","3,46","3,62","3,62","+0,00","0,01"
"2010-02-11","3,61","3,61","3,61","3,61","-0,26","0,00"
"2010-02-12","3,62","3,52","3,62","3,57","-1,06","0,02"
"2010-02-15","3,57","3,46","3,62","3,57","+0,00","0,03"
"2010-02-16","3,57","3,46","3,62","3,62","+1,33","0,01"
"2010-02-17","3,62","3,48","3,65","3,52","-2,63","0,02"
"2010-02-18","3,56","3,47","3,61","3,60","+2,16","0,01"
"2010-02-19","3,60","3,54","3,63","3,63","+0,79","0,01"
"2010-02-22","3,64","3,62","3,76","3,71","+0,00","0,02"
"2010-02-23","3,81","3,65","3,82","3,65","-1,79","0,04"
"2010-02-24","3,57","3,48","3,65","3,65","+0,26","0,00"
"2010-02-25","3,50","3,48","3,65","3,62","-1,04","0,03"
"2010-02-26","3,52","3,52","3,59","3,58","-1,05","0,01"
"2010-03-01","3,58","3,52","3,61","3,52","-1,60","0,01"
"2010-03-02","3,53","3,53","3,65","3,65","+3,78","0,00"
"2010-03-03","3,54","3,54","3,72","3,66","+0,26","0,03"
"2010-03-04","3,66","3,66","3,78","3,78","+3,12","0,04"
"2010-03-05","3,78","3,75","3,87","3,85","+2,02","0,01"
"2010-03-08","3,83","3,81","3,94","3,90","+1,23","0,02"
"2010-03-09","3,82","3,81","3,90","3,85","-1,22","0,01"
"2010-03-10","3,81","3,80","3,90","3,90","+1,23","0,06"
"2010-03-11","3,90","3,81","3,95","3,95","+1,22","0,03"
"2010-03-12","3,92","3,91","4,00","3,98","+0,72","0,01"
"2010-03-15","3,92","3,92","4,08","4,05","+1,67","0,16"
"2010-03-16","4,08","4,06","4,33","4,28","+5,88","0,30"
"2010-03-17","4,27","4,25","4,29","4,27","-0,22","0,06"
"2010-03-18","4,25","4,02","4,25","4,05","-5,35","0,12"
"2010-03-19","4,07","4,00","4,24","4,04","-0,24","0,18"
"2010-03-22","3,90","3,85","4,05","3,87","-4,01","0,11"
"2010-03-23","3,86","3,86","4,09","4,05","+4,42","0,04"
"2010-03-24","4,14","3,95","4,14","4,02","-0,71","0,05"
"2010-03-25","4,05","4,05","4,08","4,08","+1,66","0,01"
"2010-03-26","4,15","3,97","4,15","4,08","+0,00","0,02"
"2010-03-29","4,03","4,00","4,06","4,06","-0,47","0,04"
"2010-03-30","4,01","4,01","4,05","4,05","-0,23","0,00"
"2010-03-31","4,01","3,85","4,01","3,94","-2,82","0,03"
"2010-04-01","3,90","3,90","4,15","4,05","+2,66","0,02"
"2010-04-06","3,84","3,84","4,18","4,07","+0,71","0,11"
"2010-04-07","4,07","3,90","4,07","3,95","-3,04","0,13"
"2010-04-08","3,91","3,88","3,91","3,90","-1,20","0,10"
"2010-04-09","3,95","3,88","3,95","3,94","+0,98","0,02"
"2010-04-12","3,89","3,89","3,94","3,94","+0,00","0,01"
"2010-04-13","3,90","3,82","3,90","3,90","-0,97","0,05"
"2010-04-14","3,85","3,85","3,98","3,93","+0,73","0,02"
"2010-04-15","3,90","3,81","3,90","3,87","-1,45","0,13"
"2010-04-16","3,90","3,75","3,90","3,88","+0,25","0,00"
"2010-04-19","3,78","3,78","3,88","3,78","-2,70","0,07"
"2010-04-20","3,78","3,77","3,93","3,90","+3,27","0,08"
"2010-04-21","3,89","3,84","3,93","3,93","+0,73","0,09"
"2010-04-22","3,87","3,81","3,91","3,88","-1,21","0,19"
"2010-04-23","3,87","3,82","3,90","3,89","+0,25","0,08"
"2010-04-26","3,90","3,88","4,04","4,01","+2,93","0,14"
"2010-04-27","4,04","3,93","4,04","4,00","-0,24","0,04"
"2010-04-28","3,92","3,88","3,98","3,98","-0,48","0,03"
"2010-04-29","3,89","3,86","3,99","3,95","-0,72","0,07"
"2010-04-30","4,04","4,01","4,18","4,08","+3,29","0,32"
"2010-05-04","4,02","3,80","4,05","3,91","-4,17","0,15"
"2010-05-05","3,92","3,88","3,95","3,88","-0,77","0,06"
"2010-05-06","3,75","3,71","3,89","3,71","-4,38","0,10"
"2010-05-07","3,70","3,51","3,70","3,65","-1,62","0,06"
"2010-05-10","3,66","3,66","3,93","3,86","+5,75","0,06"
"2010-05-11","3,89","3,68","3,89","3,85","-0,26","0,03"
"2010-05-12","3,85","3,78","3,85","3,84","-0,26","0,02"
"2010-05-13","3,84","3,80","3,84","3,84","+0,00","0,04"
"2010-05-14","3,88","3,77","3,88","3,85","+0,26","0,02"
"2010-05-17","3,77","3,70","3,84","3,80","-1,30","0,02"
"2010-05-18","3,84","3,77","3,84","3,80","+0,00","0,02"
"2010-05-19","3,75","3,75","3,75","3,75","-1,32","0,00"
"2010-05-20","3,70","3,62","3,80","3,74","-0,27","0,05"
"2010-05-21","3,55","3,51","3,72","3,69","-1,34","0,03"
"2010-05-24","3,65","3,65","3,72","3,69","+0,00","0,00"
"2010-05-25","3,65","3,55","3,65","3,65","-1,08","0,05"
"2010-05-26","3,60","3,55","3,65","3,65","+0,00","0,02"
"2010-05-27","3,55","3,53","3,70","3,63","-0,55","0,08"
"2010-05-28","3,65","3,57","3,70","3,70","+1,93","0,11"
"2010-05-31","3,70","3,60","3,75","3,70","+0,00","0,06"
