"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2011-03-22","143,10","143,00","150,00","150,00","+0,00","8,15"
"2011-03-23","154,00","145,00","154,00","145,00","-3,33","0,02"
"2011-03-24","131,00","131,00","153,00","153,00","+5,52","0,01"
"2011-03-25","153,00","153,00","153,10","153,10","+0,07","0,00"
"2011-03-30","160,00","160,00","160,00","160,00","+0,00","0,00"
"2011-04-05","174,00","174,00","174,00","174,00","+8,75","0,02"
"2011-04-06","174,00","174,00","174,00","174,00","+0,00","0,01"
"2011-04-19","173,00","165,00","174,00","174,00","+0,00","0,05"
"2011-04-26","182,00","182,00","186,00","182,00","+4,60","0,03"
"2011-04-27","184,00","184,00","186,00","186,00","+2,20","0,01"
"2011-05-04","177,00","176,00","177,00","176,00","-5,38","0,04"
"2011-05-06","174,10","174,10","174,10","174,10","-1,08","1,22"
"2011-05-09","174,20","172,50","174,20","172,50","-0,92","0,43"
"2011-05-10","178,10","178,10","178,10","178,10","+3,25","0,53"
"2011-05-16","183,00","183,00","183,00","183,00","+0,00","0,04"
"2011-05-17","185,00","185,00","185,00","185,00","+1,09","0,00"
"2011-05-18","185,00","185,00","185,00","185,00","+0,00","0,00"
"2011-05-27","175,00","175,00","175,00","175,00","-5,41","0,00"
"2011-05-30","157,00","157,00","157,00","157,00","-10,29","0,00"
"2011-05-31","152,00","152,00","152,00","152,00","-3,18","0,00"
"2011-06-01","157,00","152,00","157,00","152,00","+0,00","0,04"
"2011-06-03","145,00","145,00","145,00","145,00","-4,61","0,00"
"2011-06-08","145,00","145,00","145,00","145,00","+0,00","0,00"
"2011-08-25","145,00","145,00","145,00","145,00","+0,00","0,00"
"2012-09-28","85,10","85,10","85,10","85,10","+0,00","0,00"
