"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2013-05-31","10,50","10,50","10,50","10,50","+0,00","0,00"
"2013-06-05","10,36","9,70","10,36","10,20","+0,00","0,01"
"2013-06-06","10,19","10,19","10,37","10,30","+0,98","0,02"
"2013-06-12","9,61","9,61","10,19","10,19","-1,07","0,00"
"2013-06-13","9,50","9,50","10,00","10,00","-1,86","0,00"
"2013-06-14","10,00","9,98","10,00","10,00","+0,00","0,01"
"2013-06-17","10,00","9,60","10,00","9,70","-3,00","0,14"
"2013-06-18","9,79","9,79","10,24","10,24","+5,57","0,04"
"2013-06-19","10,05","10,00","10,15","10,15","-0,88","0,07"
"2013-06-20","10,02","10,00","10,08","10,04","-1,08","0,07"
"2013-06-21","9,95","9,95","10,17","10,17","+1,29","0,02"
"2013-06-24","10,02","10,00","10,24","10,24","+0,69","0,02"
"2013-06-25","10,20","10,00","10,39","10,24","+0,00","0,07"
"2013-06-26","10,40","10,25","10,40","10,30","+0,59","0,02"
"2013-06-27","10,30","10,19","10,30","10,30","+0,00","0,03"
"2013-06-28","10,30","10,30","10,40","10,40","+0,97","0,00"
"2013-07-01","10,40","10,40","10,65","10,60","+1,92","0,01"
"2013-07-02","10,55","10,37","10,55","10,55","-0,47","0,01"
"2013-07-03","10,55","10,40","10,55","10,55","+0,00","0,00"
"2013-07-04","10,55","10,55","11,00","11,00","+4,27","0,03"
"2013-07-05","11,00","11,00","11,00","11,00","+0,00","0,00"
"2013-07-08","10,70","10,70","10,70","10,70","-2,73","0,00"
"2013-07-09","10,70","10,45","10,70","10,70","+0,00","0,02"
"2013-07-10","10,70","10,46","10,70","10,70","+0,00","0,01"
"2013-07-11","10,46","10,46","10,70","10,70","+0,00","0,00"
"2013-07-12","10,80","10,70","10,90","10,90","+1,87","0,03"
"2013-07-15","10,80","10,80","10,90","10,90","+0,00","0,02"
"2013-07-16","10,90","10,90","11,50","11,30","+3,67","0,03"
"2013-07-17","11,29","11,29","12,34","11,40","+0,88","0,01"
"2013-07-18","12,20","12,00","12,90","12,50","+9,65","0,02"
"2013-07-19","12,74","12,01","12,74","12,34","-1,28","0,02"
"2013-07-22","12,75","12,39","12,75","12,39","+0,41","0,00"
"2013-07-23","12,69","12,39","12,69","12,39","+0,00","0,00"
"2013-07-24","11,60","11,40","12,30","12,20","+0,00","0,01"
"2013-07-25","11,41","11,40","12,35","12,00","-1,64","0,01"
"2013-07-26","11,85","11,85","12,22","11,97","-0,25","0,01"
"2013-07-29","12,45","12,01","12,45","12,45","+4,01","0,00"
"2013-07-30","12,75","11,92","12,75","12,00","-3,61","0,02"
"2013-07-31","12,05","12,00","12,40","12,40","+3,33","0,01"
"2013-08-01","12,39","11,90","12,39","11,97","-3,47","0,01"
"2013-08-02","12,29","11,74","12,35","12,35","+3,17","0,01"
"2013-08-05","12,35","12,00","12,35","12,30","-0,40","0,01"
"2013-08-06","11,93","11,90","12,35","12,35","+0,41","0,00"
"2013-08-07","11,95","11,95","12,35","11,95","-3,24","0,01"
"2013-08-08","11,95","11,90","12,00","11,95","+0,00","0,01"
"2013-08-09","11,95","11,95","11,95","11,95","+0,00","0,00"
"2013-08-12","12,00","12,00","12,75","12,70","+6,28","0,03"
"2013-08-13","12,70","12,60","15,10","15,10","+18,90","0,12"
"2013-08-14","15,10","15,00","16,10","15,30","+1,32","0,09"
"2013-08-16","15,60","15,50","16,99","16,99","+11,05","0,04"
"2013-08-19","17,03","16,05","18,20","16,95","-0,24","0,06"
"2013-08-20","16,05","16,05","17,00","17,00","+0,29","0,01"
"2013-08-21","17,00","16,50","17,90","17,45","+2,65","0,01"
"2013-08-22","17,45","16,82","17,45","17,00","-2,58","0,01"
"2013-08-23","17,00","16,98","17,00","17,00","+0,00","0,01"
"2013-08-26","17,00","16,45","17,00","16,79","-1,24","0,05"
"2013-08-27","16,80","16,51","16,80","16,51","-1,67","0,03"
"2013-08-28","16,50","15,85","16,50","16,45","-0,36","0,03"
"2013-08-29","16,45","16,30","16,45","16,30","-0,91","0,00"
"2013-08-30","16,44","16,29","16,44","16,30","+0,00","0,02"
"2013-09-02","16,30","16,05","16,50","16,30","+0,00","0,04"
"2013-09-03","16,00","16,00","16,20","16,20","-0,61","0,01"
"2013-09-04","16,50","15,90","16,70","16,19","-0,06","0,02"
"2013-09-05","15,92","14,70","16,44","15,45","-4,57","0,15"
"2013-09-06","15,95","15,50","16,80","16,80","+8,74","0,06"
"2013-09-09","16,80","16,50","18,15","18,15","+8,04","0,06"
"2013-09-10","18,00","18,00","19,80","18,90","+4,13","0,13"
"2013-09-11","19,10","17,80","19,50","18,85","-0,26","0,06"
"2013-09-12","19,30","18,26","19,30","19,29","+0,00","0,02"
"2013-09-13","19,38","18,53","19,38","19,20","-0,47","0,00"
"2013-09-16","19,30","18,70","19,40","18,75","-2,34","0,02"
"2013-09-17","19,40","18,75","19,40","19,40","+3,47","0,01"
"2013-09-18","19,40","19,35","19,40","19,35","-0,26","0,00"
"2013-09-19","19,40","19,30","19,40","19,30","-0,26","0,01"
"2013-09-20","18,76","18,76","19,20","19,20","-0,52","0,00"
"2013-09-23","19,39","18,80","19,39","19,39","+0,99","0,00"
"2013-09-24","19,39","19,00","19,39","19,13","-1,34","0,00"
"2013-09-25","19,40","19,37","19,40","19,37","+1,25","0,00"
"2013-09-26","19,00","18,72","19,30","19,00","-1,91","0,03"
"2013-09-27","19,38","19,30","19,38","19,30","+1,58","0,00"
