"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","13,79","13,35","13,79","13,51","+0,00","0,03"
"2010-01-05","13,60","13,16","13,65","13,48","-0,22","0,17"
"2010-01-06","13,48","13,11","13,48","13,17","-2,30","0,28"
"2010-01-07","13,10","12,99","13,10","12,99","-1,37","0,06"
"2010-01-08","12,99","12,40","12,99","12,80","-1,46","0,66"
"2010-01-11","12,98","12,65","12,98","12,78","-0,16","0,05"
"2010-01-12","13,00","12,63","13,14","12,63","-1,17","0,21"
"2010-01-13","12,63","12,63","12,99","12,99","+2,85","0,02"
"2010-01-14","12,99","12,70","12,99","12,70","-2,23","1,83"
"2010-01-15","12,70","12,66","12,80","12,75","+0,39","0,01"
"2010-01-18","12,80","12,80","12,90","12,84","+0,71","0,10"
"2010-01-19","12,82","12,60","12,84","12,63","-1,64","0,10"
"2010-01-20","12,63","12,60","12,80","12,60","-0,24","0,06"
"2010-01-21","12,47","12,30","12,75","12,45","-1,19","2,61"
"2010-01-22","12,80","12,45","12,80","12,70","+2,01","0,01"
"2010-01-25","12,60","12,35","12,60","12,35","-2,76","0,03"
"2010-01-26","12,38","11,85","12,38","11,90","-3,64","0,03"
"2010-01-27","11,90","11,61","12,19","11,80","-0,84","0,08"
"2010-01-28","11,98","11,61","11,98","11,65","-1,27","0,01"
"2010-01-29","11,81","11,81","12,00","12,00","+3,00","0,06"
"2010-02-01","11,81","11,62","11,99","11,70","-2,50","0,02"
"2010-02-02","11,70","11,70","12,75","12,75","+8,97","3,10"
"2010-02-03","12,85","12,75","12,88","12,88","+1,02","0,05"
"2010-02-04","12,98","12,68","12,98","12,71","-1,32","0,19"
"2010-02-05","12,71","11,65","12,71","11,85","-6,77","0,15"
"2010-02-08","11,71","11,71","12,10","12,10","+2,11","0,05"
"2010-02-09","12,10","11,80","12,90","12,50","+3,31","0,06"
"2010-02-10","12,47","12,47","12,60","12,60","+0,80","0,02"
"2010-02-11","12,50","12,50","12,70","12,50","-0,79","0,03"
"2010-02-12","12,40","12,20","12,40","12,29","-1,68","0,21"
"2010-02-15","12,50","12,10","12,50","12,15","-1,14","0,02"
"2010-02-16","12,15","11,85","12,40","12,40","+2,06","0,07"
"2010-02-17","12,22","12,22","12,65","12,65","+2,02","2,45"
"2010-02-18","12,65","11,88","12,65","12,20","-3,56","0,11"
"2010-02-19","11,96","11,96","12,58","12,58","+3,11","0,03"
"2010-02-22","12,58","12,26","12,64","12,30","+0,00","0,10"
"2010-02-23","12,30","12,15","12,30","12,20","-0,81","0,07"
"2010-02-24","12,10","12,01","12,18","12,01","-1,56","0,10"
"2010-02-25","11,90","11,83","12,19","12,10","+0,75","0,11"
"2010-02-26","12,33","11,96","12,35","12,35","+2,07","0,02"
"2010-03-01","12,64","12,00","12,64","12,35","+0,00","0,12"
"2010-03-02","13,00","13,00","13,55","13,23","+7,13","0,29"
"2010-03-03","13,25","13,25","14,00","14,00","+5,82","1,32"
"2010-03-04","14,06","13,65","14,27","14,01","+0,07","0,23"
"2010-03-05","14,25","14,00","14,25","14,20","+1,36","0,20"
"2010-03-08","14,20","14,20","14,59","14,59","+2,75","1,00"
"2010-03-09","14,66","14,30","15,00","14,65","+0,41","0,16"
"2010-03-10","14,89","14,50","15,00","14,50","-1,02","0,45"
"2010-03-11","14,95","14,69","15,00","14,92","+2,90","0,15"
"2010-03-12","14,98","14,51","14,98","14,92","+0,00","0,10"
"2010-03-15","14,87","13,50","14,87","14,60","-2,14","0,13"
"2010-03-16","14,40","14,23","14,79","14,48","-0,82","0,10"
"2010-03-17","14,23","14,15","14,89","14,89","+2,83","3,74"
"2010-03-18","14,33","14,33","15,00","14,99","+0,67","0,74"
"2010-03-19","14,80","14,58","15,00","15,00","+0,07","0,69"
"2010-03-22","14,99","14,70","15,00","14,71","-1,93","0,07"
"2010-03-23","14,99","14,63","14,99","14,99","+1,90","0,06"
"2010-03-24","14,99","14,66","15,00","14,99","+0,00","0,41"
"2010-03-25","14,98","14,88","15,30","15,00","+0,07","0,77"
"2010-03-26","14,90","14,90","15,11","15,00","+0,00","0,74"
"2010-03-29","15,15","14,76","15,15","14,98","-0,13","0,03"
"2010-03-30","14,98","14,75","14,98","14,97","-0,07","0,07"
"2010-03-31","14,97","14,93","16,00","15,50","+3,54","1,08"
"2010-04-01","15,25","15,10","15,50","15,15","-2,26","0,26"
"2010-04-06","15,16","15,16","15,48","15,47","+2,11","0,20"
"2010-04-07","15,45","15,18","15,45","15,18","-1,87","0,03"
"2010-04-08","15,45","15,10","15,45","15,10","-0,53","0,03"
"2010-04-09","15,39","14,67","15,39","14,90","-1,32","0,30"
"2010-04-12","14,82","14,40","15,00","14,40","+0,00","0,15"
"2010-04-13","14,36","13,90","14,50","14,50","+0,69","0,29"
"2010-04-14","14,26","14,26","15,30","15,30","+5,52","1,59"
"2010-04-15","15,29","15,10","15,40","15,40","+0,65","1,98"
"2010-04-16","15,29","15,29","15,59","15,35","-0,32","0,09"
"2010-04-19","15,01","14,80","15,32","14,80","-3,58","0,38"
"2010-04-20","15,00","14,80","15,30","15,30","+3,38","0,07"
"2010-04-21","15,30","15,10","15,85","15,85","+3,59","3,13"
"2010-04-22","15,80","15,59","15,85","15,59","-1,64","0,02"
"2010-04-23","15,54","15,31","16,20","16,20","+3,91","0,43"
"2010-04-26","16,49","16,06","16,50","16,19","-0,06","0,05"
"2010-04-27","15,81","15,65","16,01","15,70","-3,03","0,18"
"2010-04-28","15,60","15,60","16,15","15,60","-0,64","0,04"
"2010-04-29","15,54","15,54","16,12","16,12","+3,33","0,01"
"2010-04-30","16,10","15,75","16,10","15,75","-2,30","0,05"
"2010-05-04","15,76","15,35","15,79","15,65","-0,63","0,07"
"2010-05-05","15,55","15,07","15,55","15,20","-2,88","0,16"
"2010-05-06","15,20","14,91","15,22","15,19","-0,07","0,29"
"2010-05-07","14,80","14,80","15,00","14,83","-2,37","0,19"
"2010-05-10","15,00","15,00","15,57","15,56","+4,92","0,03"
"2010-05-11","16,00","15,45","16,14","15,45","-0,71","0,05"
"2010-05-12","15,22","15,22","15,50","15,35","-0,65","0,02"
"2010-05-13","15,60","15,60","15,70","15,70","+2,28","0,01"
"2010-05-14","15,21","15,21","15,67","15,67","-0,19","0,00"
"2010-05-17","15,30","15,07","16,05","16,05","+2,43","0,15"
"2010-05-18","16,08","16,00","16,15","16,09","+0,25","0,06"
"2010-05-19","16,09","15,61","16,15","15,68","-2,55","0,35"
"2010-05-20","15,40","15,38","16,14","15,38","-1,91","0,20"
"2010-05-21","15,30","15,30","15,67","15,66","+1,82","0,55"
"2010-05-24","15,80","15,35","16,00","16,00","+2,17","1,12"
"2010-05-25","15,45","15,45","16,00","16,00","+0,00","0,08"
"2010-05-26","16,00","15,62","16,00","16,00","+0,00","0,02"
"2010-05-27","16,00","15,90","16,16","15,90","-0,62","0,03"
"2010-05-28","15,95","15,85","16,25","15,85","-0,31","0,02"
"2010-05-31","16,15","15,70","16,15","15,80","+0,00","0,04"
"2010-06-01","15,40","15,40","15,80","15,80","+0,00","0,00"
"2010-06-02","15,70","15,50","15,99","15,50","-1,90","0,03"
"2010-06-04","15,50","15,50","15,99","15,50","+0,00","0,00"
"2010-06-07","15,39","15,39","15,98","15,70","+1,29","0,02"
"2010-06-08","15,35","15,35","15,46","15,41","-1,85","0,04"
"2010-06-09","15,40","15,35","15,40","15,40","-0,06","0,95"
"2010-06-10","15,12","15,10","15,99","15,99","+3,83","0,19"
"2010-06-11","15,70","15,40","15,70","15,40","-3,69","0,12"
"2010-06-14","15,63","15,50","15,63","15,50","+0,65","0,14"
"2010-06-15","15,63","15,50","15,63","15,50","+0,00","0,47"
