"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","12,88","12,88","13,40","13,25","+0,00","0,31"
"2010-01-05","13,50","13,30","13,85","13,50","+1,89","0,43"
"2010-01-06","13,60","13,07","13,64","13,12","-2,81","0,35"
"2010-01-07","13,20","12,86","13,25","12,86","-1,98","0,57"
"2010-01-08","13,18","12,91","13,56","13,18","+2,49","0,28"
"2010-01-11","14,00","13,80","14,69","14,41","+9,33","2,85"
"2010-01-12","14,76","13,85","14,76","13,86","-3,82","1,22"
"2010-01-13","13,86","13,64","14,40","14,30","+3,17","0,49"
"2010-01-14","14,44","14,20","14,74","14,30","+0,00","0,55"
"2010-01-15","14,39","14,04","14,39","14,10","-1,40","0,17"
"2010-01-18","14,09","13,85","14,11","13,90","-1,42","0,46"
"2010-01-19","13,99","13,75","13,99","13,87","-0,22","0,20"
"2010-01-20","13,81","13,68","13,95","13,94","+0,50","0,20"
"2010-01-21","13,71","13,32","13,71","13,60","-2,44","0,34"
"2010-01-22","13,49","13,01","13,49","13,18","-3,09","0,49"
"2010-01-25","13,00","12,62","13,00","12,85","-2,50","0,61"
"2010-01-26","12,65","12,51","12,82","12,69","-1,25","0,58"
"2010-01-27","12,52","12,50","12,71","12,68","-0,08","0,24"
"2010-01-28","12,83","12,65","12,83","12,77","+0,71","0,16"
"2010-01-29","12,60","12,55","12,75","12,75","-0,16","0,12"
"2010-02-01","13,00","12,65","13,45","12,89","+1,10","0,14"
"2010-02-02","12,90","12,65","13,00","12,80","-0,70","0,25"
"2010-02-03","12,80","12,71","12,80","12,75","-0,39","0,13"
"2010-02-04","12,70","12,51","12,75","12,51","-1,88","0,28"
"2010-02-05","12,05","11,36","12,15","11,61","-7,19","0,66"
"2010-02-08","11,21","11,03","11,58","11,10","-4,39","0,68"
"2010-02-09","10,91","10,91","11,50","11,45","+3,15","0,55"
"2010-02-10","11,75","11,45","11,86","11,45","+0,00","0,23"
"2010-02-11","11,45","11,16","11,45","11,22","-2,01","0,16"
"2010-02-12","11,33","11,20","11,64","11,35","+1,16","0,22"
"2010-02-15","11,64","11,35","11,90","11,80","+3,96","0,22"
"2010-02-16","12,07","11,65","12,10","11,98","+1,53","0,16"
"2010-02-17","11,98","11,92","12,25","12,19","+1,75","0,17"
"2010-02-18","12,30","11,85","12,40","12,10","-0,74","0,22"
"2010-02-19","11,85","11,80","12,20","12,20","+0,83","0,12"
"2010-02-22","12,20","11,90","12,20","12,20","+0,00","0,15"
"2010-02-23","12,20","11,95","12,20","12,00","-1,64","0,09"
"2010-02-24","12,00","11,76","12,00","11,77","-1,92","0,11"
"2010-02-25","11,72","11,52","12,00","11,94","+1,44","0,22"
"2010-02-26","11,95","11,72","12,12","12,12","+1,51","0,08"
"2010-03-01","12,10","11,80","12,19","12,19","+0,58","0,16"
"2010-03-02","12,25","12,00","12,30","12,25","+0,49","0,42"
"2010-03-03","12,05","12,05","13,00","12,98","+5,96","0,72"
"2010-03-04","13,00","12,95","13,65","13,40","+3,24","0,85"
"2010-03-05","13,64","13,32","13,77","13,54","+1,04","0,32"
"2010-03-09","13,20","12,81","13,40","13,10","-3,25","0,45"
"2010-03-10","13,00","13,00","13,28","13,10","+0,00","0,20"
"2010-03-11","13,00","12,78","13,18","13,00","-0,76","0,27"
"2010-03-12","13,00","12,71","13,00","12,82","-1,38","0,38"
"2010-03-15","12,82","12,58","13,15","13,14","+2,50","0,45"
"2010-03-16","13,14","13,00","13,30","13,02","-0,91","0,24"
"2010-03-17","13,02","13,00","13,26","13,18","+1,23","0,27"
"2010-03-18","13,18","13,00","13,19","13,10","-0,61","0,25"
"2010-03-19","13,10","12,99","13,19","13,00","-0,76","0,18"
"2010-03-22","13,01","12,70","13,26","13,22","+1,69","0,18"
"2010-03-23","13,25","12,51","13,95","13,95","+5,52","1,56"
"2010-03-24","14,22","14,06","14,72","14,20","+1,79","2,28"
"2010-03-25","14,21","13,68","14,40","14,10","-0,70","1,05"
"2010-03-26","14,09","13,69","14,09","13,82","-1,99","0,40"
"2010-03-29","13,76","13,50","13,99","13,60","-1,59","0,51"
"2010-03-30","13,60","13,33","13,60","13,40","-1,47","0,39"
"2010-03-31","13,55","13,10","13,55","13,10","-2,24","0,19"
"2010-04-01","13,33","13,00","13,33","13,29","+1,45","0,56"
"2010-04-06","13,40","13,10","13,40","13,35","+0,45","0,44"
"2010-04-07","13,11","13,11","13,27","13,27","-0,60","0,14"
"2010-04-08","13,24","12,76","13,30","12,81","-3,47","0,26"
"2010-04-09","12,84","12,84","13,15","13,01","+1,56","0,17"
"2010-04-12","13,00","12,90","13,15","13,10","+0,00","0,14"
"2010-04-13","13,15","13,10","13,40","13,32","+1,68","0,15"
"2010-04-14","13,40","13,25","13,40","13,40","+0,60","0,74"
"2010-04-15","13,40","13,10","13,40","13,25","-1,12","0,35"
"2010-04-16","13,20","12,60","13,20","12,99","-1,96","0,32"
"2010-04-19","12,90","12,00","12,90","12,51","-3,70","0,60"
"2010-04-20","12,54","12,54","13,00","12,80","+2,32","0,16"
"2010-04-21","12,80","12,35","12,80","12,50","-2,34","0,17"
"2010-04-22","12,50","12,34","12,87","12,34","-1,28","0,17"
"2010-04-23","12,48","12,48","12,95","12,94","+4,86","0,36"
"2010-04-26","12,95","12,68","13,10","13,04","+0,77","0,24"
"2010-04-27","13,19","12,90","13,19","13,09","+0,38","0,32"
"2010-04-28","12,55","12,55","12,89","12,88","-1,60","0,34"
"2010-04-29","12,88","12,88","13,32","13,26","+2,95","0,22"
"2010-04-30","13,31","13,08","13,40","13,37","+0,83","0,44"
"2010-05-04","13,23","12,80","13,45","12,94","-3,22","0,30"
"2010-05-05","12,40","12,36","12,70","12,41","-4,10","0,37"
"2010-05-06","12,15","12,15","12,69","12,50","+0,73","0,18"
"2010-05-07","12,01","11,60","12,46","12,30","-1,60","0,47"
"2010-05-10","12,12","12,12","12,75","12,50","+1,63","0,25"
"2010-05-11","12,73","12,45","12,79","12,45","-0,40","0,16"
"2010-05-12","12,59","12,30","12,77","12,75","+2,41","0,10"
"2010-05-13","12,79","12,79","13,15","12,89","+1,10","0,40"
"2010-05-14","12,96","12,66","12,98","12,67","-1,71","0,05"
"2010-05-17","12,49","12,10","12,60","12,50","-1,34","0,23"
"2010-05-18","12,79","12,16","12,79","12,40","-0,80","0,13"
"2010-05-19","12,11","11,50","12,11","11,86","-4,35","0,39"
"2010-05-20","11,62","11,23","12,23","11,23","-5,31","0,29"
"2010-05-21","11,11","11,01","11,65","11,19","-0,36","0,32"
"2010-05-24","11,52","11,03","11,52","11,20","+0,09","0,11"
"2010-05-25","11,00","10,50","11,05","10,74","-4,11","0,30"
"2010-05-26","10,57","10,57","11,30","11,19","+4,19","0,46"
"2010-05-27","11,19","10,91","11,35","11,19","+0,00","0,16"
"2010-05-28","11,40","11,30","11,95","11,75","+5,00","0,31"
"2010-05-31","11,80","11,49","11,97","11,79","+0,00","0,11"
"2010-06-01","11,50","11,25","11,70","11,54","-2,12","0,12"
"2010-06-02","11,40","11,00","11,70","11,70","+1,39","0,33"
