"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2012-09-25","2,39","2,31","2,44","2,32","+0,00","0,13"
"2012-09-26","2,33","2,15","2,35","2,19","-5,60","0,32"
"2012-09-27","2,17","1,97","2,25","2,10","+0,00","0,80"
"2012-09-28","2,10","2,02","2,18","2,10","+0,00","0,17"
"2012-10-01","2,10","1,99","2,10","2,04","-2,86","0,24"
"2012-10-02","2,01","2,00","2,08","2,00","-1,96","0,17"
"2012-10-03","1,97","1,94","2,50","2,50","+25,00","2,02"
"2012-10-04","2,58","2,51","2,89","2,54","+1,60","2,15"
"2012-10-05","2,57","2,42","2,66","2,46","-3,15","0,80"
"2012-10-08","2,49","2,38","2,70","2,55","+3,66","1,00"
"2012-10-09","2,64","2,46","2,64","2,56","+0,39","0,30"
"2012-10-10","2,58","2,41","2,58","2,50","-2,34","0,07"
"2012-10-11","2,46","2,43","2,86","2,80","+12,00","0,94"
"2012-10-12","2,85","2,70","3,01","2,77","-1,07","1,06"
"2012-10-15","2,74","2,70","2,78","2,70","-2,53","0,13"
"2012-10-16","2,66","2,63","2,76","2,64","-2,22","0,24"
"2012-10-17","2,68","2,43","2,68","2,47","-6,44","0,46"
"2012-10-18","2,46","2,25","2,46","2,39","-3,24","0,94"
"2012-10-19","2,40","2,35","2,57","2,56","+7,11","0,58"
"2012-10-22","2,54","2,46","2,79","2,75","+7,42","0,52"
"2012-10-23","2,76","2,55","2,85","2,56","-6,91","0,51"
"2012-10-24","2,56","2,39","2,60","2,51","-1,95","0,42"
"2012-10-25","2,55","2,50","2,67","2,56","+1,99","0,30"
"2012-10-26","2,55","2,47","2,67","2,63","+2,73","0,30"
"2012-10-29","2,62","2,59","2,87","2,80","+6,46","0,80"
"2012-10-30","2,83","2,64","2,83","2,64","-5,71","0,34"
"2012-10-31","2,60","2,55","2,73","2,64","+0,00","0,20"
"2012-11-02","2,70","2,61","2,78","2,72","+3,03","0,11"
"2012-11-05","2,75","2,75","3,29","3,15","+15,81","2,26"
"2012-11-06","3,11","2,98","3,22","3,00","-4,76","1,27"
"2012-11-07","3,01","2,83","3,04","2,83","-5,67","0,41"
"2012-11-08","2,93","2,90","3,20","3,00","+6,01","1,39"
"2012-11-09","2,95","2,84","3,00","2,96","-1,33","0,47"
"2012-11-12","2,96","2,87","3,00","2,97","+0,34","0,18"
"2012-11-13","2,97","2,80","2,97","2,80","-5,72","0,27"
"2012-11-14","2,74","2,66","2,92","2,75","-1,79","0,48"
"2012-11-15","2,75","2,59","2,82","2,59","-5,82","0,32"
"2012-11-16","2,61","2,57","2,69","2,63","+0,00","0,15"
"2012-11-19","2,69","2,64","2,88","2,84","+7,98","0,27"
"2012-11-20","2,87","2,72","2,87","2,78","-2,11","0,07"
"2012-11-21","2,73","2,70","3,01","2,83","+1,80","0,59"
"2012-11-22","2,94","2,83","2,98","2,95","+4,24","0,15"
"2012-11-23","2,97","2,89","3,05","2,89","-2,03","0,19"
"2012-11-26","2,88","2,77","2,90","2,77","-4,15","0,19"
"2012-11-27","2,76","2,76","2,89","2,85","+2,89","0,06"
"2012-11-28","2,84","2,76","2,88","2,80","-1,75","0,08"
"2012-11-29","2,80","2,76","2,82","2,79","-0,36","0,04"
"2012-11-30","2,83","2,77","2,87","2,84","+1,79","0,04"
"2012-12-03","2,84","2,71","2,87","2,75","-3,17","0,13"
"2012-12-04","2,71","2,65","2,73","2,72","-1,09","0,11"
"2012-12-05","2,70","2,62","2,72","2,62","-3,68","0,11"
"2012-12-06","2,63","2,39","2,63","2,46","-6,11","0,59"
"2012-12-07","2,49","2,35","2,53","2,49","+1,22","0,17"
"2012-12-10","2,46","2,41","2,58","2,53","+1,61","0,11"
"2012-12-11","2,52","2,52","2,64","2,64","+4,35","0,15"
"2012-12-12","2,60","2,57","2,64","2,63","-0,38","0,03"
"2012-12-13","2,68","2,44","2,85","2,58","-1,90","21,36"
"2012-12-14","2,49","2,20","2,55","2,20","-14,73","1,42"
"2012-12-17","2,10","1,89","2,16","2,00","-9,09","0,69"
"2012-12-18","2,11","2,04","2,22","2,04","+2,00","0,50"
"2012-12-19","2,05","1,89","2,08","2,06","+0,98","0,41"
"2012-12-20","2,05","1,95","2,08","1,98","-3,88","0,23"
"2012-12-21","1,96","1,89","2,00","1,95","-1,52","0,13"
"2012-12-27","1,97","1,78","1,97","1,83","-6,15","0,15"
"2012-12-28","1,80","1,65","1,81","1,65","-9,84","0,40"
"2013-01-02","1,80","1,65","1,85","1,70","+3,03","0,29"
"2013-01-03","1,64","1,52","1,67","1,52","-10,59","0,26"
"2013-01-04","1,54","1,44","1,65","1,53","+0,66","0,37"
"2013-01-07","1,55","1,50","1,67","1,67","+0,00","0,27"
"2013-01-08","1,71","1,62","1,76","1,63","-2,40","0,19"
"2013-01-09","1,64","1,47","1,68","1,55","-4,91","0,37"
"2013-01-10","1,57","1,50","1,60","1,50","-3,23","0,10"
"2013-01-11","1,51","1,49","1,60","1,52","+1,33","0,16"
"2013-01-14","1,54","1,53","1,92","1,92","+26,32","0,61"
"2013-01-15","1,86","1,69","1,95","1,69","-11,98","0,55"
"2013-01-16","1,70","1,54","1,76","1,60","-5,33","0,21"
"2013-01-17","1,64","1,56","1,68","1,65","+3,12","0,17"
"2013-01-18","1,65","1,59","1,75","1,68","+1,82","0,13"
"2013-01-21","1,65","1,65","1,76","1,73","+2,98","0,17"
"2013-01-22","1,73","1,68","1,73","1,68","-2,89","0,03"
"2013-01-23","1,68","1,61","1,68","1,61","-4,17","0,04"
"2013-01-24","1,61","1,57","1,64","1,57","-2,48","0,08"
"2013-01-25","1,60","1,55","1,60","1,58","+0,64","0,03"
"2013-01-28","1,56","1,49","1,57","1,54","-2,53","0,11"
"2013-01-29","1,50","1,39","1,55","1,40","-9,09","0,20"
"2013-01-30","1,41","1,27","1,41","1,33","-5,00","0,35"
"2013-01-31","1,35","1,33","1,45","1,44","+8,27","0,14"
