"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2013-08-19","1,85","1,81","1,85","1,84","+0,00","0,01"
"2013-08-20","1,84","1,83","1,84","1,84","+0,00","0,01"
"2013-08-21","1,84","1,84","1,84","1,84","+0,00","0,00"
"2013-08-22","1,84","1,76","1,84","1,83","-0,54","0,02"
"2013-08-23","1,84","1,84","1,84","1,84","+0,55","0,00"
"2013-08-26","1,84","1,84","1,84","1,84","+0,00","0,00"
"2013-08-27","1,84","1,84","1,84","1,84","+0,00","0,00"
"2013-08-28","1,84","1,80","1,84","1,80","-2,17","0,00"
"2013-08-29","1,84","1,80","1,84","1,80","+0,00","0,01"
"2013-08-30","1,80","1,80","1,80","1,80","+0,00","0,00"
"2013-09-02","1,80","1,80","1,80","1,80","+0,00","0,00"
"2013-09-03","1,80","1,75","1,80","1,75","-2,78","0,00"
"2013-09-04","1,80","1,80","1,83","1,83","+4,57","0,00"
"2013-09-05","1,82","1,82","1,82","1,82","-0,55","0,00"
"2013-09-06","1,82","1,73","1,82","1,79","-1,65","0,00"
"2013-09-09","1,79","1,79","1,79","1,79","+0,00","0,00"
"2013-09-10","1,75","1,75","1,87","1,87","+4,47","0,04"
"2013-09-11","1,88","1,86","1,88","1,88","+0,53","0,02"
"2013-09-12","1,89","1,82","1,89","1,82","+0,00","0,00"
"2013-09-13","1,82","1,82","1,82","1,82","+0,00","0,00"
"2013-09-16","1,82","1,82","1,94","1,94","+6,59","0,05"
"2013-09-17","1,95","1,95","2,22","2,16","+11,34","0,21"
"2013-09-18","2,16","2,01","2,16","2,12","-1,85","0,70"
"2013-09-19","2,12","2,08","2,13","2,12","+0,00","0,01"
"2013-09-20","2,12","2,12","2,25","2,25","+6,13","0,09"
"2013-09-23","2,33","2,20","2,33","2,22","-1,33","0,07"
"2013-09-24","2,34","2,19","2,34","2,22","+0,00","0,03"
"2013-09-25","2,25","2,16","2,25","2,25","+1,35","0,04"
"2013-09-26","2,25","2,16","2,25","2,25","+0,00","0,07"
"2013-09-27","2,25","2,09","2,25","2,11","-6,22","0,05"
"2013-09-30","2,11","2,04","2,11","2,11","+0,00","0,02"
"2013-10-01","2,11","2,07","2,11","2,11","+0,00","0,01"
"2013-10-02","2,11","2,01","2,11","2,11","+0,00","0,02"
"2013-10-03","2,11","2,11","2,11","2,11","+0,00","0,00"
"2013-10-04","2,11","2,11","2,11","2,11","+0,00","0,00"
"2013-10-07","2,03","2,03","2,05","2,05","-2,84","0,01"
"2013-10-08","2,05","2,03","2,05","2,05","+0,00","0,00"
"2013-10-10","2,04","2,04","2,04","2,04","-0,49","0,04"
"2013-10-11","2,00","1,97","2,00","2,00","-1,96","0,06"
"2013-10-14","2,03","1,98","2,03","2,03","+1,50","0,00"
"2013-10-15","2,03","2,03","2,03","2,03","+0,00","0,01"
"2013-10-16","2,03","2,01","2,14","2,10","+3,45","0,08"
"2013-10-17","2,16","2,16","2,28","2,24","+6,67","0,46"
"2013-10-18","2,21","2,18","2,27","2,18","-2,68","0,24"
"2013-10-21","2,20","2,10","2,20","2,15","-1,38","0,06"
"2013-10-22","2,15","2,10","2,15","2,11","-1,86","0,11"
"2013-10-23","2,11","2,08","2,11","2,11","+0,00","0,01"
"2013-10-24","2,11","2,10","2,11","2,10","-0,47","0,02"
"2013-10-25","2,10","2,00","2,10","2,00","-4,76","0,17"
"2013-10-28","2,07","2,07","2,19","2,18","+9,00","0,14"
"2013-10-29","2,20","2,20","2,41","2,37","+8,72","0,22"
"2013-10-30","2,35","2,30","2,38","2,30","-2,95","0,06"
"2013-10-31","2,31","2,30","2,38","2,30","+0,00","0,06"
"2013-11-04","2,35","2,35","2,60","2,49","+0,00","0,36"
"2013-11-05","2,49","2,38","2,57","2,50","+0,40","0,14"
"2013-11-06","2,48","2,40","2,48","2,45","-2,00","0,02"
"2013-11-07","2,47","2,39","2,47","2,45","+0,00","0,04"
"2013-11-08","2,45","2,45","2,46","2,46","+0,41","0,00"
