"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","32,70","32,00","33,70","32,00","+0,00","0,16"
"2010-01-05","32,10","32,00","33,30","32,00","+0,00","0,04"
"2010-01-06","33,09","32,00","33,09","32,50","+1,56","0,02"
"2010-01-07","31,50","31,03","31,90","31,90","-1,85","0,01"
"2010-01-08","32,00","31,50","32,59","32,49","+1,85","0,04"
"2010-01-11","32,45","32,45","32,45","32,45","-0,12","0,00"
"2010-01-12","31,05","31,05","31,99","31,99","-1,42","0,00"
"2010-01-13","31,99","31,99","31,99","31,99","+0,00","0,04"
"2010-01-14","31,99","31,99","32,44","32,44","+1,41","0,02"
"2010-01-15","31,37","31,37","32,00","32,00","-1,36","0,06"
"2010-01-18","32,50","32,50","32,50","32,50","+1,56","0,00"
"2010-01-19","32,50","32,45","32,50","32,50","+0,00","0,00"
"2010-01-20","32,50","32,02","32,97","32,95","+1,38","0,01"
"2010-01-21","32,50","32,50","32,50","32,50","-1,37","0,00"
"2010-01-22","32,29","32,29","32,29","32,29","-0,65","0,00"
"2010-01-25","32,00","31,10","32,00","32,00","-0,90","0,16"
"2010-01-26","31,01","31,01","31,80","31,80","-0,62","0,08"
"2010-01-27","32,09","31,30","32,09","31,90","+0,31","0,06"
"2010-01-28","32,04","31,52","32,04","32,00","+0,31","0,01"
"2010-01-29","32,35","31,80","32,40","32,40","+1,25","1,60"
"2010-02-01","32,35","31,52","32,35","31,52","-2,72","0,00"
"2010-02-02","32,40","31,70","32,40","31,70","+0,57","0,01"
"2010-02-03","32,15","31,15","32,15","32,00","+0,95","0,04"
"2010-02-04","32,00","30,81","32,00","31,50","-1,56","0,06"
"2010-02-05","32,10","30,75","32,10","31,70","+0,63","0,07"
"2010-02-08","30,50","29,70","31,60","31,49","-0,66","0,05"
"2010-02-09","31,45","31,45","31,45","31,45","-0,13","0,00"
"2010-02-10","31,29","31,29","31,79","31,60","+0,48","0,04"
"2010-02-11","32,00","30,30","32,00","31,70","+0,32","0,04"
"2010-02-12","31,80","31,60","31,94","31,94","+0,76","0,05"
