"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","10,70","10,21","11,20","10,21","+0,00","0,03"
"2010-01-05","10,20","10,20","10,99","10,99","+7,64","0,12"
"2010-01-06","11,00","10,97","11,10","10,97","-0,18","0,05"
"2010-01-07","10,95","10,95","11,00","10,95","-0,18","0,07"
"2010-01-08","10,70","10,70","11,57","11,00","+0,46","0,11"
"2010-01-11","10,91","10,90","11,37","11,37","+3,36","0,04"
"2010-01-12","11,19","11,19","11,19","11,19","-1,58","0,01"
"2010-01-13","10,92","10,92","11,19","11,19","+0,00","0,01"
"2010-01-14","11,24","11,00","11,24","11,00","-1,70","0,01"
"2010-01-15","11,00","11,00","11,23","11,00","+0,00","0,02"
"2010-01-18","10,92","10,92","11,19","11,19","+1,73","0,01"
"2010-01-19","11,20","10,96","11,23","11,23","+0,36","0,01"
"2010-01-20","11,24","11,00","11,55","11,50","+2,40","0,07"
"2010-01-21","11,49","11,20","11,49","11,20","-2,61","0,01"
"2010-01-22","11,00","10,60","11,44","11,44","+2,14","0,08"
"2010-01-25","11,50","11,20","11,50","11,48","+0,35","0,02"
"2010-01-26","11,20","11,20","11,50","11,50","+0,17","0,02"
"2010-01-27","11,50","11,20","11,50","11,50","+0,00","0,01"
"2010-01-28","11,57","11,50","11,57","11,57","+0,61","0,04"
"2010-01-29","11,57","11,50","11,90","11,90","+2,85","0,04"
"2010-02-01","11,90","11,90","11,95","11,95","+0,42","0,08"
"2010-02-02","11,95","11,95","12,00","12,00","+0,42","0,03"
"2010-02-03","12,00","12,00","12,45","12,45","+3,75","0,05"
"2010-02-04","12,50","12,01","12,59","12,01","-3,53","0,06"
"2010-02-05","12,01","12,01","12,90","12,90","+7,41","0,14"
"2010-02-08","12,80","12,42","12,80","12,50","-3,10","0,07"
"2010-02-09","12,70","12,45","12,75","12,50","+0,00","0,02"
"2010-02-10","12,46","12,05","12,46","12,40","-0,80","0,05"
"2010-02-11","12,60","12,60","12,60","12,60","+1,61","0,00"
"2010-02-12","12,80","12,50","12,80","12,55","-0,40","0,04"
"2010-02-15","13,00","13,00","13,20","13,00","+3,59","0,02"
"2010-02-16","12,90","12,90","13,24","13,00","+0,00","0,06"
"2010-02-17","13,00","13,00","13,19","13,00","+0,00","0,06"
"2010-02-18","12,94","12,94","13,05","13,05","+0,38","0,01"
"2010-02-19","13,10","13,00","13,20","13,20","+1,15","0,03"
"2010-02-22","13,20","13,20","13,89","13,89","+0,00","0,04"
"2010-02-23","13,80","13,35","13,80","13,50","-2,81","0,03"
"2010-02-24","13,20","13,02","13,50","13,50","+0,00","0,01"
"2010-02-25","13,50","13,05","13,50","13,05","-3,33","0,01"
"2010-02-26","13,00","13,00","13,37","13,05","+0,00","0,08"
"2010-03-01","13,40","13,40","14,29","14,00","+7,28","0,27"
"2010-03-02","14,01","14,01","14,94","14,94","+6,71","0,39"
"2010-03-03","14,90","14,80","14,93","14,92","-0,13","0,04"
"2010-03-04","14,94","14,90","14,98","14,95","+0,20","0,13"
"2010-03-05","14,95","14,95","16,00","15,50","+3,68","0,36"
"2010-03-08","15,65","15,51","16,00","15,89","+2,52","0,39"
"2010-03-09","16,29","15,70","16,29","15,97","+0,50","0,09"
"2010-03-10","15,89","15,85","15,95","15,94","-0,19","0,29"
"2010-03-11","16,00","15,70","16,00","15,98","+0,25","0,19"
"2010-03-12","15,98","15,71","15,98","15,95","-0,19","0,12"
"2010-03-15","16,00","15,71","16,00","15,95","+0,00","0,08"
"2010-03-16","15,95","15,71","15,95","15,90","-0,31","0,05"
"2010-03-17","15,97","15,71","15,97","15,71","-1,19","0,06"
"2010-03-18","15,71","15,71","15,96","15,94","+1,46","0,07"
"2010-03-19","15,96","15,80","15,96","15,80","-0,88","0,03"
"2010-03-22","15,45","15,40","15,80","15,80","+0,00","0,09"
"2010-03-23","15,95","15,50","15,95","15,79","-0,06","0,01"
"2010-03-24","16,00","15,80","16,00","15,80","+0,06","0,05"
"2010-03-25","15,80","15,30","15,80","15,40","-2,53","0,09"
"2010-03-26","15,40","15,00","15,45","15,45","+0,32","0,05"
"2010-03-29","14,71","14,70","15,79","15,70","+1,62","0,05"
"2010-03-30","15,69","15,49","15,71","15,71","+0,06","0,74"
"2010-03-31","15,79","15,60","15,79","15,76","+0,32","0,07"
"2010-04-01","15,80","15,13","15,80","15,70","-0,38","0,12"
"2010-04-06","15,60","15,30","15,69","15,65","-0,32","0,04"
"2010-04-07","15,68","15,21","15,68","15,50","-0,96","0,15"
"2010-04-08","15,55","15,21","15,55","15,50","+0,00","0,03"
"2010-04-09","15,49","15,20","15,59","15,50","+0,00","0,07"
"2010-04-12","15,50","15,06","15,50","15,50","+0,00","0,01"
"2010-04-13","15,08","15,08","15,55","15,40","-0,65","0,06"
"2010-04-14","15,10","15,10","15,49","15,49","+0,58","0,02"
"2010-04-15","15,49","15,49","15,70","15,70","+1,36","0,35"
"2010-04-16","15,70","15,50","15,99","15,99","+1,85","0,07"
"2010-04-19","15,51","15,51","16,60","16,40","+2,56","0,18"
"2010-04-20","16,45","16,45","17,80","17,80","+8,54","0,18"
"2010-04-21","17,90","17,90","18,00","17,95","+0,84","0,11"
"2010-04-22","17,95","17,90","18,00","17,90","-0,28","0,02"
"2010-04-23","18,00","17,80","18,00","17,80","-0,56","0,01"
"2010-04-26","17,90","17,35","17,90","17,50","-1,69","0,01"
"2010-04-27","17,01","17,01","17,40","17,40","-0,57","0,00"
"2010-04-28","17,40","16,08","17,40","16,78","-3,56","0,12"
"2010-04-29","16,70","16,70","18,30","17,70","+5,48","0,05"
"2010-04-30","17,95","17,50","17,95","17,90","+1,13","0,01"
"2010-05-04","17,95","17,95","17,95","17,95","+0,28","0,10"
"2010-05-05","17,90","17,01","17,95","17,95","+0,00","0,06"
"2010-05-06","18,20","17,05","18,20","18,10","+0,84","0,06"
"2010-05-07","17,10","16,40","17,10","17,00","-6,08","0,11"
"2010-05-10","17,10","17,10","18,20","18,10","+6,47","0,03"
"2010-05-11","18,20","17,90","18,20","17,90","-1,10","0,05"
"2010-05-12","17,60","17,60","18,00","17,99","+0,50","0,06"
"2010-05-13","17,99","17,90","17,99","17,99","+0,00","0,03"
"2010-05-14","17,95","17,50","17,99","17,95","-0,22","0,12"
"2010-05-17","17,94","17,94","17,95","17,95","+0,00","0,01"
"2010-05-18","17,52","17,50","18,00","17,90","-0,28","0,21"
"2010-05-19","17,90","17,72","17,90","17,72","-1,01","0,03"
"2010-05-20","17,89","17,36","17,89","17,89","+0,96","0,04"
"2010-05-21","17,35","16,90","17,55","17,53","-2,01","0,11"
"2010-05-24","17,53","17,53","17,69","17,69","+0,91","0,01"
"2010-05-25","17,65","17,10","17,65","17,16","-3,00","0,02"
"2010-05-26","17,16","17,16","17,16","17,16","+0,00","0,01"
