"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2013-02-22","0,52","0,48","0,54","0,48","+0,00","0,06"
"2013-02-25","0,47","0,40","0,48","0,42","+0,00","0,05"
"2013-02-26","0,42","0,39","0,45","0,42","+0,00","0,06"
"2013-02-27","0,42","0,40","0,44","0,44","+4,76","0,02"
"2013-02-28","0,44","0,42","0,44","0,44","+0,00","0,01"
"2013-03-01","0,44","0,41","0,44","0,42","-4,55","0,01"
"2013-03-04","0,41","0,41","0,44","0,42","+0,00","0,01"
"2013-03-05","0,41","0,39","0,44","0,44","+4,76","0,55"
"2013-03-06","0,43","0,40","0,43","0,43","-2,27","0,01"
"2013-03-07","0,43","0,41","0,43","0,41","-4,65","0,01"
"2013-03-08","0,41","0,41","0,45","0,45","+9,76","0,07"
"2013-03-11","0,45","0,45","0,50","0,48","+6,67","0,07"
"2013-03-12","0,49","0,42","0,49","0,44","-8,33","0,05"
"2013-03-13","0,42","0,42","0,44","0,44","+0,00","0,01"
"2013-03-14","0,43","0,42","0,46","0,45","+2,27","0,01"
"2013-03-15","0,44","0,41","0,44","0,43","-4,44","0,01"
"2013-03-18","0,44","0,43","0,46","0,43","+0,00","0,04"
"2013-03-19","0,43","0,41","0,43","0,43","+0,00","0,03"
"2013-03-20","0,41","0,41","0,42","0,41","-4,65","0,01"
"2013-03-21","0,40","0,38","0,41","0,40","-2,44","0,11"
"2013-03-22","0,41","0,39","0,44","0,44","+10,00","0,03"
"2013-03-25","0,41","0,41","0,45","0,45","+2,27","0,05"
"2013-03-26","0,41","0,41","0,44","0,44","-2,22","0,02"
"2013-03-27","0,41","0,41","0,45","0,44","+0,00","0,03"
"2013-03-28","0,42","0,42","0,45","0,44","+0,00","0,00"
"2013-04-02","0,44","0,43","0,46","0,44","+0,00","0,02"
"2013-04-03","0,45","0,44","0,46","0,44","+0,00","0,04"
"2013-04-04","0,46","0,44","0,46","0,44","+0,00","0,01"
"2013-04-05","0,43","0,43","0,45","0,43","-2,27","0,00"
"2013-04-08","0,43","0,43","0,44","0,43","+0,00","0,01"
"2013-04-09","0,43","0,42","0,44","0,43","+0,00","0,01"
"2013-04-10","0,44","0,40","0,44","0,44","+2,33","0,01"
"2013-04-11","0,44","0,40","0,44","0,41","-6,82","0,02"
"2013-04-12","0,39","0,37","0,41","0,40","-2,44","0,02"
"2013-04-15","0,43","0,38","0,43","0,40","+0,00","0,00"
"2013-04-17","0,37","0,37","0,40","0,37","-7,50","0,00"
"2013-04-18","0,40","0,37","0,40","0,38","+2,70","0,00"
"2013-04-19","0,38","0,34","0,39","0,39","+2,63","0,00"
"2013-04-22","0,35","0,34","0,36","0,36","-7,69","0,00"
"2013-04-23","0,38","0,34","0,38","0,37","+2,78","0,01"
"2013-04-24","0,37","0,34","0,37","0,37","+0,00","0,00"
"2013-04-25","0,38","0,33","0,38","0,35","-5,41","0,00"
"2013-04-26","0,38","0,33","0,38","0,35","+0,00","0,00"
