"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","16,54","16,44","17,00","16,77","+0,00","1,25"
"2010-01-05","16,92","16,92","18,11","17,72","+5,63","3,54"
"2010-01-06","17,93","17,92","18,19","18,04","+1,83","0,88"
"2010-01-07","18,04","17,93","18,20","18,06","+0,11","0,93"
"2010-01-08","18,11","18,11","19,18","18,65","+3,27","1,71"
"2010-01-11","19,27","18,85","19,34","18,90","+1,32","1,30"
"2010-01-12","19,08","18,41","19,08","18,56","-1,82","0,58"
"2010-01-13","18,51","18,51","19,00","18,70","+0,80","0,41"
"2010-01-14","18,90","18,57","19,10","18,81","+0,58","0,34"
"2010-01-15","18,88","18,62","18,90","18,81","+0,00","0,11"
"2010-01-18","18,89","17,99","18,89","18,21","-3,19","0,53"
"2010-01-19","18,11","17,82","18,11","17,97","-1,35","0,99"
"2010-01-20","18,06","17,54","18,16","17,71","-1,42","0,74"
"2010-01-21","17,64","17,23","17,64","17,51","-1,11","0,31"
"2010-01-22","17,46","17,13","17,46","17,23","-1,63","0,42"
"2010-01-25","17,08","16,95","17,72","17,53","+1,77","0,76"
"2010-01-26","17,48","17,42","17,81","17,52","-0,06","0,25"
"2010-01-27","17,52","17,52","17,71","17,62","+0,56","0,32"
"2010-01-28","17,73","17,33","17,82","17,33","-1,68","0,32"
"2010-01-29","17,36","17,13","17,57","17,57","+1,42","0,16"
"2010-02-01","17,52","17,13","17,57","17,28","-1,68","0,20"
"2010-02-02","17,33","17,25","17,52","17,33","+0,28","0,13"
"2010-02-03","17,33","17,23","17,42","17,33","+0,00","0,19"
"2010-02-04","17,52","17,24","17,62","17,24","-0,51","0,15"
"2010-02-05","17,13","15,93","17,13","16,65","-3,43","0,37"
"2010-02-08","16,55","16,55","16,78","16,74","+0,53","0,15"
"2010-02-09","16,72","16,64","17,28","16,78","+0,29","0,21"
"2010-02-10","17,21","16,83","17,21","17,11","+1,94","0,07"
"2010-02-11","17,11","16,85","17,13","17,13","+0,12","0,04"
"2010-02-12","17,23","16,83","17,33","17,07","-0,34","0,15"
"2010-02-15","17,07","16,90","17,23","17,07","+0,00","0,04"
"2010-02-16","17,03","16,97","17,18","17,18","+0,63","0,02"
"2010-02-17","17,23","17,19","17,72","17,52","+2,01","0,41"
"2010-02-18","17,64","16,74","17,72","17,66","+0,79","0,06"
"2010-02-19","17,34","17,34","17,63","17,62","-0,22","0,10"
"2010-02-22","17,71","17,64","17,92","17,72","+0,00","7,44"
"2010-02-23","17,72","17,37","17,72","17,37","-1,94","2,40"
"2010-02-24","17,36","17,28","17,60","17,53","+0,91","0,26"
"2010-02-25","17,57","17,09","17,57","17,09","-2,53","0,13"
"2010-02-26","17,27","17,27","17,72","17,62","+3,11","0,12"
"2010-03-01","17,52","17,34","17,67","17,66","+0,22","0,10"
"2010-03-02","17,73","17,73","18,21","17,92","+1,45","0,66"
"2010-03-03","18,16","17,54","18,17","18,11","+1,10","0,15"
"2010-03-04","18,01","17,82","18,11","18,06","-0,27","1,02"
"2010-03-05","18,09","17,82","18,09","18,04","-0,11","0,25"
"2010-03-08","18,11","18,11","18,61","18,46","+2,29","4,91"
"2010-03-09","18,61","18,51","18,70","18,67","+1,17","0,54"
"2010-03-10","18,61","18,57","19,10","18,95","+1,48","2,75"
"2010-03-11","18,80","18,80","19,37","19,20","+1,30","9,71"
"2010-03-12","19,14","19,14","20,18","20,13","+4,87","5,29"
"2010-03-15","20,17","19,69","20,17","20,02","-0,54","0,54"
"2010-03-16","19,98","19,49","20,15","20,08","+0,30","0,51"
"2010-03-17","19,69","19,69","20,12","19,93","-0,74","6,51"
"2010-03-18","19,70","19,60","19,92","19,87","-0,35","0,81"
"2010-03-19","19,79","19,20","19,79","19,38","-2,43","0,65"
"2010-03-22","19,41","18,90","19,41","18,91","-2,44","1,28"
"2010-03-23","18,96","18,96","19,29","19,16","+1,30","0,19"
"2010-03-24","19,22","19,20","19,44","19,25","+0,46","1,14"
"2010-03-25","19,25","19,20","19,34","19,34","+0,51","0,41"
"2010-03-26","19,44","19,20","19,49","19,49","+0,76","0,26"
"2010-03-29","19,59","19,29","20,08","19,89","+2,02","3,58"
"2010-03-30","20,07","20,07","21,14","21,05","+5,84","9,49"
"2010-03-31","21,14","20,77","21,26","21,02","-0,14","1,14"
"2010-04-01","21,01","20,82","21,21","21,02","+0,00","2,79"
"2010-04-06","21,00","20,53","21,02","20,87","-0,70","0,64"
"2010-04-07","20,86","20,48","20,97","20,62","-1,18","0,58"
"2010-04-08","20,36","20,19","20,36","20,28","-1,67","0,81"
