"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","4,87","4,55","5,28","5,02","+0,00","1,28"
"2010-01-05","5,04","4,92","5,44","5,14","+2,39","0,42"
"2010-01-06","5,37","5,06","5,37","5,19","+0,97","0,07"
"2010-01-07","5,24","4,88","5,24","5,00","-3,66","0,05"
"2010-01-08","4,90","4,70","5,00","4,79","-4,20","0,13"
"2010-01-11","4,90","4,76","4,95","4,92","+2,71","0,10"
"2010-01-12","4,92","4,78","4,92","4,78","-2,85","0,01"
"2010-01-13","4,88","4,88","4,99","4,99","+4,39","0,01"
"2010-01-14","5,05","4,99","5,09","5,08","+1,80","0,11"
"2010-01-15","5,08","4,91","5,08","5,07","-0,20","0,02"
"2010-01-18","5,07","5,07","5,09","5,08","+0,20","0,02"
"2010-01-19","5,08","5,05","5,09","5,05","-0,59","0,02"
"2010-01-20","5,09","5,09","5,38","5,16","+2,18","0,21"
"2010-01-21","5,30","4,91","5,30","4,91","-4,84","0,10"
"2010-01-22","5,05","4,95","5,39","5,14","+4,68","1,63"
"2010-01-25","5,14","5,10","5,14","5,14","+0,00","0,03"
"2010-01-26","5,00","5,00","5,13","5,09","-0,97","0,04"
"2010-01-27","4,91","4,91","5,15","5,15","+1,18","0,03"
"2010-01-28","5,30","5,06","5,30","5,20","+0,97","0,03"
"2010-01-29","5,22","5,12","5,23","5,12","-1,54","0,02"
"2010-02-01","5,10","5,10","5,25","5,23","+2,15","0,06"
"2010-02-02","5,25","5,25","5,35","5,34","+2,10","0,04"
"2010-02-03","5,44","5,44","5,59","5,50","+3,00","0,15"
"2010-02-04","5,56","5,50","5,80","5,52","+0,36","0,24"
"2010-02-05","5,49","5,18","5,49","5,48","-0,72","0,17"
"2010-02-08","5,30","5,30","5,64","5,35","-2,37","0,04"
"2010-02-09","5,49","5,27","5,49","5,35","+0,00","0,00"
"2010-02-10","5,49","5,35","5,51","5,40","+0,93","0,05"
"2010-02-11","5,40","5,40","5,60","5,50","+1,85","0,07"
"2010-02-12","5,50","5,45","5,70","5,70","+3,64","0,05"
"2010-02-15","5,60","5,55","5,75","5,70","+0,00","0,11"
"2010-02-16","5,60","5,46","5,96","5,96","+4,56","0,07"
"2010-02-17","5,70","5,70","5,99","5,99","+0,50","0,07"
"2010-02-18","6,00","5,90","6,00","5,90","-1,50","0,14"
"2010-02-19","5,80","5,80","5,93","5,93","+0,51","0,05"
"2010-02-22","5,85","5,80","5,90","5,89","+0,00","0,05"
"2010-02-23","5,90","5,80","5,90","5,84","-0,85","0,06"
"2010-02-24","5,85","5,70","5,85","5,70","-2,40","0,14"
"2010-02-25","5,75","5,51","5,75","5,51","-3,33","0,08"
