"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","0,88","0,88","0,99","0,99","+0,00","0,07"
"2010-01-06","0,96","0,96","0,96","0,96","-3,03","0,00"
"2010-01-07","0,90","0,90","0,90","0,90","-6,25","0,00"
"2010-01-08","0,91","0,90","0,93","0,90","+0,00","0,01"
"2010-01-11","0,90","0,90","0,90","0,90","+0,00","0,00"
"2010-01-12","0,91","0,91","0,91","0,91","+1,11","0,00"
"2010-01-13","0,90","0,89","0,91","0,91","+0,00","0,04"
"2010-01-14","0,90","0,90","0,93","0,90","-1,10","0,01"
"2010-01-15","0,90","0,89","0,95","0,94","+4,44","0,07"
"2010-01-18","0,93","0,93","0,96","0,96","+2,13","0,04"
"2010-01-19","0,97","0,97","1,11","1,10","+14,58","0,37"
"2010-01-20","1,10","0,99","1,10","1,07","-2,73","0,08"
"2010-01-21","0,99","0,99","1,03","1,03","-3,74","0,04"
"2010-01-22","1,00","0,96","1,10","1,03","+0,00","0,12"
"2010-01-25","1,01","1,00","1,11","1,01","-1,94","0,07"
"2010-01-26","1,05","0,97","1,06","0,98","-2,97","0,06"
"2010-01-27","0,95","0,95","0,95","0,95","-3,06","0,00"
"2010-01-28","1,03","1,03","1,04","1,04","+9,47","0,00"
"2010-01-29","0,97","0,97","1,00","1,00","-3,85","0,03"
"2010-02-01","1,00","0,96","1,01","0,99","-1,00","0,02"
"2010-02-02","0,99","0,99","1,11","1,06","+7,07","0,26"
"2010-02-03","1,06","1,00","1,12","1,12","+5,66","0,24"
"2010-02-04","1,14","1,14","1,34","1,26","+12,50","0,86"
"2010-02-05","1,25","1,16","1,28","1,24","-1,59","0,08"
"2010-02-08","1,25","1,14","1,25","1,19","-4,03","0,18"
"2010-02-09","1,17","1,17","1,30","1,29","+8,40","0,10"
"2010-02-10","1,25","1,22","1,32","1,30","+0,78","0,04"
"2010-02-11","1,21","1,20","1,33","1,25","-3,85","0,05"
"2010-02-12","1,30","1,22","1,34","1,32","+5,60","0,08"
"2010-02-15","1,32","1,31","1,41","1,39","+5,30","0,25"
"2010-02-16","1,35","1,30","1,39","1,35","-2,88","0,18"
"2010-02-17","1,35","1,34","1,36","1,34","-0,74","0,02"
"2010-02-18","1,34","1,26","1,34","1,33","-0,75","0,02"
"2010-02-19","1,30","1,28","1,33","1,28","-3,76","0,03"
"2010-02-22","1,26","1,23","1,33","1,32","+0,00","0,05"
"2010-02-23","1,27","1,27","1,36","1,35","+2,27","0,09"
