"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","2,03","1,98","2,05","2,03","+0,00","0,21"
"2010-01-05","2,02","1,91","2,02","1,96","-3,45","0,39"
"2010-01-06","1,97","1,92","1,97","1,95","-0,51","0,27"
"2010-01-07","1,94","1,88","1,95","1,89","-3,08","0,33"
"2010-01-08","1,90","1,90","1,93","1,90","+0,53","0,12"
"2010-01-11","1,91","1,89","1,96","1,93","+1,58","0,38"
"2010-01-12","1,94","1,89","1,94","1,89","-2,07","0,17"
"2010-01-13","1,91","1,85","1,91","1,89","+0,00","0,43"
"2010-01-14","1,88","1,88","1,95","1,90","+0,53","0,35"
"2010-01-15","1,92","1,89","1,93","1,90","+0,00","0,24"
"2010-01-18","1,90","1,87","1,96","1,88","-1,05","0,52"
"2010-01-19","1,91","1,87","1,92","1,91","+1,60","0,28"
"2010-01-20","1,91","1,88","1,91","1,88","-1,57","0,47"
"2010-01-21","1,88","1,86","1,89","1,89","+0,53","0,15"
"2010-01-22","1,82","1,82","1,86","1,86","-1,59","0,38"
"2010-01-25","1,85","1,80","1,85","1,81","-2,69","0,32"
"2010-01-26","1,78","1,73","1,78","1,74","-3,87","0,43"
"2010-01-27","1,74","1,74","1,80","1,76","+1,15","0,19"
"2010-01-28","1,76","1,72","1,79","1,72","-2,27","0,49"
"2010-01-29","1,75","1,72","1,75","1,73","+0,58","0,10"
"2010-02-01","1,73","1,68","1,73","1,69","-2,31","0,75"
"2010-02-02","1,69","1,69","1,73","1,70","+0,59","0,28"
"2010-02-03","1,73","1,68","1,75","1,69","-0,59","0,49"
"2010-02-04","1,68","1,62","1,70","1,64","-2,96","0,31"
"2010-02-05","1,62","1,54","1,64","1,61","-1,83","0,71"
"2010-02-08","1,61","1,56","1,63","1,58","-1,86","0,23"
"2010-02-09","1,58","1,58","1,63","1,63","+3,16","0,17"
"2010-02-10","1,65","1,62","1,65","1,63","+0,00","0,14"
"2010-02-11","1,62","1,59","1,63","1,60","-1,84","0,10"
"2010-02-12","1,63","1,59","1,63","1,61","+0,63","0,09"
"2010-02-15","1,61","1,61","1,66","1,64","+1,86","0,15"
"2010-02-16","1,66","1,64","1,68","1,68","+2,44","0,19"
"2010-02-17","1,72","1,69","1,73","1,72","+2,38","0,24"
"2010-02-18","1,71","1,70","1,74","1,73","+0,58","0,16"
"2010-02-19","1,70","1,67","1,70","1,69","-2,31","0,15"
"2010-02-22","1,72","1,70","1,73","1,71","+0,00","0,17"
"2010-02-23","1,71","1,68","1,71","1,69","-1,17","0,09"
"2010-02-24","1,69","1,67","1,69","1,68","-0,59","0,13"
"2010-02-25","1,68","1,66","1,70","1,66","-1,19","0,14"
"2010-02-26","1,65","1,65","1,70","1,70","+2,41","0,15"
"2010-03-01","1,69","1,66","1,69","1,68","-1,18","0,22"
