"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2012-03-27","1,70","1,63","1,74","1,66","+0,00","0,25"
"2012-03-28","1,69","1,66","1,73","1,71","+3,01","0,08"
"2012-03-29","1,71","1,66","1,71","1,70","-0,58","0,07"
"2012-03-30","1,66","1,66","1,79","1,78","+4,71","0,21"
"2012-04-02","1,78","1,78","2,13","2,06","+15,73","0,97"
"2012-04-03","2,02","1,90","2,02","1,91","-7,28","0,40"
"2012-04-04","1,91","1,85","2,02","2,00","+4,71","0,26"
"2012-04-05","2,01","1,95","2,04","1,99","-0,50","0,13"
"2012-04-10","1,99","1,95","2,02","2,00","+0,50","0,03"
"2012-04-11","1,94","1,83","1,97","1,87","-6,50","0,19"
"2012-04-12","1,88","1,82","1,88","1,86","-0,53","0,02"
"2012-04-13","1,82","1,81","1,94","1,88","+1,08","0,01"
"2012-04-16","1,86","1,80","1,90","1,85","-1,60","0,03"
"2012-04-17","1,88","1,81","1,89","1,84","-0,54","0,02"
"2012-04-18","1,85","1,81","1,87","1,84","+0,00","0,02"
"2012-04-19","1,84","1,80","1,84","1,81","-1,63","0,02"
"2012-04-20","1,81","1,81","1,88","1,87","+3,31","0,06"
"2012-04-23","1,88","1,80","1,88","1,85","-1,07","0,07"
"2012-04-24","1,84","1,83","1,87","1,85","+0,00","0,04"
"2012-04-25","1,84","1,82","1,91","1,83","-1,08","0,09"
"2012-04-26","1,85","1,80","1,85","1,84","+0,55","0,02"
"2012-04-27","1,85","1,68","1,85","1,69","-8,15","0,09"
"2012-04-30","1,71","1,67","1,75","1,72","+0,00","0,04"
"2012-05-02","1,78","1,65","1,78","1,74","+1,16","0,02"
"2012-05-04","1,74","1,67","1,75","1,75","+0,57","0,01"
"2012-05-07","1,74","1,60","1,74","1,69","-3,43","0,02"
"2012-05-08","1,69","1,68","1,71","1,69","+0,00","0,02"
"2012-05-09","1,67","1,61","1,78","1,68","-0,59","0,04"
"2012-05-10","1,68","1,63","1,79","1,78","+5,95","0,02"
"2012-05-11","1,76","1,76","1,80","1,80","+1,12","0,02"
"2012-05-14","1,82","1,72","1,82","1,80","+0,00","0,02"
"2012-05-15","1,74","1,73","1,80","1,73","-3,89","0,01"
