"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","3,01","3,01","3,13","3,13","+0,00","0,00"
"2010-01-05","3,08","3,08","3,16","3,16","+0,96","0,06"
"2010-01-06","3,17","3,17","3,20","3,19","+0,95","0,06"
"2010-01-07","3,25","3,15","3,25","3,16","-0,94","0,04"
"2010-01-08","3,23","3,18","3,25","3,22","+1,90","0,04"
"2010-01-11","3,28","3,25","3,34","3,34","+3,73","0,06"
"2010-01-12","3,34","3,28","3,34","3,28","-1,80","0,03"
"2010-01-13","3,31","3,21","3,34","3,34","+1,83","0,03"
"2010-01-14","3,35","3,28","3,40","3,38","+1,20","0,04"
"2010-01-15","3,38","3,38","3,40","3,40","+0,59","0,05"
"2010-01-18","3,37","3,33","3,40","3,40","+0,00","0,06"
"2010-01-19","3,40","3,30","3,40","3,39","-0,29","0,01"
"2010-01-20","3,40","3,30","3,40","3,38","-0,29","0,01"
"2010-01-21","3,38","3,30","3,40","3,30","-2,37","0,04"
"2010-01-22","3,30","3,18","3,30","3,18","-3,64","0,02"
"2010-01-25","3,13","3,11","3,17","3,17","-0,31","0,00"
"2010-01-26","3,14","3,07","3,14","3,13","-1,26","0,02"
"2010-01-27","3,07","3,07","3,23","3,18","+1,60","0,01"
"2010-01-28","3,20","3,10","3,40","3,36","+5,66","0,06"
"2010-01-29","3,37","3,35","3,38","3,38","+0,60","0,02"
"2010-02-01","3,40","3,39","3,43","3,43","+1,48","0,05"
"2010-02-02","3,43","3,37","3,43","3,43","+0,00","0,03"
"2010-02-03","3,12","3,12","3,36","3,30","-3,79","0,61"
"2010-02-04","3,30","3,05","3,30","3,05","-7,58","0,15"
"2010-02-05","3,00","2,97","3,17","3,17","+3,93","0,10"
"2010-02-08","3,18","3,04","3,18","3,12","-1,58","0,03"
"2010-02-09","3,05","3,05","3,09","3,09","-0,96","0,01"
"2010-02-10","3,11","3,03","3,19","3,10","+0,32","0,06"
"2010-02-11","3,10","3,00","3,17","3,14","+1,29","0,05"
"2010-02-12","3,09","3,09","3,14","3,14","+0,00","0,00"
"2010-02-15","3,18","3,14","3,18","3,18","+1,27","0,01"
