"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","5,02","4,99","5,16","5,08","+0,00","0,29"
"2010-01-05","5,09","5,09","5,22","5,21","+2,56","0,06"
"2010-01-06","5,21","5,15","5,39","5,34","+2,50","0,05"
"2010-01-07","5,20","5,00","5,20","5,06","-5,24","0,22"
"2010-01-08","5,05","5,04","5,18","5,15","+1,78","0,02"
"2010-01-11","5,17","5,04","5,30","5,30","+2,91","0,05"
"2010-01-12","5,29","5,20","5,29","5,20","-1,89","0,07"
"2010-01-13","5,07","5,07","5,38","5,38","+3,46","0,02"
"2010-01-14","5,23","5,14","5,33","5,16","-4,09","0,11"
"2010-01-15","5,15","5,10","5,39","5,30","+2,71","0,07"
"2010-01-18","5,28","5,15","5,31","5,25","-0,94","0,20"
"2010-01-19","5,25","5,18","5,30","5,29","+0,76","0,04"
"2010-01-20","5,18","5,14","5,27","5,14","-2,84","0,15"
"2010-01-21","5,11","5,11","5,26","5,22","+1,56","0,04"
"2010-01-22","5,12","5,03","5,12","5,12","-1,92","0,10"
"2010-01-25","5,18","5,02","5,18","5,12","+0,00","0,14"
"2010-01-26","5,02","4,90","5,08","5,08","-0,78","0,10"
"2010-01-27","5,02","5,02","5,09","5,08","+0,00","0,05"
"2010-01-28","5,05","4,97","5,14","4,97","-2,17","0,10"
"2010-01-29","4,92","4,90","5,07","5,07","+2,01","0,06"
"2010-02-01","5,07","5,05","5,19","5,19","+2,37","0,04"
"2010-02-02","5,19","5,14","5,37","5,33","+2,70","0,29"
"2010-02-03","5,30","5,21","5,30","5,29","-0,75","0,02"
"2010-02-04","5,29","5,05","5,29","5,12","-3,21","0,01"
"2010-02-05","4,87","4,81","5,05","5,04","-1,56","0,07"
"2010-02-08","4,82","4,82","5,00","4,97","-1,39","0,04"
"2010-02-09","4,97","4,86","4,97","4,87","-2,01","0,01"
"2010-02-10","4,97","4,81","4,97","4,95","+1,64","0,03"
"2010-02-11","4,86","4,80","4,95","4,95","+0,00","0,11"
"2010-02-12","4,94","4,94","5,00","4,95","+0,00","0,03"
"2010-02-15","4,83","4,82","5,00","4,98","+0,61","0,11"
"2010-02-16","4,84","4,84","5,00","4,98","+0,00","0,01"
"2010-02-17","4,85","4,79","5,00","4,82","-3,21","0,18"
"2010-02-18","4,89","4,89","4,89","4,89","+1,45","0,01"
"2010-02-19","4,85","4,85","4,94","4,94","+1,02","0,02"
"2010-02-22","4,85","4,70","4,85","4,80","+0,00","0,12"
"2010-02-23","4,91","4,74","4,91","4,85","+1,04","0,01"
"2010-02-24","4,85","4,71","4,85","4,71","-2,89","0,03"
"2010-02-25","4,71","4,71","4,81","4,81","+2,12","0,01"
"2010-02-26","4,81","4,72","4,81","4,81","+0,00","0,00"
"2010-03-01","4,83","4,71","4,83","4,83","+0,42","0,07"
"2010-03-02","4,83","4,80","4,90","4,90","+1,45","0,04"
"2010-03-03","4,90","4,86","5,37","5,25","+7,14","0,32"
"2010-03-04","5,11","5,10","5,39","5,30","+0,95","0,07"
"2010-03-05","5,34","5,17","5,34","5,28","-0,38","0,02"
"2010-03-09","5,20","5,10","5,25","5,10","-3,41","0,02"
"2010-03-10","5,14","4,82","5,14","4,90","-3,92","0,36"
"2010-03-11","5,00","4,84","5,00","4,95","+1,02","0,09"
"2010-03-12","5,00","4,90","5,00","5,00","+1,01","0,09"
"2010-03-15","5,05","4,90","5,08","5,03","+0,60","0,26"
"2010-03-16","5,09","5,06","5,19","5,17","+2,78","0,16"
"2010-03-17","5,18","5,00","5,25","5,13","-0,77","0,45"
"2010-03-18","5,20","5,10","5,20","5,17","+0,78","0,11"
"2010-03-19","5,16","5,10","5,16","5,15","-0,39","0,03"
"2010-03-22","5,15","5,14","5,19","5,18","+0,58","0,11"
"2010-03-23","5,25","5,10","5,25","5,10","-1,54","0,17"
"2010-03-24","5,16","5,06","5,20","5,19","+1,76","0,07"
"2010-03-25","5,22","5,15","5,58","5,55","+6,94","0,36"
"2010-03-26","5,42","5,41","5,67","5,63","+1,44","0,44"
"2010-03-29","5,67","5,42","5,79","5,72","+1,60","0,51"
"2010-03-30","5,80","5,80","6,38","6,25","+9,27","1,09"
"2010-03-31","6,34","5,80","6,34","5,87","-6,08","0,34"
"2010-04-01","5,95","5,90","6,20","6,20","+5,62","0,40"
"2010-04-06","6,29","6,01","6,30","6,29","+1,45","0,36"
"2010-04-07","6,25","6,13","6,49","6,48","+3,02","0,50"
"2010-04-08","6,50","6,45","6,77","6,75","+4,17","0,70"
"2010-04-09","6,80","6,77","7,00","6,77","+0,30","0,37"
"2010-04-12","6,65","6,65","6,89","6,76","+0,00","0,11"
