"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","25,79","25,50","25,88","25,79","+0,00","1,81"
"2010-01-05","26,00","25,61","26,45","26,30","+1,98","4,28"
"2010-01-06","26,45","26,45","27,90","27,50","+4,56","6,01"
"2010-01-07","27,50","27,01","27,59","27,38","-0,44","2,90"
"2010-01-08","27,50","27,50","28,45","28,25","+3,18","8,81"
"2010-01-11","28,30","27,50","28,50","27,55","-2,48","6,49"
"2010-01-12","27,77","26,70","27,77","27,30","-0,91","1,81"
"2010-01-13","26,55","26,55","27,50","27,30","+0,00","1,89"
"2010-01-14","27,30","27,01","27,59","27,03","-0,99","6,23"
"2010-01-15","27,40","26,51","27,49","26,99","-0,15","4,99"
"2010-01-18","27,00","26,40","27,00","26,80","-0,70","2,88"
"2010-01-19","27,00","26,40","27,34","26,60","-0,75","4,18"
"2010-01-20","26,60","26,50","26,94","26,51","-0,34","3,18"
"2010-01-21","26,50","26,00","26,50","26,00","-1,92","0,79"
"2010-01-22","26,00","24,90","26,09","25,20","-3,08","3,12"
"2010-01-25","24,89","24,43","25,39","25,39","+0,75","2,56"
"2010-01-26","25,40","24,61","25,44","25,15","-0,95","3,47"
"2010-01-27","25,00","24,52","25,00","24,52","-2,50","8,20"
"2010-01-28","25,00","24,80","26,00","25,00","+1,96","4,30"
"2010-01-29","24,99","24,46","25,14","25,00","+0,00","0,69"
"2010-02-01","24,93","24,60","24,93","24,71","-1,16","0,77"
"2010-02-02","24,85","24,85","25,15","24,90","+0,77","0,62"
"2010-02-03","25,00","25,00","25,35","25,35","+1,81","1,98"
"2010-02-04","25,40","24,70","25,65","24,70","-2,56","2,97"
"2010-02-05","23,80","22,00","24,00","23,56","-4,62","4,33"
"2010-02-08","23,23","23,23","24,45","23,80","+1,02","1,61"
"2010-02-09","24,00","23,40","24,00","23,40","-1,68","5,02"
"2010-02-10","23,40","23,06","23,70","23,07","-1,41","1,29"
"2010-02-11","23,10","22,10","23,10","22,18","-3,86","4,56"
"2010-02-12","22,10","21,80","22,31","22,20","+0,09","4,53"
"2010-02-15","22,29","22,25","22,93","22,60","+1,80","3,43"
"2010-02-16","22,99","22,99","23,85","23,40","+3,54","2,81"
"2010-02-17","23,97","23,46","23,97","23,88","+2,05","0,81"
"2010-02-18","23,88","23,52","23,88","23,55","-1,38","0,40"
"2010-02-19","23,50","23,30","23,55","23,31","-1,02","1,80"
"2010-02-22","23,62","23,56","23,90","23,80","+0,00","0,88"
"2010-02-23","23,94","23,07","23,95","23,89","+0,38","1,65"
"2010-02-24","23,79","23,30","23,79","23,41","-2,01","0,38"
"2010-02-25","23,42","22,22","23,42","22,56","-3,63","0,82"
"2010-02-26","22,25","22,25","22,84","22,68","+0,53","2,18"
"2010-03-01","22,98","22,76","24,10","24,10","+6,26","1,54"
"2010-03-02","23,97","23,50","23,97","23,51","-2,45","2,13"
"2010-03-03","23,57","23,20","23,60","23,40","-0,47","1,75"
"2010-03-04","23,29","23,10","23,30","23,16","-1,03","1,95"
"2010-03-05","23,20","23,16","23,58","23,26","+0,43","5,55"
"2010-03-08","23,63","23,01","23,63","23,01","-1,07","1,46"
