"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","3,11","3,11","3,11","3,11","+0,00","0,00"
"2010-01-05","3,20","3,11","3,20","3,11","+0,00","0,01"
"2010-01-07","3,10","3,03","3,10","3,03","-2,57","0,01"
"2010-01-08","3,05","3,05","3,05","3,05","+0,66","0,02"
"2010-01-12","3,03","3,03","3,03","3,03","-0,66","0,00"
"2010-01-13","3,05","3,01","3,15","3,15","+3,96","0,03"
"2010-01-14","3,10","3,10","3,20","3,20","+1,59","0,01"
"2010-01-15","3,10","3,08","3,10","3,08","-3,75","0,01"
"2010-01-19","3,20","3,20","3,48","3,48","+12,99","0,09"
"2010-01-20","3,48","3,40","3,54","3,40","-2,30","0,02"
"2010-01-21","3,26","3,26","3,73","3,70","+8,82","0,04"
"2010-01-22","3,33","3,33","3,69","3,69","-0,27","0,00"
"2010-01-29","3,50","3,50","3,50","3,50","-5,15","0,00"
"2010-02-01","3,50","3,50","3,50","3,50","+0,00","0,00"
"2010-02-02","3,50","3,50","3,51","3,50","+0,00","0,01"
"2010-02-03","3,50","3,39","3,50","3,39","-3,14","0,00"
"2010-02-04","3,39","3,37","3,39","3,37","-0,59","0,01"
"2010-02-05","3,50","3,40","3,50","3,47","+2,97","0,02"
"2010-02-08","3,50","3,50","3,68","3,51","+1,15","0,04"
"2010-02-10","3,67","3,67","3,70","3,70","+5,41","0,02"
"2010-02-15","3,37","3,37","3,50","3,50","-5,41","0,03"
"2010-02-16","3,50","3,43","3,69","3,69","+5,43","0,04"
"2010-02-17","3,59","3,59","3,65","3,65","-1,08","0,01"
"2010-02-18","3,65","3,65","3,65","3,65","+0,00","0,00"
"2010-02-22","3,65","3,60","3,70","3,62","+0,00","0,02"
"2010-02-24","3,49","3,48","3,68","3,68","+1,66","0,01"
"2010-02-25","3,60","3,60","3,70","3,70","+0,54","0,00"
"2010-02-26","3,60","3,60","3,60","3,60","-2,70","0,00"
"2010-03-01","3,69","3,55","3,69","3,69","+2,50","0,03"
"2010-03-02","3,70","3,70","3,98","3,98","+7,86","0,07"
"2010-03-03","3,85","3,75","3,95","3,95","-0,75","0,01"
"2010-03-04","3,73","3,73","3,73","3,73","-5,57","0,00"
"2010-03-05","3,73","3,73","3,73","3,73","+0,00","0,00"
"2010-03-08","3,90","3,50","3,90","3,50","-6,17","0,04"
"2010-03-10","3,61","3,61","3,61","3,61","+3,14","0,00"
"2010-03-11","3,62","3,62","3,65","3,65","+1,11","0,00"
"2010-03-12","3,80","3,80","3,90","3,88","+6,30","0,03"
"2010-03-15","3,88","3,67","3,88","3,67","-5,41","0,02"
"2010-03-16","3,66","3,66","3,79","3,70","+0,82","0,03"
"2010-03-17","3,71","3,68","3,71","3,68","-0,54","0,02"
"2010-03-18","3,68","3,66","3,68","3,66","-0,54","0,00"
"2010-03-22","3,65","3,60","3,70","3,70","+1,09","0,01"
"2010-03-26","3,56","3,56","3,60","3,60","-2,70","0,01"
"2010-03-29","3,63","3,62","3,70","3,70","+2,78","0,02"
"2010-03-31","3,65","3,65","3,65","3,65","-1,35","0,00"
"2010-04-01","3,68","3,68","3,68","3,68","+0,82","0,00"
"2010-04-06","3,66","3,66","3,66","3,66","-0,54","0,00"
"2010-04-07","3,76","3,76","3,76","3,76","+2,73","0,00"
"2010-04-08","3,76","3,76","3,76","3,76","+0,00","0,01"
"2010-04-09","3,85","3,85","4,62","4,49","+19,41","0,34"
"2010-04-12","4,33","4,12","4,89","4,89","+0,00","0,11"
"2010-04-13","4,98","4,21","4,98","4,64","-5,11","0,06"
"2010-04-14","4,64","4,10","4,64","4,10","-11,64","0,06"
"2010-04-15","4,11","4,02","4,11","4,02","-1,95","0,03"
"2010-04-16","4,10","4,10","4,10","4,10","+1,99","0,00"
"2010-04-19","4,10","4,10","4,18","4,18","+1,95","0,01"
"2010-04-20","4,03","4,02","4,20","4,07","-2,63","0,01"
"2010-04-21","4,10","4,10","4,15","4,15","+1,97","0,01"
"2010-04-22","4,24","4,24","4,24","4,24","+2,17","0,00"
"2010-04-23","4,21","4,21","4,47","4,47","+5,42","0,04"
"2010-04-26","4,30","4,30","4,40","4,40","-1,57","0,01"
"2010-04-30","4,37","4,37","4,46","4,46","+1,36","0,01"
"2010-05-05","4,40","4,16","4,40","4,29","-3,81","0,04"
"2010-05-06","4,30","4,30","4,49","4,49","+4,66","0,02"
"2010-05-07","4,30","4,16","4,30","4,30","-4,23","0,02"
"2010-05-11","4,30","4,17","4,37","4,37","+1,63","0,03"
"2010-05-12","4,25","4,25","4,40","4,40","+0,69","0,02"
"2010-05-13","4,30","4,25","4,30","4,30","-2,27","0,00"
"2010-05-14","4,30","4,30","4,48","4,44","+3,26","0,03"
"2010-05-17","4,44","4,30","4,44","4,40","-0,90","0,01"
"2010-05-18","4,21","4,00","4,21","4,10","-6,82","0,07"
"2010-05-19","4,05","4,00","4,05","4,00","-2,44","0,01"
"2010-05-21","4,00","3,80","4,14","4,14","+3,50","0,01"
"2010-05-24","4,00","4,00","4,14","4,14","+0,00","0,00"
"2010-05-26","4,15","4,15","4,18","4,18","+0,97","0,01"
"2010-05-27","4,18","4,07","4,25","4,24","+1,44","0,03"
"2010-05-28","4,24","4,15","4,36","4,36","+2,83","0,02"
"2010-05-31","4,25","4,11","4,36","4,29","+0,00","0,01"
"2010-06-01","4,29","4,29","4,29","4,29","+0,00","0,00"
"2010-06-02","4,35","4,30","4,35","4,30","+0,23","0,01"
"2010-06-04","4,30","4,30","4,30","4,30","+0,00","0,00"
"2010-06-08","4,10","4,10","4,26","4,26","-0,93","0,00"
"2010-06-10","4,27","4,27","4,30","4,30","+0,94","0,00"
"2010-06-11","4,30","4,30","4,30","4,30","+0,00","0,01"
"2010-06-14","4,32","4,32","4,49","4,49","+4,42","0,01"
"2010-06-15","4,49","4,21","4,49","4,46","-0,67","0,01"
"2010-06-16","4,39","4,39","4,39","4,39","-1,57","0,00"
"2010-06-17","4,37","4,37","4,49","4,49","+2,28","0,02"
"2010-06-18","4,49","4,49","4,49","4,49","+0,00","0,00"
"2010-06-21","4,58","4,57","4,58","4,57","+1,78","0,01"
"2010-06-30","4,45","4,45","4,55","4,54","-0,66","0,00"
"2010-07-01","4,45","4,27","4,45","4,44","-2,20","0,01"
"2010-07-02","4,25","4,25","4,40","4,40","-0,90","0,00"
