"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","122,00","121,90","123,00","122,50","+0,00","0,33"
"2010-01-05","122,50","121,50","123,00","122,00","-0,41","0,21"
"2010-01-06","121,50","121,50","122,50","122,30","+0,25","0,25"
"2010-01-07","122,30","122,30","124,00","123,90","+1,31","0,40"
"2010-01-08","124,00","124,00","125,50","125,40","+1,21","0,37"
"2010-01-11","126,20","124,00","126,80","124,60","-0,64","0,62"
"2010-01-12","125,00","122,70","126,00","123,00","-1,28","0,28"
"2010-01-13","121,70","121,70","124,50","123,00","+0,00","0,06"
"2010-01-14","122,50","122,50","124,80","124,80","+1,46","0,02"
"2010-01-15","123,00","122,10","125,00","124,40","-0,32","0,45"
"2010-01-18","122,50","120,50","124,40","123,00","-1,13","0,21"
"2010-01-19","123,10","122,30","123,60","122,30","-0,57","0,10"
"2010-01-20","123,90","120,00","123,90","122,10","-0,16","0,97"
"2010-01-21","120,50","119,50","121,70","119,50","-2,13","0,88"
"2010-01-22","120,00","118,10","120,00","119,00","-0,42","1,00"
"2010-01-25","118,00","115,40","118,20","116,00","-2,52","5,88"
"2010-01-26","116,00","112,20","116,00","113,00","-2,59","4,75"
"2010-01-27","114,00","112,60","114,00","113,00","+0,00","0,23"
"2010-01-28","112,40","112,40","116,80","115,00","+1,77","0,45"
"2010-01-29","114,00","114,00","116,30","115,00","+0,00","0,89"
"2010-02-01","115,00","113,20","116,10","114,00","-0,87","7,07"
"2010-02-02","113,70","113,70","118,90","118,90","+4,30","0,27"
"2010-02-03","120,00","120,00","122,00","121,90","+2,52","0,30"
"2010-02-04","120,00","117,50","121,00","117,90","-3,28","0,74"
"2010-02-05","114,00","114,00","116,00","114,50","-2,88","2,61"
"2010-02-08","113,10","113,10","115,50","114,20","-0,26","0,29"
"2010-02-09","115,00","114,00","115,00","115,00","+0,70","0,07"
"2010-02-10","115,00","114,00","116,00","115,00","+0,00","1,72"
"2010-02-11","115,40","115,00","117,00","115,10","+0,09","4,69"
"2010-02-12","114,10","114,10","117,90","117,00","+1,65","1,51"
"2010-02-15","117,00","116,50","117,80","117,50","+0,43","0,18"
"2010-02-16","118,00","116,40","118,00","116,50","-0,85","0,11"
"2010-02-17","117,00","117,00","117,50","117,50","+0,86","0,06"
"2010-02-18","118,00","117,10","118,00","117,90","+0,34","0,44"
"2010-02-19","117,90","115,50","117,90","116,50","-1,19","4,14"
"2010-02-22","116,50","114,60","118,00","115,60","+0,00","4,15"
"2010-02-23","115,80","115,00","116,90","115,00","-0,52","0,21"
"2010-02-24","114,00","114,00","116,80","116,80","+1,57","0,12"
"2010-02-25","114,90","111,60","116,50","114,20","-2,23","0,62"
"2010-02-26","112,20","111,60","114,00","113,90","-0,26","2,49"
"2010-03-01","113,80","113,00","113,80","113,70","-0,18","0,06"
"2010-03-02","113,00","113,00","115,70","115,70","+1,76","0,16"
"2010-03-03","115,00","113,70","115,00","114,80","-0,78","0,52"
"2010-03-04","115,00","114,00","115,00","115,00","+0,17","1,46"
"2010-03-05","113,50","113,50","115,70","115,70","+0,61","1,30"
"2010-03-08","115,80","115,80","116,50","116,50","+0,69","7,96"
"2010-03-09","116,50","113,10","117,20","116,90","+0,34","0,12"
"2010-03-10","116,90","114,40","117,00","117,00","+0,09","0,14"
"2010-03-11","117,00","113,50","117,00","117,00","+0,00","0,24"
"2010-03-12","116,90","116,00","117,40","116,50","-0,43","3,19"
"2010-03-15","116,00","116,00","119,80","118,00","+1,29","0,42"
"2010-03-16","118,00","115,00","119,00","117,00","-0,85","0,52"
"2010-03-17","117,90","115,00","118,00","115,50","-1,28","0,79"
"2010-03-18","115,00","115,00","117,90","117,90","+2,08","0,30"
"2010-03-19","117,90","115,70","118,00","116,00","-1,61","0,23"
"2010-03-22","117,80","116,20","118,00","116,20","+0,17","0,19"
"2010-03-23","116,90","116,80","117,90","117,80","+1,38","0,22"
"2010-03-24","117,80","115,50","117,80","115,50","-1,95","1,99"
"2010-03-25","117,80","115,90","117,90","116,40","+0,78","0,28"
"2010-03-26","116,40","115,20","117,40","116,10","-0,26","3,45"
"2010-03-29","117,70","115,60","117,90","115,60","-0,43","0,17"
"2010-03-30","116,10","115,60","117,00","116,50","+0,78","1,96"
"2010-03-31","116,00","114,00","116,00","114,50","-1,72","6,85"
"2010-04-01","115,70","114,00","116,00","114,00","-0,44","0,21"
"2010-04-06","113,20","113,20","120,00","116,50","+2,19","1,63"
"2010-04-07","117,00","116,50","117,40","117,00","+0,43","1,27"
"2010-04-08","117,00","114,20","117,00","114,70","-1,97","1,37"
"2010-04-09","114,50","113,50","114,70","113,50","-1,05","3,11"
"2010-04-12","113,40","113,40","113,70","113,50","+0,00","0,42"
"2010-04-13","113,50","113,50","115,00","115,00","+1,32","0,67"
"2010-04-14","117,00","115,20","117,50","115,20","+0,17","0,51"
"2010-04-15","115,20","114,80","116,70","116,70","+1,30","1,02"
"2010-04-16","114,80","114,50","116,60","116,60","-0,09","1,61"
"2010-04-19","116,90","113,20","116,90","113,50","-2,66","0,29"
"2010-04-20","114,00","113,70","116,00","113,70","+0,18","0,49"
"2010-04-21","114,50","114,00","115,00","114,00","+0,26","0,10"
"2010-04-22","114,00","113,50","114,60","114,60","+0,53","0,76"
"2010-04-23","113,60","113,60","114,30","114,30","-0,26","0,21"
"2010-04-26","114,30","114,30","117,40","117,40","+2,71","0,11"
"2010-04-27","117,40","114,20","117,40","114,90","-2,13","1,33"
"2010-04-28","115,00","112,00","115,30","113,90","-0,87","0,60"
"2010-04-29","115,90","113,40","116,00","114,00","+0,09","0,41"
"2010-04-30","115,90","115,10","118,00","118,00","+3,51","10,12"
"2010-05-04","120,00","115,40","120,00","115,80","-1,86","0,41"
"2010-05-05","114,70","112,80","115,90","113,00","-2,42","3,22"
"2010-05-06","112,50","112,50","114,50","113,00","+0,00","6,01"
"2010-05-07","111,00","110,00","112,00","110,60","-2,12","1,69"
"2010-05-10","111,20","110,90","117,00","112,00","+1,27","1,13"
"2010-05-11","112,00","111,80","112,50","112,50","+0,45","0,20"
"2010-05-12","112,00","110,20","113,00","113,00","+0,44","0,39"
"2010-05-13","113,40","112,50","114,50","114,00","+0,88","0,29"
"2010-05-14","114,90","110,00","115,00","110,00","-3,51","0,43"
"2010-05-17","110,00","108,00","112,90","111,90","+1,73","0,36"
"2010-05-18","114,00","110,00","114,00","110,00","-1,70","1,21"
"2010-05-19","109,20","106,00","111,40","106,50","-3,18","2,27"
"2010-05-20","105,70","104,00","109,20","104,10","-2,25","7,50"
"2010-05-21","104,00","104,00","106,80","104,90","+0,77","1,00"
"2010-05-24","105,00","105,00","106,80","105,50","+0,57","0,23"
"2010-05-25","105,00","102,90","107,90","103,50","-1,90","2,79"
"2010-05-26","107,40","105,30","107,50","105,30","+1,74","1,41"
"2010-05-27","109,30","106,50","109,30","106,50","+1,14","0,89"
"2010-05-28","107,50","106,20","109,70","106,20","-0,28","0,87"
"2010-05-31","107,80","106,00","107,80","107,00","+0,00","0,42"
"2010-06-01","108,00","106,40","108,40","108,00","+0,93","1,19"
"2010-06-02","107,50","107,50","109,70","109,60","+1,48","0,80"
"2010-06-04","110,00","107,10","110,00","107,10","-2,28","1,68"
"2010-06-07","107,30","107,30","108,60","107,50","+0,37","1,04"
"2010-06-08","109,20","106,00","109,20","106,70","-0,74","0,07"
"2010-06-09","106,80","106,80","107,90","107,50","+0,75","0,07"
"2010-06-10","108,00","106,20","108,00","106,60","-0,84","3,07"
"2010-06-11","107,80","105,60","108,50","105,60","-0,94","0,10"
"2010-06-14","107,00","104,80","107,00","104,90","-0,66","6,16"
"2010-06-15","105,00","104,00","105,00","104,20","-0,67","33,93"
"2010-06-16","106,00","104,00","106,00","104,00","-0,19","0,86"
"2010-06-17","104,20","103,50","107,00","103,90","-0,10","20,35"
"2010-06-18","105,50","100,60","105,50","100,70","-3,08","3,48"
"2010-06-21","103,80","101,60","103,80","102,50","+1,79","0,66"
"2010-06-22","103,00","102,50","105,30","104,00","+1,46","8,44"
"2010-06-23","104,00","102,20","105,10","103,50","-0,48","15,83"
"2010-06-24","105,00","103,50","105,70","104,80","+1,26","0,35"
"2010-06-25","104,00","103,60","104,10","103,60","-1,15","1,80"
"2010-06-28","103,60","101,10","104,90","104,50","+0,87","4,22"
"2010-06-29","102,30","102,30","103,60","102,40","-2,01","0,11"
"2010-06-30","103,10","101,50","103,20","101,50","-0,88","0,19"
"2010-07-01","101,50","100,80","102,80","101,00","-0,49","0,37"
"2010-07-02","101,00","100,20","103,40","101,80","+0,79","0,43"
"2010-07-05","102,00","102,00","103,50","103,00","+1,18","0,55"
"2010-07-06","103,00","102,70","103,40","103,00","+0,00","0,76"
"2010-07-07","103,00","102,80","103,00","103,00","+0,00","0,66"
"2010-07-08","103,20","103,20","105,50","105,50","+2,43","2,94"
"2010-07-09","105,00","105,00","105,90","105,90","+0,38","0,26"
"2010-07-12","101,90","101,90","103,30","103,00","-2,74","0,39"
"2010-07-13","103,10","103,10","108,00","103,20","+0,19","0,49"
"2010-07-14","104,10","104,10","106,00","106,00","+2,71","0,12"
