"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","31,81","31,81","32,98","32,95","+0,00","18,61"
"2010-01-05","32,95","32,95","33,50","33,30","+1,06","19,76"
"2010-01-06","33,50","33,05","33,50","33,50","+0,60","12,56"
"2010-01-07","33,30","32,85","33,35","32,90","-1,79","7,36"
"2010-01-08","33,29","32,50","33,29","32,50","-1,22","9,33"
"2010-01-11","33,20","32,80","33,40","33,00","+1,54","7,91"
"2010-01-12","33,19","31,80","33,19","31,89","-3,36","13,69"
"2010-01-13","31,78","31,31","32,00","31,75","-0,44","15,92"
"2010-01-14","32,00","31,79","32,22","31,89","+0,44","6,27"
"2010-01-15","32,15","31,84","32,78","31,84","-0,16","14,00"
"2010-01-18","31,93","31,85","32,30","32,02","+0,57","7,84"
"2010-01-19","32,02","31,40","32,18","32,18","+0,50","13,30"
"2010-01-20","31,85","31,85","32,40","32,07","-0,34","6,03"
"2010-01-21","32,00","31,10","32,00","31,10","-3,02","27,99"
"2010-01-22","30,29","29,00","30,29","29,40","-5,47","110,29"
"2010-01-25","29,23","28,87","29,39","28,87","-1,80","22,14"
"2010-01-26","28,69","27,50","28,69","28,05","-2,84","24,25"
"2010-01-27","28,10","27,87","28,59","27,87","-0,64","33,68"
"2010-01-28","28,65","28,00","28,65","28,00","+0,47","11,82"
"2010-01-29","28,24","27,95","28,24","28,05","+0,18","14,96"
"2010-02-01","28,00","27,58","28,29","27,66","-1,39","7,89"
"2010-02-02","27,81","27,81","28,24","28,10","+1,59","13,60"
"2010-02-03","28,50","28,00","28,73","28,00","-0,36","24,24"
"2010-02-04","28,20","26,55","28,20","26,70","-4,64","17,70"
"2010-02-05","25,99","25,25","26,35","25,96","-2,77","25,20"
"2010-02-08","26,22","25,70","26,87","25,95","-0,04","12,34"
"2010-02-09","26,10","26,00","26,41","26,10","+0,58","9,55"
"2010-02-10","26,45","25,91","26,60","25,95","-0,57","10,15"
"2010-02-11","26,23","25,52","26,32","25,52","-1,66","14,40"
"2010-02-12","25,99","25,73","26,32","26,10","+2,27","10,91"
"2010-02-15","26,12","25,91","26,27","26,07","-0,11","6,88"
"2010-02-16","26,20","25,96","26,43","25,97","-0,38","9,62"
"2010-02-17","26,40","26,30","27,40","27,35","+5,31","20,68"
"2010-02-18","27,25","27,01","27,60","27,31","-0,15","8,36"
"2010-02-19","27,04","26,71","27,44","27,02","-1,06","14,14"
"2010-02-22","27,65","27,10","27,70","27,20","+0,00","9,90"
"2010-02-23","27,78","26,50","27,79","27,00","-0,74","15,85"
"2010-02-24","26,79","26,53","26,95","26,55","-1,67","6,55"
"2010-02-25","26,55","25,05","26,94","25,58","-3,65","14,29"
"2010-02-26","25,80","25,80","27,30","27,30","+6,72","27,35"
"2010-03-01","27,50","27,12","27,70","27,51","+0,77","11,67"
"2010-03-02","28,20","27,52","28,30","28,30","+2,87","16,17"
"2010-03-03","28,45","28,03","28,50","28,35","+0,18","10,76"
"2010-03-04","28,24","28,00","28,75","28,00","-1,23","10,31"
"2010-03-05","28,10","28,00","28,50","28,47","+1,68","8,57"
"2010-03-08","28,67","28,45","28,72","28,68","+0,74","13,33"
"2010-03-09","28,50","27,30","28,55","28,30","-1,32","19,14"
"2010-03-10","27,94","27,94","28,78","28,50","+0,71","15,88"
"2010-03-11","28,80","28,35","28,80","28,70","+0,70","11,84"
"2010-03-12","28,76","28,51","29,42","28,69","-0,03","23,09"
"2010-03-15","28,80","28,21","29,00","28,28","-1,43","11,00"
"2010-03-16","28,30","28,30","29,05","28,89","+2,16","10,60"
"2010-03-17","29,30","29,09","29,75","29,25","+1,25","23,45"
"2010-03-18","29,32","29,32","29,83","29,54","+0,99","24,66"
"2010-03-19","29,85","28,86","29,98","29,75","+0,71","68,87"
"2010-03-22","29,75","29,30","29,93","29,50","-0,84","6,89"
"2010-03-23","29,98","29,50","30,01","29,51","+0,03","7,90"
"2010-03-24","29,70","27,30","29,92","28,81","-2,37","21,79"
"2010-03-25","29,19","29,05","29,98","29,98","+4,06","13,14"
"2010-03-26","29,98","29,50","30,15","30,15","+0,57","19,40"
"2010-03-29","30,16","29,75","30,60","29,85","-1,00","12,49"
"2010-03-30","29,95","29,70","30,16","30,00","+0,50","4,27"
"2010-03-31","29,97","29,50","30,05","29,50","-1,67","11,42"
"2010-04-01","29,99","29,80","30,30","30,29","+2,68","14,03"
"2010-04-06","30,50","30,35","31,88","31,40","+3,66","24,27"
"2010-04-07","31,55","31,23","31,85","31,55","+0,48","19,20"
"2010-04-08","31,30","31,12","31,49","31,49","-0,19","9,41"
"2010-04-09","31,60","31,60","32,46","32,30","+2,57","17,16"
"2010-04-12","32,30","32,30","33,40","33,25","+0,00","28,88"
"2010-04-13","33,15","32,70","33,25","33,00","-0,75","62,92"
"2010-04-14","33,25","32,77","33,25","33,00","+0,00","11,50"
"2010-04-15","33,15","32,00","33,15","32,75","-0,76","11,13"
"2010-04-16","32,32","32,25","33,20","33,00","+0,76","21,99"
"2010-04-19","32,31","31,32","32,31","31,85","-3,48","16,56"
"2010-04-20","32,00","31,55","32,15","32,09","+0,75","13,67"
"2010-04-21","32,10","31,85","32,50","31,90","-0,59","8,37"
"2010-04-22","31,50","30,40","31,74","30,65","-3,92","12,64"
"2010-04-23","31,10","31,00","31,29","31,25","+1,96","6,54"
"2010-04-26","32,01","32,01","32,78","32,75","+4,80","13,49"
"2010-04-27","32,22","32,22","33,10","32,95","+0,61","30,58"
"2010-04-28","32,05","32,00","32,55","32,00","-2,88","12,05"
"2010-04-29","32,00","32,00","32,50","32,41","+1,28","34,52"
"2010-04-30","33,20","32,50","33,47","33,00","+1,82","29,92"
"2010-05-04","33,35","31,50","33,45","31,80","-3,64","29,95"
"2010-05-05","31,40","31,01","32,29","31,10","-2,20","37,38"
"2010-05-06","30,50","29,80","30,98","30,20","-2,89","46,11"
"2010-05-07","29,00","29,00","29,80","29,23","-3,21","27,39"
"2010-05-10","29,51","29,51","31,31","31,25","+6,91","22,17"
"2010-05-11","31,74","31,03","31,78","31,41","+0,51","16,40"
"2010-05-12","31,50","31,40","32,90","32,19","+2,48","17,38"
"2010-05-13","32,50","31,50","32,70","31,75","-1,37","14,65"
"2010-05-14","31,88","30,60","31,98","30,60","-3,62","14,97"
"2010-05-17","30,48","29,85","30,69","30,50","-0,33","14,77"
"2010-05-18","31,35","30,55","31,35","31,00","+1,64","33,77"
"2010-05-19","30,70","29,20","30,70","29,53","-4,74","25,60"
"2010-05-20","29,90","28,00","30,00","28,05","-5,01","13,64"
"2010-05-21","28,05","28,00","29,00","28,90","+3,03","26,16"
"2010-05-24","29,18","28,61","29,53","29,09","+0,66","11,45"
"2010-05-25","28,10","28,01","28,59","28,22","-2,99","27,28"
"2010-05-26","28,65","28,55","29,70","29,70","+5,24","18,64"
"2010-05-27","29,70","29,70","30,85","30,85","+3,87","10,16"
"2010-05-28","31,00","31,00","31,85","31,75","+2,92","20,08"
"2010-05-31","31,66","31,00","31,85","31,85","+0,00","5,03"
"2010-06-01","31,45","30,90","31,48","31,02","-2,61","7,56"
"2010-06-02","31,00","30,82","32,20","31,99","+3,13","10,93"
"2010-06-04","32,05","30,62","32,50","31,40","-1,84","8,19"
"2010-06-07","30,60","30,43","31,40","31,35","-0,16","10,55"
"2010-06-08","31,46","30,41","31,50","31,46","+0,35","4,76"
"2010-06-09","31,79","31,00","31,79","31,50","+0,13","7,62"
"2010-06-10","31,50","31,01","31,89","31,85","+1,11","4,65"
"2010-06-11","32,00","31,11","32,20","31,11","-2,32","8,39"
"2010-06-14","31,70","31,20","31,70","31,20","+0,29","6,33"
"2010-06-15","31,25","30,80","31,39","31,00","-0,64","4,65"
"2010-06-16","31,70","30,70","31,70","31,29","+0,94","3,47"
"2010-06-17","31,01","30,92","31,85","30,92","-1,18","8,47"
"2010-06-18","31,00","30,50","31,50","30,50","-1,36","19,27"
