"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","1,11","1,11","1,20","1,19","+0,00","0,04"
"2010-01-05","1,20","1,19","1,21","1,19","+0,00","0,06"
"2010-01-06","1,20","1,15","1,20","1,16","-2,52","0,02"
"2010-01-07","1,20","1,16","1,20","1,16","+0,00","0,02"
"2010-01-08","1,16","1,14","1,16","1,16","+0,00","0,01"
"2010-01-11","1,16","1,16","1,19","1,16","+0,00","0,02"
"2010-01-12","1,18","1,15","1,19","1,18","+1,72","0,02"
"2010-01-13","1,18","1,16","1,19","1,19","+0,85","0,01"
"2010-01-14","1,19","1,18","1,19","1,18","-0,84","0,04"
"2010-01-15","1,21","1,21","1,29","1,23","+4,24","0,31"
"2010-01-18","1,26","1,25","1,27","1,26","+2,44","0,12"
"2010-01-19","1,26","1,19","1,27","1,25","-0,79","0,11"
"2010-01-20","1,26","1,21","1,26","1,25","+0,00","0,04"
"2010-01-21","1,25","1,21","1,27","1,21","-3,20","0,03"
"2010-01-22","1,19","1,17","1,20","1,19","-1,65","0,07"
"2010-01-25","1,23","1,18","1,23","1,20","+0,84","0,01"
"2010-01-26","1,17","1,14","1,17","1,15","-4,17","0,08"
"2010-01-27","1,18","1,15","1,18","1,15","+0,00","0,03"
"2010-01-28","1,19","1,15","1,19","1,16","+0,87","0,02"
"2010-01-29","1,15","1,15","1,17","1,17","+0,86","0,05"
"2010-02-01","1,15","1,15","1,17","1,17","+0,00","0,03"
"2010-02-02","1,17","1,15","1,17","1,17","+0,00","0,02"
"2010-02-03","1,18","1,15","1,18","1,18","+0,85","0,01"
"2010-02-04","1,18","1,14","1,18","1,14","-3,39","0,04"
"2010-02-05","1,11","1,05","1,13","1,13","-0,88","0,10"
"2010-02-08","1,13","1,08","1,13","1,12","-0,88","0,06"
"2010-02-09","1,12","1,12","1,15","1,12","+0,00","0,01"
"2010-02-10","1,12","1,12","1,18","1,15","+2,68","0,01"
"2010-02-11","1,16","1,10","1,16","1,12","-2,61","0,03"
"2010-02-12","1,12","1,11","1,15","1,12","+0,00","0,03"
"2010-02-15","1,15","1,10","1,15","1,14","+1,79","0,02"
"2010-02-16","1,15","1,11","1,15","1,15","+0,88","0,00"
"2010-02-17","1,15","1,13","1,15","1,15","+0,00","0,05"
"2010-02-18","1,15","1,13","1,15","1,13","-1,74","0,00"
"2010-02-19","1,13","1,11","1,14","1,13","+0,00","0,01"
"2010-02-22","1,14","1,10","1,18","1,18","+0,00","0,06"
"2010-02-23","1,17","1,11","1,17","1,16","-1,69","0,03"
"2010-02-24","1,16","1,14","1,16","1,14","-1,72","0,00"
"2010-02-25","1,14","1,11","1,16","1,16","+1,75","0,04"
"2010-02-26","1,16","1,12","1,16","1,12","-3,45","0,00"
"2010-03-01","1,30","1,17","1,30","1,20","+7,14","0,33"
"2010-03-02","1,20","1,16","1,30","1,24","+3,33","0,39"
"2010-03-03","1,17","1,15","1,21","1,17","-5,65","0,16"
"2010-03-04","1,13","1,12","1,19","1,16","-0,85","0,15"
"2010-03-05","1,16","1,11","1,16","1,13","-2,59","0,13"
"2010-03-09","1,14","1,10","1,17","1,15","+1,77","0,44"
"2010-03-10","1,15","1,12","1,17","1,16","+0,87","0,16"
"2010-03-11","1,16","1,13","1,17","1,14","-1,72","0,06"
"2010-03-12","1,14","1,13","1,16","1,15","+0,88","0,16"
"2010-03-15","1,14","1,12","1,15","1,14","-0,87","0,13"
"2010-03-16","1,15","1,15","1,21","1,19","+4,39","0,34"
"2010-03-17","1,20","1,18","1,21","1,19","+0,00","0,18"
"2010-03-18","1,20","1,20","1,35","1,26","+5,88","1,09"
"2010-03-19","1,26","1,17","1,26","1,17","-7,14","0,29"
"2010-03-22","1,17","1,14","1,18","1,17","+0,00","0,19"
"2010-03-23","1,19","1,16","1,21","1,20","+2,56","0,12"
"2010-03-24","1,20","1,17","1,21","1,20","+0,00","0,04"
"2010-03-25","1,18","1,18","1,24","1,23","+2,50","0,19"
"2010-03-26","1,24","1,19","1,24","1,20","-2,44","0,08"
"2010-03-29","1,23","1,20","1,23","1,22","+1,67","0,05"
"2010-03-30","1,19","1,19","1,20","1,20","-1,64","0,03"
"2010-03-31","1,20","1,17","1,20","1,17","-2,50","0,02"
"2010-04-01","1,17","1,16","1,18","1,16","-0,85","0,07"
"2010-04-06","1,16","1,16","1,20","1,17","+0,86","0,05"
"2010-04-07","1,19","1,17","1,24","1,19","+1,71","0,20"
"2010-04-08","1,18","1,17","1,19","1,19","+0,00","0,07"
"2010-04-09","1,19","1,17","1,22","1,20","+0,84","0,01"
"2010-04-12","1,19","1,18","1,23","1,23","+0,00","0,07"
"2010-04-13","1,23","1,20","1,33","1,29","+4,88","0,98"
"2010-04-14","1,29","1,26","1,30","1,29","+0,00","0,21"
"2010-04-15","1,28","1,26","1,29","1,27","-1,55","0,14"
"2010-04-16","1,28","1,26","1,28","1,26","-0,79","0,10"
"2010-04-19","1,26","1,19","1,26","1,22","-3,17","0,11"
"2010-04-20","1,21","1,21","1,24","1,24","+1,64","0,02"
"2010-04-21","1,24","1,21","1,24","1,23","-0,81","0,10"
"2010-04-22","1,24","1,19","1,27","1,25","+1,63","0,07"
"2010-04-23","1,25","1,23","1,28","1,27","+1,60","0,04"
"2010-04-26","1,28","1,25","1,32","1,28","+0,79","0,32"
"2010-04-27","1,28","1,25","1,28","1,27","-0,78","0,04"
"2010-04-28","1,26","1,20","1,26","1,24","-2,36","0,05"
"2010-04-29","1,22","1,22","1,26","1,26","+1,61","0,02"
"2010-04-30","1,29","1,27","1,32","1,30","+3,17","0,33"
"2010-05-04","1,29","1,25","1,33","1,25","-3,85","0,14"
"2010-05-05","1,23","1,20","1,27","1,24","-0,80","0,09"
"2010-05-06","1,21","1,21","1,23","1,22","-1,61","0,09"
"2010-05-07","1,19","1,18","1,23","1,22","+0,00","0,33"
"2010-05-10","1,26","1,25","1,27","1,26","+3,28","0,09"
"2010-05-11","1,26","1,21","1,26","1,21","-3,97","0,06"
"2010-05-12","1,22","1,22","1,26","1,23","+1,65","0,19"
"2010-05-13","1,26","1,23","1,28","1,26","+2,44","0,14"
"2010-05-14","1,27","1,22","1,27","1,25","-0,79","0,08"
"2010-05-17","1,22","1,21","1,26","1,22","-2,40","0,10"
"2010-05-18","1,19","1,19","1,23","1,23","+0,82","0,18"
"2010-05-19","1,22","1,17","1,24","1,23","+0,00","0,11"
"2010-05-20","1,23","1,18","1,23","1,18","-4,07","0,01"
"2010-05-21","1,18","1,15","1,22","1,21","+2,54","0,06"
"2010-05-24","1,21","1,21","1,23","1,23","+1,65","0,01"
"2010-05-25","1,23","1,17","1,23","1,22","-0,81","0,00"
"2010-05-26","1,20","1,20","1,24","1,24","+1,64","0,04"
"2010-05-27","1,24","1,20","1,24","1,22","-1,61","0,20"
"2010-05-28","1,22","1,20","1,23","1,20","-1,64","0,04"
"2010-05-31","1,21","1,19","1,21","1,19","+0,00","0,01"
"2010-06-01","1,21","1,19","1,21","1,19","+0,00","0,00"
"2010-06-02","1,21","1,19","1,21","1,19","+0,00","0,00"
"2010-06-04","1,22","1,18","1,22","1,19","+0,00","0,02"
"2010-06-07","1,20","1,18","1,21","1,18","-0,84","0,14"
"2010-06-08","1,20","1,18","1,20","1,18","+0,00","0,05"
"2010-06-09","1,19","1,16","1,22","1,16","-1,69","0,08"
"2010-06-10","1,19","1,16","1,21","1,20","+3,45","0,01"
"2010-06-11","1,20","1,17","1,20","1,20","+0,00","0,02"
"2010-06-14","1,17","1,15","1,20","1,19","-0,83","0,01"
"2010-06-15","1,19","1,19","1,19","1,19","+0,00","0,00"
"2010-06-16","1,18","1,18","1,19","1,19","+0,00","0,00"
"2010-06-17","1,17","1,15","1,20","1,18","-0,84","0,02"
"2010-06-18","1,20","1,17","1,20","1,17","-0,85","0,01"
"2010-06-21","1,19","1,18","1,20","1,18","+0,85","0,03"
"2010-06-22","1,18","1,16","1,18","1,18","+0,00","0,04"
"2010-06-23","1,18","1,15","1,20","1,15","-2,54","0,09"
"2010-06-24","1,19","1,15","1,26","1,20","+4,35","0,74"
"2010-06-25","1,17","1,15","1,20","1,15","-4,17","0,08"
"2010-06-28","1,17","1,13","1,17","1,13","-1,74","0,08"
"2010-06-29","1,13","1,13","1,18","1,15","+1,77","0,06"
"2010-06-30","1,15","1,14","1,17","1,15","+0,00","0,07"
"2010-07-01","1,17","1,08","1,17","1,10","-4,35","0,19"
"2010-07-02","1,15","1,10","1,15","1,11","+0,91","0,01"
"2010-07-05","1,11","1,09","1,21","1,15","+3,60","0,31"
"2010-07-06","1,15","1,15","1,20","1,18","+2,61","0,06"
"2010-07-07","1,19","1,12","1,19","1,12","-5,08","0,50"
"2010-07-08","1,15","1,12","1,15","1,15","+2,68","0,04"
"2010-07-09","1,15","1,12","1,15","1,15","+0,00","0,21"
"2010-07-12","1,14","1,12","1,15","1,12","-2,61","0,07"
"2010-07-13","1,14","1,11","1,14","1,14","+1,79","0,12"
"2010-07-14","1,14","1,10","1,16","1,11","-2,63","0,54"
"2010-07-15","1,11","1,08","1,14","1,12","+0,90","0,26"
"2010-07-16","1,09","1,08","1,12","1,12","+0,00","0,08"
"2010-07-19","1,11","1,09","1,11","1,11","-0,89","0,01"
"2010-07-20","1,11","1,09","1,11","1,10","+0,00","0,02"
"2010-07-21","1,11","1,10","1,12","1,10","+0,00","0,15"
"2010-07-22","1,10","1,09","1,12","1,11","+0,91","0,12"
"2010-07-23","1,12","1,10","1,12","1,12","+0,90","0,09"
"2010-07-26","1,13","1,11","1,14","1,14","+1,79","0,04"
"2010-07-27","1,13","1,11","1,13","1,11","-2,63","0,24"
"2010-07-28","1,13","1,10","1,13","1,10","-0,90","0,09"
"2010-07-29","1,13","1,10","1,14","1,12","+1,82","0,09"
"2010-07-30","1,14","1,11","1,14","1,13","+0,89","0,02"
"2010-08-02","1,13","1,13","1,14","1,14","+0,88","0,06"
"2010-08-03","1,14","1,10","1,14","1,10","-3,51","0,05"
"2010-08-04","1,11","1,10","1,11","1,11","+0,91","0,10"
"2010-08-05","1,11","1,10","1,13","1,13","+1,80","0,11"
"2010-08-06","1,11","1,10","1,11","1,11","-1,77","0,18"
"2010-08-09","1,11","1,10","1,12","1,11","+0,00","0,11"
"2010-08-10","1,12","1,10","1,12","1,11","+0,00","0,03"
"2010-08-11","1,10","1,09","1,11","1,10","-0,90","0,05"
"2010-08-12","1,12","1,09","1,12","1,09","-0,91","0,04"
"2010-08-13","1,09","1,09","1,11","1,11","+1,83","0,00"
"2010-08-16","1,12","1,10","1,12","1,11","+0,00","0,12"
"2010-08-17","1,13","1,10","1,17","1,10","-0,90","0,40"
"2010-08-18","1,13","1,10","1,14","1,10","+0,00","0,36"
"2010-08-19","1,10","1,10","1,13","1,12","+1,82","0,06"
"2010-08-20","1,12","1,12","1,20","1,18","+5,36","0,68"
"2010-08-23","1,18","1,15","1,24","1,17","-0,85","0,33"
"2010-08-24","1,18","1,15","1,18","1,18","+0,85","0,08"
"2010-08-25","1,21","1,18","1,22","1,18","+0,00","0,19"
"2010-08-26","1,17","1,17","1,21","1,17","-0,85","0,04"
"2010-08-27","1,20","1,18","1,21","1,19","+1,71","0,09"
"2010-08-30","1,18","1,14","1,20","1,19","+0,00","0,19"
"2010-08-31","1,20","1,17","1,21","1,20","+0,84","0,12"
"2010-09-01","1,12","1,12","1,18","1,16","-3,33","0,14"
"2010-09-02","1,17","1,14","1,17","1,16","+0,00","0,05"
"2010-09-03","1,17","1,14","1,17","1,14","-1,72","0,02"
"2010-09-06","1,15","1,10","1,15","1,14","+0,00","0,17"
"2010-09-07","1,12","1,12","1,14","1,13","-0,88","0,05"
"2010-09-08","1,14","1,14","1,17","1,17","+0,00","0,09"
"2010-09-09","1,17","1,15","1,17","1,16","-0,85","0,06"
"2010-09-10","1,16","1,13","1,16","1,15","-0,86","0,06"
"2010-09-13","1,16","1,14","1,19","1,16","+0,87","0,38"
"2010-09-14","1,16","1,12","1,17","1,17","+0,86","0,10"
"2010-09-15","1,17","1,13","1,17","1,17","+0,00","0,04"
"2010-09-16","1,17","1,15","1,17","1,16","-0,85","0,01"
"2010-09-17","1,17","1,13","1,17","1,16","+0,00","0,06"
"2010-09-20","1,14","1,13","1,17","1,16","+0,00","0,03"
"2010-09-21","1,15","1,14","1,16","1,15","-0,86","0,13"
"2010-09-22","1,15","1,14","1,15","1,15","+0,00","0,06"
"2010-09-23","1,15","1,14","1,17","1,17","+1,74","0,04"
"2010-09-24","1,15","1,15","1,17","1,16","-0,85","0,02"
"2010-09-27","1,16","1,13","1,17","1,17","+0,86","0,08"
"2010-09-28","1,15","1,15","1,18","1,18","+0,85","0,08"
"2010-09-29","1,17","1,15","1,19","1,17","-0,85","0,10"
