"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2011-06-29","61,00","50,00","62,20","62,20","+0,00","4,58"
"2011-06-30","61,90","58,80","62,00","62,00","-0,32","0,77"
"2011-07-01","61,95","61,90","61,95","61,90","-0,16","0,00"
"2011-07-04","61,90","59,30","61,90","60,00","-3,07","0,05"
"2011-07-05","58,00","57,50","59,95","57,65","+0,00","0,04"
"2011-07-06","57,40","53,00","57,40","54,20","-5,98","0,42"
"2011-07-07","54,00","51,90","55,75","55,75","+2,86","0,51"
"2011-07-08","55,75","55,75","57,10","57,10","+2,42","0,01"
"2011-07-11","57,15","57,15","57,15","57,15","+0,09","0,00"
"2011-07-12","56,00","54,30","56,00","55,00","-3,76","0,14"
"2011-07-13","56,65","56,00","56,65","56,00","+1,82","0,00"
"2011-07-14","56,65","56,00","56,65","56,00","+0,00","0,00"
"2011-07-15","56,00","54,75","56,00","54,75","-2,23","0,01"
"2011-07-18","55,00","54,00","55,00","54,60","-0,27","0,00"
"2011-07-19","53,80","53,80","55,85","55,85","+2,29","0,05"
"2011-07-20","55,00","54,35","55,00","54,95","-1,61","0,00"
"2011-07-21","54,00","53,40","54,45","54,45","-0,91","0,07"
"2011-07-22","55,00","53,95","55,00","55,00","+1,01","0,08"
"2011-07-25","55,30","55,30","59,00","58,90","+7,09","0,06"
"2011-07-26","58,85","57,50","58,85","57,50","-2,38","0,01"
"2011-07-27","57,50","57,50","59,00","57,50","+0,00","0,85"
"2011-07-28","58,00","56,45","58,00","58,00","+0,87","0,06"
"2011-07-29","58,40","58,40","58,40","58,40","+0,69","0,00"
"2011-08-01","58,40","56,70","58,40","58,20","-0,34","0,02"
"2011-08-02","57,00","56,00","57,00","57,00","-2,06","0,01"
"2011-08-03","57,00","52,40","57,00","54,40","-4,56","0,02"
"2011-08-04","54,45","51,90","57,00","51,90","-4,60","0,04"
"2011-08-05","46,71","46,00","51,00","50,50","-2,70","0,17"
"2011-08-08","48,20","48,20","50,60","48,40","-4,16","0,25"
"2011-08-09","50,45","45,41","50,45","45,70","-5,58","1,69"
"2011-08-10","45,70","45,70","45,70","45,70","+0,00","0,00"
"2011-08-11","43,50","42,00","45,00","43,00","-5,91","0,91"
"2011-08-12","45,00","44,00","45,00","44,00","+2,33","0,01"
"2011-08-16","44,00","44,00","47,20","47,20","+7,27","0,93"
"2011-08-17","49,90","46,00","49,90","47,50","+0,64","0,08"
"2011-08-18","47,89","45,50","47,89","45,70","-3,79","6,02"
"2011-08-19","45,00","45,00","45,00","45,00","-1,53","0,05"
"2011-08-22","44,99","44,99","48,50","48,50","+7,78","0,06"
"2011-08-23","48,50","48,50","49,30","49,20","+1,44","3,40"
"2011-08-24","48,00","48,00","51,10","49,60","+0,00","0,79"
"2011-08-25","49,00","49,00","51,90","51,90","+4,64","0,02"
"2011-08-26","52,25","52,25","58,30","57,00","+9,83","0,71"
"2011-08-29","58,25","58,25","61,80","60,00","+5,26","0,71"
"2011-08-30","61,60","56,10","61,60","61,45","+2,42","0,77"
"2011-08-31","61,35","59,50","61,50","61,50","+0,08","2,84"
"2011-09-01","61,45","56,00","61,45","59,50","-3,25","0,08"
"2011-09-02","57,00","57,00","59,10","58,45","-1,76","0,63"
"2011-09-05","56,95","56,20","58,40","57,90","-0,94","0,35"
"2011-09-06","58,35","56,30","58,35","57,90","+0,00","0,29"
"2011-09-07","58,00","58,00","59,80","59,80","+3,28","0,17"
"2011-09-08","60,35","59,00","60,50","60,50","+1,17","0,15"
"2011-09-09","60,50","57,50","60,50","57,50","-4,96","1,11"
"2011-09-12","57,55","56,30","57,55","57,50","+0,00","0,05"
"2011-09-13","57,50","57,50","59,80","59,80","+4,00","0,17"
"2011-09-14","59,80","59,80","61,10","60,00","+0,33","0,45"
"2011-09-15","60,70","58,50","61,70","60,90","+1,50","0,97"
"2011-09-16","60,85","59,00","62,30","60,00","-1,48","0,95"
