"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2012-09-20","2,10","2,09","2,10","2,10","+0,00","0,00"
"2012-09-21","2,10","2,01","2,10","2,10","+0,00","0,00"
"2012-09-24","2,11","2,11","2,12","2,12","+0,95","0,00"
"2012-09-25","2,12","2,10","2,12","2,10","-0,94","0,00"
"2012-09-26","2,08","2,03","2,15","2,15","+2,38","0,02"
"2012-09-27","2,15","2,12","2,15","2,14","+0,00","0,00"
"2012-09-28","2,14","2,14","2,19","2,19","+2,34","0,00"
"2012-10-01","2,19","2,18","2,19","2,19","+0,00","0,00"
"2012-10-02","2,20","2,12","2,20","2,20","+0,46","0,02"
"2012-10-03","2,20","2,17","2,25","2,23","+1,36","0,01"
"2012-10-04","2,25","2,24","2,25","2,25","+0,90","0,01"
"2012-10-05","2,25","2,24","2,26","2,25","+0,00","0,01"
"2012-10-08","2,25","2,20","2,30","2,30","+2,22","0,00"
"2012-10-09","2,30","2,29","2,30","2,30","+0,00","0,00"
"2012-10-10","2,30","2,25","2,30","2,25","-2,17","0,00"
"2012-10-11","2,27","2,27","2,33","2,32","+3,11","0,00"
"2012-10-12","2,33","2,31","2,70","2,70","+16,38","0,04"
"2012-10-15","2,75","2,70","2,75","2,75","+1,85","0,01"
"2012-10-16","2,75","2,74","2,90","2,90","+5,45","0,02"
"2012-10-17","3,00","3,00","3,25","3,24","+11,72","0,10"
"2012-10-18","3,24","3,20","3,40","3,40","+4,94","0,06"
"2012-10-19","3,40","3,27","3,40","3,27","-3,82","0,03"
"2012-10-22","3,18","3,18","3,60","3,60","+10,09","0,07"
"2012-10-23","3,60","3,25","3,72","3,72","+3,33","0,09"
"2012-10-24","3,67","3,67","3,80","3,78","+1,61","0,08"
"2012-10-25","3,80","3,79","3,83","3,82","+1,06","0,02"
"2012-10-26","3,85","3,84","3,97","3,97","+3,93","0,10"
"2012-10-29","3,97","3,96","4,03","4,03","+1,51","0,08"
"2012-10-30","4,05","4,05","4,12","4,12","+2,23","0,06"
"2012-10-31","4,12","4,11","4,27","4,27","+3,64","0,10"
"2012-11-02","4,27","4,26","4,33","4,33","+1,41","0,07"
"2012-11-05","4,33","4,33","4,45","4,45","+2,77","0,24"
"2012-11-06","4,45","4,41","4,49","4,48","+0,67","0,06"
"2012-11-07","4,48","4,09","4,50","4,10","-8,48","0,09"
"2012-11-08","4,08","3,45","4,45","4,44","+8,29","0,13"
"2012-11-09","4,44","4,15","4,44","4,20","-5,41","0,02"
"2012-11-12","4,01","3,99","4,10","4,00","-4,76","0,02"
"2012-11-13","3,95","3,81","3,99","3,99","-0,25","0,00"
"2012-11-14","3,99","3,99","4,03","4,03","+1,00","0,01"
"2012-11-15","4,01","3,85","4,04","4,03","+0,00","0,01"
"2012-11-16","4,03","4,00","4,09","4,09","+0,00","0,00"
"2012-11-19","4,08","3,99","4,09","4,07","-0,49","0,00"
"2012-11-20","4,07","3,90","4,07","4,05","-0,49","0,01"
"2012-11-21","4,00","3,80","4,05","4,04","-0,25","0,03"
"2012-11-22","4,00","3,60","4,00","3,76","-6,93","0,03"
"2012-11-23","3,85","3,62","3,85","3,75","-0,27","0,00"
"2012-11-26","3,69","3,58","3,69","3,64","-2,93","0,01"
"2012-11-27","3,64","3,30","3,64","3,48","-4,40","0,03"
"2012-11-28","3,55","3,00","3,55","3,54","+1,72","0,04"
"2012-11-29","3,64","3,63","3,64","3,63","+2,54","0,00"
"2012-11-30","3,57","3,50","3,57","3,54","-2,48","0,01"
"2012-12-03","3,60","3,42","3,60","3,42","-3,39","0,00"
"2012-12-04","3,48","3,31","3,48","3,37","-1,46","0,01"
"2012-12-05","3,40","3,31","3,40","3,31","-1,78","0,00"
"2012-12-06","3,40","3,20","3,59","3,59","+8,46","0,06"
"2012-12-07","3,59","3,59","3,94","3,94","+9,75","0,05"
"2012-12-10","4,00","3,90","4,00","3,99","+1,27","0,02"
"2012-12-11","4,00","3,98","4,00","3,98","-0,25","0,00"
"2012-12-12","4,00","3,80","4,00","3,95","-0,75","0,00"
"2012-12-13","3,95","3,95","3,95","3,95","+0,00","0,00"
"2012-12-14","3,95","3,76","3,95","3,92","-0,76","0,00"
"2012-12-17","3,93","3,70","4,10","4,00","+2,04","0,04"
"2012-12-18","4,00","3,85","4,00","3,90","-2,50","0,01"
"2012-12-19","3,90","3,88","3,90","3,90","+0,00","0,01"
"2012-12-20","3,89","3,77","3,95","3,95","+1,28","0,00"
"2012-12-21","4,00","3,80","4,00","3,99","+1,01","0,01"
"2012-12-27","4,00","3,70","4,00","4,00","+0,25","0,00"
"2012-12-28","3,99","3,80","4,00","4,00","+0,00","0,00"
"2013-01-02","3,88","3,71","3,88","3,77","-5,75","0,02"
"2013-01-03","3,76","3,76","3,76","3,76","-0,27","0,00"
"2013-01-04","3,78","3,50","3,78","3,55","-5,59","0,02"
"2013-01-07","3,55","3,41","3,55","3,46","+0,00","0,02"
"2013-01-08","3,46","3,40","3,90","3,90","+12,72","0,03"
"2013-01-09","3,92","3,84","3,92","3,84","-1,54","0,00"
"2013-01-10","3,84","3,79","3,84","3,82","-0,52","0,00"
"2013-01-11","3,77","3,70","3,82","3,81","-0,26","0,00"
"2013-01-14","3,77","3,70","3,77","3,70","-2,89","0,00"
"2013-01-15","3,70","3,65","3,75","3,75","+1,35","0,00"
"2013-01-16","3,65","3,61","3,70","3,61","-3,73","0,00"
"2013-01-17","3,57","3,57","3,67","3,67","+1,66","0,00"
"2013-01-18","3,60","3,60","3,68","3,67","+0,00","0,00"
"2013-01-21","3,69","3,65","3,69","3,69","+0,54","0,00"
"2013-01-22","3,69","3,61","3,69","3,68","-0,27","0,00"
"2013-01-23","3,68","3,61","3,68","3,68","+0,00","0,00"
"2013-01-24","3,68","3,52","3,68","3,55","-3,53","0,01"
"2013-01-25","3,50","3,39","3,55","3,42","-3,66","0,01"
"2013-01-28","3,42","3,35","3,54","3,54","+3,51","0,00"
"2013-01-29","3,50","3,47","3,55","3,55","+0,28","0,00"
"2013-01-30","3,48","3,48","3,55","3,55","+0,00","0,00"
"2013-01-31","3,48","3,48","3,55","3,55","+0,00","0,00"
"2013-02-01","3,48","3,48","3,55","3,50","-1,41","0,00"
"2013-02-04","3,48","3,40","3,51","3,51","+0,29","0,00"
"2013-02-05","3,46","3,30","3,46","3,40","-3,13","0,00"
"2013-02-06","3,40","3,27","3,40","3,30","-2,94","0,00"
"2013-02-07","3,27","3,27","3,33","3,33","+0,91","0,00"
"2013-02-08","3,25","3,25","3,30","3,30","-0,90","0,00"
"2013-02-11","3,30","3,30","3,30","3,30","+0,00","0,00"
"2013-02-13","3,29","3,29","3,29","3,29","-0,30","0,01"
"2013-02-14","3,28","3,28","3,28","3,28","-0,30","0,00"
"2013-02-15","3,29","3,29","3,29","3,29","+0,30","0,00"
"2013-02-18","3,28","3,28","3,28","3,28","-0,30","0,00"
"2013-02-19","3,30","3,30","3,30","3,30","+0,61","0,00"
"2013-02-20","3,29","3,29","3,30","3,30","+0,00","0,00"
"2013-02-21","3,28","3,28","3,40","3,40","+3,03","0,00"
"2013-02-22","3,38","3,38","3,45","3,45","+1,47","0,00"
"2013-02-25","3,45","3,45","3,45","3,45","+0,00","0,00"
"2013-02-26","3,40","3,40","3,44","3,44","-0,29","0,00"
"2013-02-27","3,44","3,44","3,44","3,44","+0,00","0,00"
"2013-02-28","3,44","3,29","3,90","3,90","+13,37","0,04"
"2013-03-01","4,05","3,67","4,15","4,10","+5,13","0,16"
"2013-03-04","4,10","4,10","4,10","4,10","+0,00","0,00"
"2013-03-05","4,10","4,05","4,10","4,05","-1,22","0,00"
"2013-03-06","4,00","3,99","4,00","3,99","-1,48","0,00"
"2013-03-08","4,00","4,00","4,09","4,05","+1,50","0,01"
"2013-03-11","4,10","4,10","4,10","4,10","+1,23","0,00"
"2013-03-12","4,10","4,05","4,10","4,05","-1,22","0,00"
"2013-03-13","4,00","4,00","4,10","4,10","+1,23","0,00"
"2013-03-14","4,10","4,10","4,10","4,10","+0,00","0,00"
"2013-03-15","4,10","4,10","4,10","4,10","+0,00","0,00"
"2013-03-18","4,10","4,09","4,10","4,10","+0,00","0,00"
"2013-03-19","4,10","4,10","4,10","4,10","+0,00","0,00"
"2013-03-20","4,10","4,10","4,10","4,10","+0,00","0,00"
"2013-03-21","4,00","3,99","4,10","4,10","+0,00","0,01"
"2013-03-22","3,95","3,85","4,55","4,55","+10,98","0,09"
"2013-03-25","4,55","4,54","5,00","4,94","+8,57","0,02"
"2013-03-26","4,94","4,93","5,22","5,22","+5,67","0,09"
"2013-03-27","5,25","5,25","5,40","5,25","+0,57","0,04"
"2013-03-28","5,17","5,17","5,45","5,31","+1,14","0,00"
"2013-04-02","5,00","4,99","5,11","5,00","-5,84","0,02"
"2013-04-03","5,11","5,00","5,45","5,00","+0,00","0,01"
"2013-04-04","5,00","4,90","5,45","5,00","+0,00","0,01"
"2013-04-05","4,97","4,97","5,03","5,03","+0,60","0,00"
"2013-04-09","5,45","4,97","5,45","5,10","+1,39","0,01"
"2013-04-10","5,10","5,10","5,12","5,10","+0,00","0,01"
"2013-04-11","5,00","5,00","5,40","5,40","+5,88","0,00"
"2013-04-12","5,00","4,93","5,49","5,00","-7,41","0,08"
"2013-04-15","5,00","5,00","5,00","5,00","+0,00","0,00"
"2013-04-17","5,00","5,00","5,23","5,23","+4,60","0,00"
"2013-04-18","5,23","5,05","5,23","5,05","-3,44","0,01"
"2013-04-19","5,05","4,88","5,05","4,95","-1,98","0,00"
"2013-04-22","5,00","4,80","5,00","5,00","+1,01","0,00"
"2013-04-23","5,00","5,00","5,00","5,00","+0,00","0,00"
"2013-04-24","4,95","4,88","4,95","4,88","-2,40","0,00"
"2013-04-25","4,88","4,87","4,88","4,88","+0,00","0,00"
"2013-04-26","4,87","4,87","5,00","5,00","+2,46","0,00"
"2013-04-29","5,00","5,00","5,00","5,00","+0,00","0,00"
"2013-04-30","5,00","5,00","5,00","5,00","+0,00","0,00"
"2013-05-02","5,00","4,96","5,00","4,96","-0,80","0,00"
"2013-05-06","4,98","4,98","5,03","5,03","+1,41","0,00"
"2013-05-07","5,03","5,03","5,03","5,03","+0,00","0,00"
"2013-05-08","5,02","5,02","5,02","5,02","-0,20","0,00"
"2013-05-09","5,02","5,01","5,02","5,02","+0,00","0,00"
"2013-05-10","5,00","4,80","5,00","5,00","-0,40","0,00"
"2013-05-13","5,00","5,00","5,00","5,00","+0,00","0,00"
"2013-05-14","5,00","5,00","5,00","5,00","+0,00","0,00"
"2013-05-15","4,90","4,89","4,90","4,89","-2,20","0,00"
"2013-05-16","4,80","4,80","4,89","4,80","-1,84","0,01"
"2013-05-17","4,89","4,70","4,89","4,84","+0,83","0,02"
"2013-05-20","4,85","4,69","4,85","4,83","-0,21","0,00"
"2013-05-21","4,85","4,85","4,85","4,85","+0,41","0,00"
"2013-05-22","4,89","4,89","4,95","4,95","+2,06","0,00"
"2013-05-27","4,99","4,99","5,04","5,04","+1,82","0,00"
"2013-05-28","4,95","4,80","5,20","5,15","+2,18","0,01"
"2013-05-29","5,15","5,10","5,15","5,10","-0,97","0,00"
"2013-05-31","5,11","4,85","5,14","5,09","-0,20","2,84"
"2013-06-03","5,10","5,09","5,11","5,11","+0,39","0,00"
"2013-06-04","5,15","5,15","5,15","5,15","+0,00","0,00"
"2013-06-05","5,15","5,14","5,15","5,15","+0,00","0,00"
"2013-06-06","5,15","4,86","5,15","4,88","-5,24","0,00"
"2013-06-07","4,85","4,85","5,33","5,15","+5,53","0,00"
"2013-06-10","5,13","5,09","5,13","5,12","-0,58","0,00"
"2013-06-11","5,13","5,08","5,25","5,25","+2,54","0,01"
"2013-06-12","5,25","5,05","5,25","5,25","+0,00","0,01"
"2013-06-13","5,16","4,90","5,16","5,08","-3,24","0,01"
"2013-06-14","5,06","5,00","5,07","5,00","-1,57","0,00"
"2013-06-17","5,00","4,96","5,00","5,00","+0,00","0,00"
"2013-06-18","5,00","4,99","5,00","4,99","-0,20","0,00"
"2013-06-19","5,00","5,00","5,00","5,00","+0,20","0,00"
"2013-06-20","5,00","4,99","5,00","4,99","-0,20","0,00"
"2013-06-21","5,00","4,84","5,20","5,20","+4,21","0,05"
"2013-06-24","5,20","5,11","5,20","5,11","-1,73","0,00"
"2013-06-25","5,15","5,15","5,20","5,20","+1,76","0,00"
"2013-06-26","5,20","5,15","5,20","5,15","-0,96","0,00"
"2013-06-27","5,15","5,15","5,20","5,20","+0,97","0,00"
"2013-06-28","5,20","5,15","5,20","5,19","-0,19","0,00"
"2013-07-01","5,15","5,15","5,21","5,21","+0,39","0,00"
"2013-07-02","5,20","5,20","5,21","5,21","+0,00","0,00"
"2013-07-03","5,21","5,21","5,21","5,21","+0,00","0,00"
"2013-07-04","5,18","5,15","5,21","5,21","+0,00","0,00"
"2013-07-05","5,21","5,21","5,21","5,21","+0,00","0,00"
"2013-07-08","5,21","5,21","5,21","5,21","+0,00","0,00"
"2013-07-09","5,24","5,23","5,31","5,31","+1,92","0,01"
"2013-07-10","5,30","5,30","5,59","5,59","+5,27","0,01"
"2013-07-11","5,59","5,46","5,67","5,67","+1,43","0,01"
"2013-07-12","5,60","5,34","5,60","5,53","-2,47","0,04"
"2013-07-15","5,60","5,54","5,60","5,54","+0,18","0,00"
"2013-07-16","5,60","5,60","5,60","5,60","+1,08","0,00"
"2013-07-17","5,60","5,59","5,60","5,59","-0,18","0,00"
"2013-07-18","5,60","5,45","5,60","5,58","-0,18","0,50"
"2013-07-19","5,60","5,46","5,60","5,48","-1,79","0,01"
"2013-07-22","5,45","5,45","5,68","5,68","+3,65","0,00"
"2013-07-23","5,70","5,59","5,70","5,60","-1,41","0,00"
"2013-07-24","5,65","5,65","5,70","5,70","+0,00","0,00"
"2013-07-25","5,70","5,69","5,80","5,80","+1,75","0,00"
"2013-07-26","5,80","5,55","5,80","5,73","-1,21","0,00"
"2013-07-29","5,73","5,67","5,73","5,73","+0,00","0,00"
"2013-07-30","5,73","5,72","5,73","5,73","+0,00","0,00"
"2013-07-31","5,73","5,72","5,73","5,73","+0,00","0,00"
"2013-08-01","5,73","5,72","5,73","5,73","+0,00","0,00"
"2013-08-02","5,73","5,72","5,80","5,80","+1,22","0,00"
"2013-08-05","5,80","5,79","5,91","5,85","+0,86","0,00"
"2013-08-06","5,93","5,93","5,99","5,99","+2,39","0,00"
"2013-08-07","6,00","5,99","6,00","5,99","+0,00","0,00"
"2013-08-08","6,00","5,99","6,00","6,00","+0,17","0,00"
"2013-08-09","6,10","5,87","6,10","5,94","-1,00","0,32"
