"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2011-12-01","31,25","31,01","31,26","31,25","+0,00","0,00"
"2011-12-02","31,30","31,30","31,51","31,51","+0,00","0,02"
"2011-12-05","31,54","30,70","31,54","31,00","-1,62","0,01"
"2011-12-06","31,00","30,00","31,00","30,50","-1,61","0,01"
"2011-12-07","30,00","29,51","30,00","30,00","-1,64","0,00"
"2011-12-08","30,65","30,10","30,80","30,80","+2,67","0,02"
"2011-12-09","30,60","30,30","30,60","30,30","-1,62","0,00"
"2011-12-12","30,30","30,20","30,30","30,25","-0,17","0,00"
"2011-12-13","30,25","29,15","30,25","29,85","-1,32","0,09"
"2011-12-14","29,65","27,82","29,65","27,82","-6,80","0,15"
"2011-12-15","28,50","27,00","29,00","27,00","-2,95","0,41"
"2011-12-16","27,40","27,00","27,50","27,40","+1,48","0,33"
"2011-12-19","27,00","26,91","27,00","27,00","-1,46","0,22"
"2011-12-20","26,95","26,95","27,00","27,00","+0,00","0,09"
"2011-12-21","27,90","26,80","27,90","26,89","-0,41","0,59"
"2011-12-22","26,90","26,68","26,90","26,70","-0,71","0,26"
"2011-12-23","26,90","26,48","26,90","26,90","+0,75","1,10"
"2011-12-27","26,90","26,50","27,25","27,25","+1,30","0,09"
"2011-12-28","27,00","27,00","28,69","28,69","+5,28","0,10"
"2011-12-29","28,50","28,00","29,05","29,04","+1,22","0,10"
"2011-12-30","29,02","29,00","29,48","29,20","+0,55","2,95"
"2012-01-02","30,00","29,50","30,00","29,89","+2,36","0,20"
"2012-01-03","29,90","29,80","30,50","30,50","+2,04","0,04"
"2012-01-04","30,00","29,50","30,00","29,50","-3,28","0,11"
"2012-01-05","30,50","29,12","30,50","29,12","-1,29","0,18"
"2012-01-09","28,61","28,61","29,12","29,12","+0,00","0,01"
"2012-01-10","29,00","29,00","30,00","30,00","+3,02","0,76"
"2012-01-11","30,48","30,48","30,56","30,50","+1,67","0,21"
"2012-01-12","30,99","30,98","31,20","31,00","+1,64","0,25"
"2012-01-13","30,80","30,00","30,85","30,85","-0,48","0,11"
"2012-01-16","30,40","30,40","31,50","31,50","+2,11","0,03"
"2012-01-17","31,70","31,50","31,90","31,80","+0,95","0,35"
"2012-01-18","31,80","31,00","31,80","31,60","-0,63","0,22"
"2012-01-19","31,78","30,30","31,78","30,30","-4,11","0,08"
"2012-01-20","30,30","30,30","31,78","31,78","+4,88","0,03"
"2012-01-23","31,78","31,78","31,87","31,83","+0,00","0,22"
"2012-01-24","31,99","31,00","32,19","31,79","-0,13","0,22"
"2012-01-25","31,80","31,78","31,80","31,79","+0,00","0,54"
"2012-01-26","31,79","30,51","31,80","31,79","+0,00","0,30"
"2012-01-27","31,77","31,70","32,02","31,80","+0,03","0,74"
"2012-01-30","31,80","31,22","31,80","31,80","+0,00","1,01"
"2012-01-31","32,00","32,00","32,75","32,60","+2,52","0,19"
"2012-02-01","32,89","32,02","32,90","32,89","+0,89","1,01"
"2012-02-02","33,00","33,00","33,60","33,49","+1,82","1,07"
"2012-02-03","33,69","33,61","35,30","34,99","+4,48","10,11"
"2012-02-06","34,89","34,89","35,99","35,15","+0,46","1,42"
"2012-02-07","35,90","34,55","35,90","35,10","-0,14","0,11"
