"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2013-10-10","21,20","20,80","25,64","25,50","+0,00","4,45"
"2013-10-11","27,40","24,66","28,49","24,66","-3,29","2,59"
"2013-10-14","23,30","22,20","24,37","23,96","-2,84","0,84"
"2013-10-15","23,96","22,60","23,96","23,94","-0,08","0,27"
"2013-10-16","23,40","21,20","23,50","21,69","-9,40","0,64"
"2013-10-17","21,70","20,02","22,80","22,42","+3,37","0,95"
"2013-10-18","22,47","21,76","23,49","22,82","+1,78","0,29"
"2013-10-21","22,95","21,60","23,20","22,30","-2,28","0,38"
"2013-10-22","22,47","21,30","22,47","21,97","-1,48","0,20"
"2013-10-23","21,35","21,31","21,94","21,70","-1,23","0,09"
"2013-10-24","21,70","21,70","23,50","22,99","+5,94","0,39"
"2013-10-25","23,00","22,30","23,00","22,84","-0,65","0,14"
"2013-10-28","23,30","22,90","23,50","23,38","+2,36","0,25"
"2013-10-29","23,36","23,32","24,96","24,87","+6,37","0,51"
"2013-10-30","24,90","24,90","26,70","25,80","+3,74","1,08"
"2013-10-31","25,10","24,51","26,00","24,80","-3,88","0,43"
"2013-11-04","26,00","24,50","26,00","24,80","+0,00","0,36"
"2013-11-05","25,00","24,00","25,40","24,40","-1,61","0,25"
"2013-11-06","25,00","22,50","25,00","23,74","-2,70","0,64"
"2013-11-07","23,50","23,50","24,92","24,70","+4,04","0,06"
"2013-11-08","24,70","24,06","24,89","24,21","-1,98","0,06"
