"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","35,12","34,99","35,75","35,60","+0,00","4,61"
"2010-01-05","36,13","34,96","36,14","34,96","-1,80","3,25"
"2010-01-06","35,00","34,22","35,44","34,55","-1,17","1,61"
"2010-01-07","34,65","33,51","34,65","33,85","-2,03","2,37"
"2010-01-08","33,70","33,20","34,40","33,48","-1,09","2,28"
"2010-01-11","33,61","33,50","34,40","33,80","+0,96","1,30"
"2010-01-12","34,34","33,01","34,34","33,20","-1,78","0,86"
"2010-01-13","33,45","33,00","34,10","34,00","+2,41","1,71"
"2010-01-14","34,00","33,55","34,60","33,55","-1,32","1,13"
"2010-01-15","33,99","33,60","34,20","34,19","+1,91","1,94"
"2010-01-18","34,19","34,00","34,31","34,00","-0,56","1,09"
"2010-01-19","34,15","33,80","34,49","34,15","+0,44","1,22"
"2010-01-20","34,50","34,15","34,87","34,80","+1,90","2,09"
"2010-01-21","34,81","34,81","35,95","35,35","+1,58","3,30"
"2010-01-22","34,86","33,35","34,86","33,66","-4,78","2,07"
"2010-01-25","33,02","33,02","34,30","34,00","+1,01","2,70"
"2010-01-26","33,99","33,30","33,99","33,30","-2,06","1,60"
"2010-01-27","33,20","33,01","33,60","33,07","-0,69","1,08"
"2010-01-28","33,60","33,21","33,60","33,21","+0,42","1,03"
"2010-01-29","33,15","33,00","33,31","33,30","+0,27","0,58"
"2010-02-01","33,49","32,90","33,49","32,96","-1,02","0,97"
"2010-02-02","33,10","32,90","33,20","33,20","+0,73","1,01"
"2010-02-03","33,39","33,00","33,39","33,01","-0,57","0,75"
"2010-02-04","33,12","32,00","33,30","32,00","-3,06","2,19"
"2010-02-05","31,75","30,50","31,75","30,57","-4,47","3,25"
"2010-02-08","30,55","30,10","30,90","30,10","-1,54","2,07"
"2010-02-09","30,30","30,30","30,89","30,40","+1,00","1,05"
"2010-02-10","30,90","30,44","31,47","30,44","+0,13","1,78"
"2010-02-11","30,97","30,10","30,97","30,10","-1,12","1,32"
"2010-02-12","30,51","30,06","30,83","30,65","+1,83","0,55"
"2010-02-15","30,76","30,22","30,87","30,80","+0,49","0,63"
"2010-02-16","31,00","30,80","31,39","31,27","+1,53","0,97"
"2010-02-17","31,90","31,60","33,60","33,50","+7,13","5,89"
"2010-02-18","33,70","32,81","33,80","33,39","-0,33","0,85"
"2010-02-19","32,60","32,11","33,07","32,81","-1,74","0,46"
"2010-02-22","33,50","32,85","33,66","33,25","+0,00","1,29"
"2010-02-23","33,00","32,25","33,00","32,40","-2,56","0,71"
"2010-02-24","32,25","32,10","32,40","32,15","-0,77","0,31"
"2010-02-25","32,43","32,10","32,99","32,10","-0,16","0,68"
