"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-05","0,82","0,82","0,86","0,86","+0,00","0,00"
"2010-01-06","0,87","0,72","0,90","0,72","-16,28","0,00"
"2010-01-07","0,86","0,86","0,86","0,86","+19,44","0,00"
"2010-01-08","0,86","0,86","0,86","0,86","+0,00","0,00"
"2010-01-11","0,88","0,88","0,90","0,90","+4,65","0,00"
"2010-01-13","0,85","0,85","0,85","0,85","-5,56","0,00"
"2010-01-14","0,85","0,85","0,85","0,85","+0,00","0,00"
"2010-01-15","0,80","0,80","0,84","0,81","-4,71","0,01"
"2010-01-18","0,70","0,70","0,79","0,79","-2,47","0,00"
"2010-01-19","0,71","0,71","0,83","0,83","+5,06","0,00"
"2010-01-21","0,79","0,79","0,90","0,87","+4,82","0,03"
"2010-01-22","0,76","0,76","1,22","1,09","+25,29","0,30"
"2010-01-25","1,08","0,88","1,17","0,97","-11,01","0,10"
"2010-01-26","0,99","0,90","1,05","1,00","+3,09","0,02"
"2010-01-27","0,99","0,86","0,99","0,95","-5,00","0,02"
"2010-01-28","0,96","0,96","0,96","0,96","+1,05","0,00"
"2010-01-29","0,95","0,82","0,95","0,86","-10,42","0,03"
"2010-02-01","0,88","0,84","0,92","0,90","+4,65","0,01"
"2010-02-02","0,90","0,82","0,90","0,87","-3,33","0,04"
"2010-02-03","0,83","0,81","0,84","0,81","-6,90","0,02"
"2010-02-04","0,83","0,76","0,87","0,81","+0,00","0,04"
"2010-02-05","0,81","0,75","0,81","0,79","-2,47","0,01"
"2010-02-08","0,81","0,73","0,81","0,80","+1,27","0,00"
"2010-02-09","0,78","0,74","0,80","0,78","-2,50","0,01"
"2010-02-10","0,78","0,78","0,86","0,83","+6,41","0,01"
"2010-02-11","0,80","0,80","0,80","0,80","-3,61","0,00"
"2010-02-12","0,81","0,81","0,82","0,82","+2,50","0,00"
"2010-02-15","0,76","0,73","0,80","0,79","-3,66","0,01"
"2010-02-16","0,79","0,76","0,90","0,82","+3,80","0,04"
"2010-02-17","0,84","0,84","0,96","0,96","+17,07","0,07"
"2010-02-19","0,95","0,85","0,95","0,92","-4,17","0,00"
"2010-02-22","0,94","0,81","0,94","0,88","+0,00","0,01"
"2010-02-23","0,76","0,76","0,90","0,90","+2,27","0,00"
"2010-02-24","0,88","0,79","0,93","0,89","-1,11","0,01"
"2010-02-25","0,86","0,86","0,93","0,93","+4,49","0,01"
"2010-02-26","0,88","0,88","0,93","0,93","+0,00","0,00"
"2010-03-01","0,93","0,93","1,06","0,99","+6,45","0,02"
"2010-03-02","0,99","0,88","0,99","0,94","-5,05","0,02"
"2010-03-03","0,88","0,80","0,88","0,86","-8,51","0,06"
"2010-03-04","0,81","0,81","0,87","0,87","+1,16","0,01"
"2010-03-05","0,87","0,82","0,87","0,84","-3,45","0,01"
"2010-03-08","0,82","0,81","0,82","0,81","-3,57","0,01"
"2010-03-09","0,84","0,76","0,84","0,81","+0,00","0,02"
"2010-03-10","0,78","0,75","0,81","0,80","-1,23","0,03"
"2010-03-11","0,80","0,78","0,84","0,84","+5,00","0,02"
"2010-03-12","0,83","0,80","0,84","0,84","+0,00","0,03"
"2010-03-15","0,80","0,80","0,90","0,90","+7,14","0,04"
"2010-03-16","0,90","0,90","0,97","0,96","+6,67","0,08"
"2010-03-17","0,95","0,92","0,95","0,95","-1,04","0,04"
