"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","0,42","0,42","0,43","0,43","+0,00","0,02"
"2010-01-05","0,43","0,42","0,43","0,43","+0,00","0,03"
"2010-01-06","0,42","0,42","0,43","0,43","+0,00","0,00"
"2010-01-07","0,43","0,41","0,43","0,43","+0,00","0,02"
"2010-01-08","0,43","0,42","0,47","0,46","+6,98","0,37"
"2010-01-11","0,45","0,45","0,46","0,45","-2,17","0,06"
"2010-01-12","0,45","0,43","0,46","0,44","-2,22","0,08"
"2010-01-13","0,44","0,43","0,44","0,43","-2,27","0,07"
"2010-01-14","0,43","0,43","0,44","0,43","+0,00","0,04"
"2010-01-15","0,43","0,42","0,47","0,46","+6,98","0,25"
"2010-01-18","0,46","0,44","0,46","0,46","+0,00","0,09"
"2010-01-19","0,46","0,45","0,47","0,45","-2,17","0,02"
"2010-01-20","0,45","0,45","0,46","0,45","+0,00","0,02"
"2010-01-21","0,45","0,44","0,46","0,46","+2,22","0,01"
"2010-01-22","0,45","0,45","0,46","0,46","+0,00","0,03"
"2010-01-25","0,46","0,46","0,54","0,53","+15,22","2,35"
"2010-01-26","0,52","0,49","0,52","0,49","-7,55","0,65"
"2010-01-27","0,50","0,46","0,50","0,46","-6,12","0,42"
"2010-01-28","0,47","0,47","0,50","0,48","+4,35","0,39"
"2010-01-29","0,48","0,47","0,50","0,50","+4,17","0,05"
"2010-02-01","0,50","0,50","0,51","0,50","+0,00","0,05"
"2010-02-02","0,50","0,50","0,51","0,50","+0,00","0,13"
"2010-02-03","0,50","0,49","0,51","0,50","+0,00","0,02"
"2010-02-04","0,51","0,49","0,51","0,49","-2,00","0,02"
"2010-02-05","0,48","0,45","0,49","0,48","-2,04","0,13"
"2010-02-08","0,47","0,47","0,48","0,47","-2,08","0,02"
"2010-02-09","0,47","0,47","0,48","0,48","+2,13","0,03"
"2010-02-10","0,48","0,48","0,49","0,49","+2,08","0,03"
"2010-02-11","0,48","0,46","0,48","0,46","-6,12","0,04"
"2010-02-12","0,47","0,46","0,47","0,47","+2,17","0,00"
"2010-02-15","0,47","0,45","0,48","0,46","-2,13","0,01"
"2010-02-16","0,49","0,46","0,49","0,48","+4,35","0,02"
"2010-02-17","0,46","0,46","0,48","0,48","+0,00","0,02"
"2010-02-18","0,47","0,47","0,47","0,47","-2,08","0,00"
"2010-02-19","0,46","0,46","0,47","0,47","+0,00","0,01"
"2010-02-22","0,47","0,46","0,47","0,47","+0,00","0,02"
"2010-02-23","0,46","0,46","0,46","0,46","-2,13","0,02"
"2010-02-24","0,45","0,45","0,46","0,46","+0,00","0,06"
"2010-02-25","0,46","0,46","0,46","0,46","+0,00","0,01"
"2010-03-01","0,47","0,46","0,47","0,46","+0,00","0,00"
"2010-03-02","0,46","0,45","0,46","0,46","+0,00","0,03"
"2010-03-03","0,45","0,43","0,47","0,45","-2,17","0,09"
"2010-03-04","0,46","0,43","0,46","0,44","-2,22","0,07"
"2010-03-05","0,45","0,44","0,45","0,45","+2,27","0,03"
"2010-03-08","0,45","0,43","0,45","0,43","-4,44","0,05"
"2010-03-09","0,43","0,43","0,45","0,45","+4,65","0,05"
"2010-03-10","0,45","0,43","0,45","0,45","+0,00","0,07"
"2010-03-11","0,45","0,44","0,45","0,45","+0,00","0,02"
"2010-03-12","0,45","0,44","0,45","0,45","+0,00","0,03"
"2010-03-15","0,45","0,43","0,45","0,44","-2,22","0,17"
"2010-03-16","0,44","0,44","0,47","0,47","+6,82","0,25"
"2010-03-17","0,47","0,46","0,47","0,46","-2,13","0,16"
"2010-03-18","0,46","0,46","0,46","0,46","+0,00","0,03"
"2010-03-19","0,46","0,45","0,46","0,46","+0,00","0,04"
"2010-03-22","0,45","0,44","0,45","0,44","-4,35","0,07"
"2010-03-23","0,44","0,44","0,44","0,44","+0,00","0,01"
"2010-03-24","0,44","0,44","0,45","0,45","+2,27","0,09"
"2010-03-25","0,45","0,44","0,45","0,44","-2,22","0,01"
"2010-03-26","0,44","0,44","0,45","0,45","+2,27","0,01"
"2010-03-29","0,45","0,44","0,45","0,45","+0,00","0,01"
"2010-03-30","0,45","0,44","0,45","0,44","-2,22","0,04"
"2010-03-31","0,44","0,43","0,45","0,44","+0,00","0,05"
"2010-04-01","0,45","0,45","0,46","0,45","+2,27","0,08"
"2010-04-06","0,45","0,44","0,46","0,45","+0,00","0,04"
"2010-04-07","0,45","0,44","0,45","0,45","+0,00","0,06"
"2010-04-08","0,45","0,45","0,46","0,45","+0,00","0,07"
