"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","2,69","2,60","2,69","2,60","+0,00","0,00"
"2010-01-05","2,55","2,55","2,68","2,62","+0,77","0,03"
"2010-01-06","2,62","2,55","2,62","2,60","-0,76","0,06"
"2010-01-07","2,61","2,55","2,64","2,63","+1,15","0,05"
"2010-01-08","2,63","2,63","2,77","2,75","+4,56","0,13"
"2010-01-11","2,75","2,70","2,79","2,70","-1,82","0,14"
"2010-01-12","2,75","2,75","2,77","2,75","+1,85","0,02"
"2010-01-13","2,77","2,77","2,89","2,82","+2,55","0,10"
"2010-01-14","2,85","2,76","2,85","2,80","-0,71","0,02"
"2010-01-15","2,75","2,75","2,82","2,76","-1,43","0,06"
"2010-01-18","2,78","2,75","2,78","2,76","+0,00","0,09"
"2010-01-19","2,76","2,67","2,76","2,72","-1,45","0,02"
"2010-01-20","2,95","2,60","2,95","2,74","+0,74","0,86"
"2010-01-21","2,70","2,68","2,74","2,73","-0,36","0,05"
"2010-01-22","2,70","2,60","2,70","2,62","-4,03","0,06"
"2010-01-25","2,60","2,60","2,73","2,72","+3,82","0,03"
"2010-01-26","2,72","2,60","2,72","2,65","-2,57","0,10"
"2010-01-27","2,65","2,65","2,84","2,75","+3,77","0,12"
"2010-01-28","2,76","2,75","2,80","2,79","+1,45","0,03"
"2010-01-29","2,76","2,75","2,84","2,84","+1,79","0,06"
"2010-02-01","2,80","2,80","2,80","2,80","-1,41","0,00"
"2010-02-02","2,80","2,80","2,95","2,95","+5,36","0,45"
"2010-02-03","2,96","2,86","3,05","2,88","-2,37","0,28"
"2010-02-04","2,94","2,88","2,97","2,90","+0,69","0,14"
"2010-02-05","2,86","2,80","2,89","2,89","-0,34","0,11"
"2010-02-08","2,89","2,81","2,94","2,81","-2,77","0,03"
"2010-02-09","2,93","2,90","2,93","2,91","+3,56","0,03"
"2010-02-10","2,93","2,89","2,93","2,93","+0,69","0,00"
"2010-02-11","2,93","2,82","2,93","2,85","-2,73","0,01"
"2010-02-12","2,91","2,80","2,93","2,90","+1,75","0,12"
"2010-02-15","2,93","2,90","2,97","2,97","+2,41","0,09"
"2010-02-16","2,99","2,95","3,09","3,03","+2,02","0,24"
"2010-02-17","3,00","3,00","3,09","3,09","+1,98","0,15"
"2010-02-18","3,01","3,00","3,08","3,05","-1,29","0,04"
"2010-02-19","3,08","3,00","3,08","3,05","+0,00","0,01"
"2010-02-22","3,00","2,90","3,05","2,98","+0,00","0,07"
"2010-02-23","2,91","2,84","2,98","2,97","-0,34","0,09"
"2010-02-24","2,95","2,95","3,29","3,29","+10,77","1,00"
"2010-02-25","3,27","3,04","3,27","3,04","-7,60","0,44"
"2010-02-26","3,04","3,04","3,14","3,14","+3,29","0,19"
"2010-03-01","3,13","3,07","3,21","3,21","+2,23","0,27"
"2010-03-02","3,24","3,20","3,50","3,43","+6,85","0,56"
"2010-03-03","3,40","3,30","3,40","3,37","-1,75","0,19"
"2010-03-04","3,35","3,25","3,35","3,33","-1,19","0,10"
"2010-03-05","3,29","3,29","3,44","3,40","+2,10","0,06"
"2010-03-08","3,42","3,34","3,46","3,42","+0,59","0,28"
"2010-03-09","3,42","3,41","3,48","3,48","+1,75","0,13"
"2010-03-10","3,49","3,49","3,79","3,72","+6,90","0,87"
"2010-03-11","3,75","3,61","3,78","3,65","-1,88","0,17"
"2010-03-12","3,70","3,66","3,74","3,74","+2,47","0,25"
"2010-03-15","3,74","3,51","3,78","3,75","+0,27","0,16"
"2010-03-16","3,62","3,62","3,78","3,78","+0,80","0,42"
"2010-03-17","3,79","3,79","3,96","3,96","+4,76","0,66"
"2010-03-18","3,97","3,83","4,04","3,83","-3,28","0,19"
"2010-03-19","3,96","3,78","3,98","3,88","+1,31","0,05"
"2010-03-22","3,83","3,63","3,83","3,75","-3,35","0,08"
"2010-03-23","3,75","3,75","3,80","3,80","+1,33","0,04"
"2010-03-24","3,80","3,70","3,84","3,77","-0,79","0,13"
