"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","10,00","9,97","10,15","10,05","+0,00","0,46"
"2010-01-05","10,00","9,95","10,10","10,05","+0,00","0,72"
"2010-01-06","10,03","10,00","10,44","10,25","+1,99","1,73"
"2010-01-07","10,20","10,05","10,20","10,16","-0,88","0,22"
"2010-01-08","10,18","10,12","10,25","10,20","+0,39","1,05"
"2010-01-11","10,28","10,27","10,95","10,85","+6,37","3,16"
"2010-01-12","10,90","10,77","11,22","11,01","+1,47","2,36"
"2010-01-13","10,95","10,80","11,39","11,32","+2,82","1,69"
"2010-01-14","11,32","11,32","11,85","11,85","+4,68","1,87"
"2010-01-15","11,84","11,60","11,85","11,75","-0,84","38,10"
"2010-01-18","11,85","11,50","11,87","11,56","-1,62","4,15"
"2010-01-19","11,50","11,01","11,50","11,38","-1,56","3,71"
"2010-01-20","11,30","11,25","11,35","11,30","-0,70","0,55"
"2010-01-21","11,30","11,21","11,32","11,32","+0,18","0,57"
"2010-01-22","11,10","10,66","11,11","10,90","-3,71","3,14"
"2010-01-25","10,70","10,55","10,80","10,74","-1,47","6,96"
"2010-01-26","10,60","10,26","10,75","10,73","-0,09","12,61"
"2010-01-27","10,69","10,42","10,89","10,89","+1,49","0,31"
"2010-01-28","11,26","10,80","11,26","11,10","+1,93","42,16"
"2010-01-29","10,82","10,82","11,20","11,20","+0,90","1,78"
"2010-02-01","11,05","10,68","11,24","11,19","-0,09","0,37"
"2010-02-02","11,26","11,02","11,26","11,14","-0,45","2,96"
"2010-02-03","11,14","10,90","11,24","11,19","+0,45","0,54"
"2010-02-04","11,07","11,07","11,19","11,11","-0,71","1,83"
"2010-02-05","11,00","10,60","11,05","11,05","-0,54","2,20"
"2010-02-08","10,86","10,85","11,00","11,00","-0,45","1,07"
"2010-02-09","11,01","11,01","11,16","11,13","+1,18","0,49"
"2010-02-10","11,20","11,10","11,20","11,15","+0,18","0,41"
"2010-02-11","11,01","11,01","11,17","11,17","+0,18","0,70"
"2010-02-12","11,20","11,06","11,20","11,14","-0,27","0,13"
"2010-02-15","11,18","11,08","11,18","11,18","+0,36","0,34"
"2010-02-16","11,18","11,15","11,18","11,15","-0,27","0,13"
"2010-02-17","11,19","10,93","11,29","11,29","+1,26","1,47"
"2010-02-18","11,33","11,33","11,66","11,34","+0,44","2,13"
"2010-02-19","11,36","11,34","11,60","11,55","+1,85","0,14"
"2010-02-22","11,79","11,60","11,79","11,69","+0,00","0,65"
"2010-02-23","11,75","11,40","11,75","11,56","-1,11","1,02"
"2010-02-24","11,58","10,95","11,58","11,49","-0,61","0,22"
"2010-02-25","11,45","11,30","11,48","11,48","-0,09","0,14"
"2010-02-26","11,47","11,33","11,48","11,48","+0,00","0,31"
"2010-03-01","11,49","11,32","11,49","11,48","+0,00","0,17"
"2010-03-02","11,48","11,26","11,70","11,70","+1,92","0,72"
"2010-03-03","11,78","11,55","11,94","11,94","+2,05","1,50"
"2010-03-04","12,05","12,00","12,49","12,25","+2,60","2,02"
"2010-03-05","12,51","12,31","12,75","12,31","+0,49","1,33"
"2010-03-08","12,54","11,85","12,54","12,48","+1,38","1,09"
"2010-03-09","12,21","12,21","12,88","12,80","+2,56","1,18"
"2010-03-10","12,90","12,90","13,49","13,35","+4,30","3,39"
"2010-03-11","13,45","13,10","13,55","13,55","+1,50","9,21"
"2010-03-12","13,58","13,42","13,86","13,77","+1,62","12,73"
"2010-03-15","13,77","13,20","13,89","13,32","-3,27","0,91"
"2010-03-16","13,50","13,37","13,75","13,50","+1,35","0,78"
"2010-03-17","13,50","13,38","13,59","13,42","-0,59","1,15"
"2010-03-18","13,40","13,15","13,42","13,30","-0,89","0,58"
"2010-03-19","13,30","13,14","13,30","13,20","-0,75","0,44"
"2010-03-22","13,15","12,80","13,30","13,30","+0,76","1,54"
"2010-03-23","13,30","13,20","13,80","13,70","+3,01","1,21"
"2010-03-24","13,70","13,20","13,70","13,29","-2,99","0,57"
"2010-03-25","13,20","13,10","13,36","13,36","+0,53","0,92"
"2010-03-26","13,15","13,15","13,45","13,30","-0,45","0,69"
"2010-03-29","13,32","13,30","13,47","13,41","+0,83","0,96"
"2010-03-30","13,40","13,40","13,48","13,46","+0,37","0,49"
"2010-03-31","13,46","13,40","13,49","13,49","+0,22","0,85"
"2010-04-01","13,49","13,40","14,00","14,00","+3,78","3,04"
"2010-04-06","14,20","14,20","14,50","14,48","+3,43","1,50"
"2010-04-07","14,50","14,10","14,50","14,10","-2,62","2,26"
"2010-04-08","14,10","13,51","14,20","13,80","-2,13","1,59"
"2010-04-09","13,85","13,80","14,10","14,06","+1,88","0,67"
"2010-04-12","14,06","14,06","14,25","14,25","+0,00","0,56"
"2010-04-13","14,24","13,91","14,26","14,06","-1,33","0,33"
"2010-04-14","14,15","14,05","14,15","14,12","+0,43","0,77"
"2010-04-15","14,05","13,81","14,12","14,10","-0,14","1,96"
"2010-04-16","14,07","13,81","14,07","13,88","-1,56","3,92"
"2010-04-19","13,80","13,02","13,95","13,80","-0,58","2,28"
"2010-04-20","13,79","13,47","14,10","13,75","-0,36","1,05"
"2010-04-21","13,85","13,61","13,88","13,80","+0,36","0,21"
