"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","14,40","14,30","14,90","14,35","+0,00","4,27"
"2010-01-05","14,35","13,42","14,45","13,51","-5,85","5,90"
"2010-01-06","13,51","13,04","13,85","13,70","+1,41","5,16"
"2010-01-07","13,81","13,39","13,87","13,41","-2,12","1,53"
"2010-01-08","13,49","13,32","13,74","13,46","+0,37","1,37"
"2010-01-11","13,64","13,34","13,64","13,37","-0,67","1,03"
"2010-01-12","13,40","12,80","13,49","13,00","-2,77","2,29"
"2010-01-13","13,56","13,28","13,76","13,62","+4,77","4,54"
"2010-01-14","13,69","13,56","14,11","13,63","+0,07","2,82"
"2010-01-15","13,56","13,40","13,94","13,56","-0,51","1,04"
"2010-01-18","13,62","13,52","13,75","13,60","+0,29","0,69"
"2010-01-19","13,60","13,19","13,60","13,38","-1,62","1,02"
"2010-01-20","13,40","13,10","13,58","13,46","+0,60","1,32"
"2010-01-21","13,11","13,11","13,30","13,25","-1,56","0,69"
"2010-01-22","13,27","12,90","13,44","13,11","-1,06","1,42"
"2010-01-25","12,90","12,62","13,08","13,00","-0,84","0,74"
"2010-01-26","12,80","12,30","12,80","12,60","-3,08","1,54"
"2010-01-27","12,41","12,05","12,49","12,25","-2,78","1,66"
"2010-01-28","12,30","12,30","12,45","12,45","+1,63","0,88"
"2010-01-29","12,35","12,16","12,48","12,36","-0,72","0,34"
"2010-02-01","12,10","12,10","13,00","12,80","+3,56","2,10"
"2010-02-02","13,00","12,87","13,20","12,95","+1,17","0,96"
"2010-02-03","12,96","12,81","13,08","12,89","-0,46","0,48"
"2010-02-04","12,85","12,30","12,85","12,60","-2,25","0,54"
"2010-02-05","12,11","11,71","12,16","11,90","-5,56","2,02"
"2010-02-08","12,00","11,70","12,15","12,00","+0,84","0,56"
"2010-02-09","12,07","12,00","12,20","12,15","+1,25","0,47"
"2010-02-10","12,15","12,07","12,25","12,19","+0,33","0,33"
"2010-02-11","12,20","12,00","12,40","12,30","+0,90","0,46"
"2010-02-12","12,35","12,10","12,50","12,12","-1,46","0,21"
"2010-02-15","12,12","12,05","12,37","12,23","+0,91","0,29"
"2010-02-16","12,30","12,21","12,50","12,34","+0,90","0,46"
"2010-02-17","12,50","12,50","12,88","12,88","+4,38","0,73"
"2010-02-18","12,88","12,66","12,90","12,81","-0,54","0,76"
"2010-02-19","12,62","12,62","13,40","13,29","+3,75","0,82"
"2010-02-22","13,42","13,42","13,77","13,60","+0,00","1,47"
"2010-02-23","13,60","13,10","13,73","13,45","-1,10","0,42"
"2010-02-24","13,16","13,05","13,47","13,20","-1,86","0,57"
"2010-02-25","13,15","12,85","13,17","12,98","-1,67","0,73"
"2010-02-26","12,82","12,30","12,82","12,58","-3,08","2,26"
"2010-03-01","12,63","12,40","12,69","12,57","-0,08","0,57"
"2010-03-02","12,69","12,47","13,05","12,80","+1,83","1,48"
"2010-03-03","13,00","12,91","13,68","13,66","+6,72","4,08"
"2010-03-04","13,49","13,32","14,00","13,81","+1,10","3,27"
"2010-03-05","13,82","13,81","14,28","13,89","+0,58","3,18"
"2010-03-08","14,00","13,55","14,00","13,75","-1,01","1,61"
"2010-03-09","13,85","13,76","13,94","13,89","+1,02","1,82"
"2010-03-10","13,96","13,80","14,45","14,36","+3,38","5,95"
"2010-03-11","14,46","14,02","14,70","14,20","-1,11","3,04"
"2010-03-12","14,25","14,20","14,48","14,27","+0,49","3,39"
"2010-03-15","14,35","14,20","14,64","14,39","+0,84","1,55"
"2010-03-16","14,49","14,45","15,14","14,90","+3,54","4,33"
"2010-03-17","15,00","14,67","15,25","14,68","-1,48","3,87"
"2010-03-18","14,67","13,90","14,67","14,22","-3,13","3,37"
"2010-03-19","14,30","13,90","14,30","14,05","-1,20","1,68"
"2010-03-22","14,07","13,21","14,07","13,83","-1,57","2,24"
"2010-03-23","13,98","13,85","14,10","13,88","+0,36","0,83"
"2010-03-24","14,01","13,66","14,10","13,88","+0,00","1,33"
"2010-03-25","13,88","13,62","14,10","14,10","+1,59","1,05"
"2010-03-26","14,11","13,85","14,25","13,97","-0,92","0,61"
"2010-03-29","14,00","13,87","14,65","14,30","+2,36","2,33"
"2010-03-30","14,52","14,28","14,55","14,43","+0,91","1,23"
"2010-03-31","14,61","14,30","14,61","14,44","+0,07","1,01"
"2010-04-01","14,39","14,25","14,62","14,49","+0,35","0,98"
"2010-04-06","14,55","14,20","14,67","14,29","-1,38","0,63"
"2010-04-07","14,32","14,06","14,32","14,19","-0,70","0,70"
"2010-04-08","14,25","13,72","14,25","13,90","-2,04","1,23"
"2010-04-09","13,90","13,90","14,21","14,21","+2,23","0,95"
"2010-04-12","14,00","13,99","14,20","14,18","+0,00","0,23"
"2010-04-13","14,20","14,00","14,46","14,42","+1,69","0,58"
"2010-04-14","14,45","14,20","14,46","14,24","-1,25","0,80"
"2010-04-15","14,35","13,76","14,35","14,11","-0,91","1,33"
"2010-04-16","13,99","13,80","14,17","13,92","-1,35","0,99"
"2010-04-19","13,79","13,52","14,11","13,96","+0,29","1,75"
"2010-04-20","14,09","14,00","15,03","14,96","+7,16","5,60"
"2010-04-21","15,45","15,31","16,00","15,35","+2,61","9,95"
"2010-04-22","15,50","15,05","15,85","15,50","+0,98","3,90"
"2010-04-23","15,50","15,19","16,80","16,80","+8,39","8,96"
"2010-04-26","17,15","17,00","17,66","17,52","+4,29","8,12"
"2010-04-27","17,52","16,80","17,52","17,35","-0,97","4,28"
"2010-04-28","16,75","16,65","17,34","17,22","-0,75","3,43"
"2010-04-29","17,25","17,22","18,19","17,95","+4,24","3,99"
"2010-04-30","17,75","16,65","17,95","16,75","-6,69","6,53"
"2010-05-04","16,12","16,12","16,76","16,33","-2,51","3,90"
"2010-05-05","16,16","15,30","16,20","15,42","-5,57","7,55"
"2010-05-06","15,05","15,05","15,80","15,70","+1,82","3,38"
"2010-05-07","15,05","15,05","15,48","15,21","-3,12","2,32"
"2010-05-10","15,79","15,60","15,90","15,90","+4,54","2,32"
"2010-05-11","16,01","15,45","16,02","15,47","-2,70","1,37"
"2010-05-12","15,47","15,38","15,99","15,99","+3,36","1,37"
"2010-05-13","16,19","16,00","16,80","16,45","+2,88","3,78"
"2010-05-14","16,24","15,67","16,30","15,67","-4,74","1,29"
"2010-05-17","15,68","15,42","15,88","15,65","-0,13","0,96"
"2010-05-18","14,50","14,50","15,17","14,75","-5,75","4,16"
"2010-05-19","14,26","14,07","14,45","14,25","-3,39","2,62"
"2010-05-20","14,30","13,71","14,44","13,71","-3,79","1,95"
"2010-05-21","13,70","13,51","14,29","14,20","+3,57","0,85"
"2010-05-24","14,45","14,10","14,59","14,18","-0,14","0,85"
"2010-05-25","13,80","13,61","14,19","14,19","+0,07","0,56"
"2010-05-26","14,88","14,61","14,88","14,77","+4,09","1,48"
"2010-05-27","14,97","14,95","15,58","15,58","+5,48","1,28"
"2010-05-28","15,87","15,60","15,87","15,70","+0,77","1,05"
"2010-05-31","15,70","15,35","15,70","15,50","+0,00","0,26"
"2010-06-01","15,50","15,25","15,80","15,25","-1,61","0,40"
"2010-06-02","15,30","14,81","15,30","15,14","-0,72","0,34"
"2010-06-04","15,29","14,66","15,29","14,79","-2,31","0,68"
"2010-06-07","14,65","14,40","14,69","14,55","-1,62","0,61"
"2010-06-08","14,63","14,30","14,70","14,50","-0,34","0,90"
"2010-06-09","14,59","14,30","14,59","14,36","-0,97","0,70"
"2010-06-10","14,34","14,10","14,49","14,45","+0,63","0,72"
"2010-06-11","14,52","14,35","14,55","14,35","-0,69","0,37"
"2010-06-14","14,22","14,11","14,64","14,17","-1,25","0,66"
"2010-06-15","14,19","14,17","14,38","14,28","+0,78","0,58"
"2010-06-16","14,51","14,20","14,51","14,46","+1,26","0,45"
"2010-06-17","14,46","14,22","14,48","14,32","-0,97","0,19"
