"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","6,35","6,35","6,85","6,85","+0,00","0,12"
"2010-01-05","6,93","6,87","8,03","7,18","+4,82","0,83"
"2010-01-06","7,18","6,67","7,20","6,85","-4,60","0,34"
"2010-01-07","7,00","6,75","7,00","6,90","+0,73","0,13"
"2010-01-08","6,80","6,76","6,98","6,97","+1,01","0,05"
"2010-01-11","7,00","6,77","7,08","6,77","-2,87","0,12"
"2010-01-12","6,80","6,52","6,90","6,87","+1,48","0,28"
"2010-01-13","6,77","6,63","6,80","6,80","-1,02","0,04"
"2010-01-14","6,80","6,77","6,86","6,80","+0,00","0,06"
"2010-01-15","6,80","6,75","6,86","6,85","+0,74","0,04"
"2010-01-18","6,80","6,63","6,85","6,65","-2,92","0,10"
"2010-01-19","6,65","6,55","6,67","6,60","-0,75","0,13"
"2010-01-20","6,59","6,51","6,79","6,60","+0,00","0,14"
"2010-01-21","6,79","6,51","6,79","6,65","+0,76","0,04"
"2010-01-22","6,64","6,45","6,64","6,64","-0,15","0,06"
"2010-01-25","6,63","6,44","6,63","6,44","-3,01","0,02"
"2010-01-26","6,45","6,41","6,57","6,54","+1,55","0,03"
"2010-01-27","6,55","6,30","6,55","6,53","-0,15","0,01"
"2010-01-28","6,52","6,35","6,54","6,54","+0,15","0,02"
"2010-01-29","6,50","6,50","6,64","6,59","+0,76","0,04"
"2010-02-01","6,60","6,15","6,60","6,40","-2,88","0,14"
"2010-02-02","6,45","6,21","6,45","6,25","-2,34","0,04"
"2010-02-03","6,20","6,20","6,39","6,33","+1,28","0,04"
"2010-02-04","6,33","6,19","6,33","6,19","-2,21","0,06"
"2010-02-05","6,18","5,90","6,18","5,96","-3,72","0,13"
"2010-02-08","5,81","5,70","5,92","5,85","-1,85","0,11"
"2010-02-09","5,85","5,71","5,90","5,90","+0,85","0,03"
"2010-02-10","5,95","5,81","6,15","6,01","+1,86","0,05"
"2010-02-11","5,90","5,90","6,05","5,90","-1,83","0,02"
"2010-02-12","5,95","5,85","6,11","5,90","+0,00","0,01"
"2010-02-15","5,90","5,90","6,00","5,92","+0,34","0,00"
"2010-02-16","5,93","5,85","5,97","5,93","+0,17","0,00"
"2010-02-17","5,94","5,81","5,94","5,89","-0,67","0,03"
"2010-02-18","5,95","5,80","5,95","5,85","-0,68","0,04"
"2010-02-19","5,80","5,70","5,84","5,78","-1,20","0,01"
"2010-02-22","5,79","5,71","5,79","5,75","+0,00","0,02"
"2010-02-23","5,74","5,60","5,76","5,61","-2,43","0,02"
"2010-02-24","5,60","5,27","5,70","5,59","-0,36","0,13"
"2010-02-25","5,58","5,48","5,72","5,55","-0,72","0,05"
"2010-02-26","5,50","5,48","5,55","5,50","-0,90","0,03"
"2010-03-01","5,55","5,50","5,75","5,75","+4,55","0,09"
"2010-03-02","5,70","5,52","5,74","5,70","-0,87","0,10"
"2010-03-03","5,74","5,60","6,20","5,60","-1,75","0,23"
"2010-03-04","5,60","5,54","5,72","5,58","-0,36","0,04"
"2010-03-05","5,80","5,31","5,84","5,55","-0,54","0,11"
"2010-03-08","5,76","5,76","6,76","6,73","+21,26","1,31"
"2010-03-09","6,89","6,65","7,57","6,90","+2,53","2,02"
"2010-03-10","6,90","6,40","6,90","6,66","-3,48","0,31"
"2010-03-11","6,58","6,18","6,58","6,42","-3,60","0,62"
"2010-03-12","6,32","6,20","6,79","6,58","+2,49","0,58"
"2010-03-15","6,55","6,35","6,63","6,51","-1,06","0,15"
"2010-03-16","6,55","6,35","6,63","6,50","-0,15","0,13"
"2010-03-17","6,42","6,41","7,24","6,94","+6,77","0,80"
"2010-03-18","7,02","6,73","7,02","6,77","-2,45","0,15"
"2010-03-19","6,80","6,60","6,90","6,60","-2,51","0,06"
"2010-03-22","6,68","6,36","6,68","6,50","-1,52","0,19"
"2010-03-23","6,50","6,49","6,64","6,60","+1,54","0,05"
"2010-03-24","6,51","6,50","6,70","6,50","-1,52","0,10"
"2010-03-25","6,51","6,42","6,70","6,62","+1,85","0,18"
"2010-03-26","6,60","6,55","6,80","6,74","+1,81","0,05"
"2010-03-29","6,59","6,59","7,08","6,85","+1,63","0,42"
"2010-03-30","6,85","6,82","7,02","6,85","+0,00","0,08"
"2010-03-31","6,94","6,65","7,01","6,65","-2,92","0,28"
"2010-04-01","6,60","6,51","6,67","6,61","-0,60","0,12"
"2010-04-06","6,56","6,50","6,60","6,56","-0,76","0,19"
"2010-04-07","6,60","6,49","6,60","6,50","-0,91","0,05"
"2010-04-08","6,50","6,42","6,58","6,42","-1,23","0,06"
"2010-04-09","6,41","6,41","6,50","6,50","+1,25","0,05"
"2010-04-12","6,50","6,42","6,55","6,55","+0,00","0,02"
"2010-04-13","6,53","6,46","6,75","6,59","+0,61","0,06"
"2010-04-14","6,55","6,55","6,83","6,83","+3,64","0,11"
"2010-04-15","6,87","6,71","6,90","6,84","+0,15","0,18"
"2010-04-16","6,76","6,65","6,80","6,76","-1,17","0,05"
"2010-04-19","6,61","6,50","6,63","6,58","-2,66","0,05"
"2010-04-20","6,55","6,43","6,55","6,45","-1,98","0,02"
