"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","588,00","581,00","595,00","590,00","+0,00","1,90"
"2010-01-05","593,00","578,00","593,00","585,50","-0,76","3,28"
"2010-01-06","578,00","578,00","580,00","580,00","-0,94","0,46"
"2010-01-07","564,50","564,50","580,00","569,00","-1,90","3,63"
"2010-01-08","569,00","557,00","570,00","568,00","-0,18","0,40"
"2010-01-11","568,00","556,00","568,00","564,50","-0,62","2,55"
"2010-01-12","564,50","555,00","564,50","555,00","-1,68","0,15"
"2010-01-13","552,00","536,50","552,00","545,00","-1,80","0,33"
"2010-01-14","545,00","540,00","545,00","540,00","-0,92","3,79"
"2010-01-15","537,00","517,00","537,00","520,00","-3,70","1,05"
"2010-01-18","520,00","520,00","540,00","520,00","+0,00","3,73"
"2010-01-19","520,00","506,00","521,00","519,00","-0,19","2,52"
"2010-01-20","511,00","501,00","519,00","512,50","-1,25","1,03"
"2010-01-21","506,50","503,00","512,50","510,00","-0,49","0,49"
"2010-01-22","506,00","503,00","509,50","505,00","-0,98","0,23"
"2010-01-25","503,00","482,50","525,00","501,00","-0,79","1,16"
"2010-01-26","496,00","494,00","501,00","496,00","-1,00","0,95"
"2010-01-27","496,00","496,00","502,00","501,00","+1,01","1,20"
"2010-01-28","509,00","500,00","515,00","510,00","+1,80","2,54"
"2010-01-29","506,00","481,10","506,00","483,40","-5,22","49,11"
"2010-02-01","489,00","489,00","502,00","500,50","+3,54","0,25"
"2010-02-02","505,00","480,00","510,00","485,00","-3,10","20,35"
"2010-02-03","495,00","490,00","502,00","501,50","+3,40","0,28"
"2010-02-04","501,00","490,00","503,50","490,00","-2,29","0,32"
"2010-02-05","487,90","457,10","488,00","475,00","-3,06","0,79"
"2010-02-08","485,00","463,20","485,00","470,00","-1,05","0,70"
"2010-02-09","475,00","463,50","480,00","477,00","+1,49","0,18"
"2010-02-10","489,00","470,00","489,50","470,00","-1,47","0,27"
"2010-02-11","480,00","465,00","485,00","465,00","-1,06","0,11"
"2010-02-12","465,20","465,20","479,70","472,10","+1,53","0,04"
"2010-02-15","475,00","472,00","485,00","485,00","+2,73","0,20"
"2010-02-16","485,00","485,00","510,00","499,00","+2,89","0,16"
"2010-02-17","508,00","499,00","508,00","504,00","+1,00","0,08"
"2010-02-18","509,00","465,00","509,00","505,00","+0,20","25,90"
"2010-02-19","483,10","483,10","500,50","499,80","-1,03","0,12"
"2010-02-22","503,00","490,00","503,00","500,00","+0,00","0,05"
"2010-02-23","487,10","484,00","495,00","493,70","-1,26","0,43"
"2010-02-24","490,00","484,00","490,00","484,00","-1,96","0,06"
"2010-02-25","484,30","480,00","485,00","485,00","+0,21","1,36"
"2010-02-26","481,10","476,20","485,00","484,50","-0,10","0,07"
"2010-03-01","481,00","478,00","481,00","478,00","-1,34","0,18"
"2010-03-02","478,00","470,00","478,00","475,00","-0,63","0,69"
"2010-03-03","476,00","465,00","479,00","465,00","-2,11","0,82"
"2010-03-04","465,00","446,20","465,00","452,00","-2,80","1,09"
"2010-03-05","446,20","444,50","450,00","445,90","-1,35","1,25"
"2010-03-08","450,00","426,00","458,90","440,00","-1,32","1,44"
"2010-03-09","440,00","437,60","443,90","440,30","+0,07","0,38"
"2010-03-10","440,60","440,30","449,80","446,00","+1,29","1,71"
"2010-03-11","451,00","449,90","457,90","454,00","+1,79","2,56"
"2010-03-12","455,90","440,00","455,90","440,00","-3,08","1,52"
"2010-03-15","440,00","426,00","440,00","428,00","-2,73","0,84"
"2010-03-16","427,20","424,00","440,00","440,00","+2,80","0,69"
"2010-03-17","449,80","428,00","449,80","428,00","-2,73","3,09"
"2010-03-18","428,00","423,90","429,00","425,00","-0,70","1,31"
"2010-03-19","425,00","425,00","439,80","427,10","+0,49","0,56"
"2010-03-22","428,00","427,30","437,00","433,00","+1,38","0,82"
"2010-03-23","433,00","432,00","438,50","432,00","-0,23","4,22"
"2010-03-24","432,00","429,00","433,00","432,00","+0,00","0,50"
"2010-03-25","432,00","428,30","433,00","430,00","-0,46","0,33"
"2010-03-26","429,30","429,30","432,50","429,50","-0,12","1,08"
"2010-03-29","435,90","432,60","445,00","438,00","+1,98","2,81"
"2010-03-30","448,00","444,00","471,00","465,50","+6,28","18,20"
"2010-03-31","473,00","472,00","495,00","472,10","+1,42","3,56"
"2010-04-01","485,00","469,00","487,00","480,00","+1,67","2,84"
"2010-04-06","485,00","470,00","485,00","474,00","-1,25","0,72"
"2010-04-07","481,00","462,50","481,00","469,50","-0,95","0,46"
"2010-04-08","464,00","448,00","464,00","453,50","-3,41","1,43"
"2010-04-09","458,00","458,00","470,00","465,00","+2,54","0,96"
"2010-04-12","458,00","455,00","464,00","460,00","+0,00","1,37"
"2010-04-13","457,00","456,60","467,00","466,00","+1,30","0,53"
"2010-04-14","466,60","466,60","489,00","489,00","+4,94","7,69"
"2010-04-15","483,00","480,00","490,00","485,90","-0,63","11,37"
"2010-04-16","484,00","471,10","486,00","485,00","-0,19","0,47"
"2010-04-19","477,00","455,00","477,00","455,00","-6,19","1,01"
"2010-04-20","458,00","458,00","468,50","468,30","+2,92","0,28"
"2010-04-21","479,00","463,00","479,00","463,50","-1,02","0,37"
"2010-04-22","462,10","460,00","470,10","462,50","-0,22","0,61"
"2010-04-23","468,00","461,00","473,50","472,00","+2,05","1,29"
"2010-04-26","473,50","463,00","473,50","470,00","-0,42","0,53"
"2010-04-27","469,00","451,10","470,00","460,00","-2,13","0,71"
"2010-04-28","457,00","451,60","461,00","458,50","-0,33","0,38"
"2010-04-29","460,00","445,00","463,50","451,50","-1,53","1,20"
"2010-04-30","450,00","448,00","458,90","451,00","-0,11","8,20"
"2010-05-04","451,50","440,00","459,90","452,00","+0,22","0,51"
"2010-05-05","436,50","436,50","452,00","449,00","-0,66","1,09"
"2010-05-06","440,00","437,00","453,00","437,00","-2,67","0,21"
"2010-05-07","420,00","415,00","430,00","429,90","-1,62","2,91"
"2010-05-10","427,50","427,50","452,90","446,90","+3,95","0,46"
"2010-05-11","444,10","426,00","446,90","426,00","-4,68","1,61"
"2010-05-12","439,00","430,00","444,00","435,00","+2,11","17,37"
"2010-05-13","443,00","430,10","443,80","437,00","+0,46","5,93"
"2010-05-14","437,00","429,00","437,00","434,00","-0,69","12,97"
