"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","4,12","4,07","4,12","4,09","+0,00","1,18"
"2010-01-05","4,09","4,08","4,12","4,10","+0,24","2,64"
"2010-01-06","4,15","4,11","4,15","4,12","+0,49","3,35"
"2010-01-07","4,11","4,07","4,14","4,09","-0,73","0,54"
"2010-01-08","4,10","4,07","4,12","4,11","+0,49","0,22"
"2010-01-11","4,10","4,09","4,13","4,10","-0,24","1,79"
"2010-01-12","4,10","4,06","4,11","4,11","+0,24","0,28"
"2010-01-13","4,10","4,06","4,11","4,10","-0,24","0,24"
"2010-01-14","4,11","4,10","4,12","4,12","+0,49","0,20"
"2010-01-15","4,13","4,12","4,20","4,18","+1,46","0,78"
"2010-01-18","4,19","4,13","4,19","4,17","-0,24","0,40"
"2010-01-19","4,19","4,15","4,20","4,16","-0,24","0,30"
"2010-01-20","4,19","4,14","4,19","4,17","+0,24","0,28"
"2010-01-21","4,15","4,12","4,16","4,12","-1,20","0,50"
"2010-01-22","4,10","3,95","4,12","4,04","-1,94","0,62"
"2010-01-25","3,98","3,96","4,10","4,03","-0,25","0,63"
"2010-01-26","4,01","3,98","4,03","4,00","-0,74","0,35"
"2010-01-27","3,97","3,96","4,05","4,01","+0,25","0,14"
"2010-01-28","4,01","4,01","4,07","4,05","+1,00","0,32"
"2010-01-29","4,02","4,02","4,09","4,08","+0,74","0,56"
"2010-02-01","4,08","4,02","4,08","4,07","-0,25","0,08"
"2010-02-02","4,04","4,02","4,05","4,03","-0,98","0,26"
"2010-02-03","4,06","4,00","4,06","4,06","+0,74","0,24"
"2010-02-04","4,07","4,00","4,07","4,02","-0,99","9,45"
"2010-02-05","3,85","3,85","3,95","3,95","-1,74","0,71"
"2010-02-08","3,98","3,86","4,00","3,89","-1,52","0,31"
"2010-02-09","3,89","3,85","3,99","3,98","+2,31","0,13"
"2010-02-10","3,97","3,89","3,99","3,89","-2,26","0,44"
"2010-02-11","3,90","3,85","3,95","3,89","+0,00","0,34"
"2010-02-12","3,89","3,88","3,90","3,90","+0,26","0,02"
"2010-02-15","3,89","3,86","3,94","3,94","+1,03","0,11"
"2010-02-16","3,95","3,90","3,97","3,90","-1,02","0,14"
"2010-02-17","3,95","3,91","3,98","3,94","+1,03","0,24"
"2010-02-18","3,95","3,95","4,00","3,99","+1,27","0,46"
"2010-02-19","3,96","3,95","3,97","3,97","-0,50","0,51"
"2010-02-22","3,96","3,95","4,15","4,15","+0,00","0,99"
"2010-02-23","4,14","4,07","4,15","4,12","-0,72","0,72"
"2010-02-24","4,05","4,02","4,12","4,12","+0,00","0,35"
"2010-02-25","4,10","4,05","4,13","4,05","-1,70","0,32"
"2010-02-26","4,06","4,06","4,11","4,10","+1,23","0,14"
"2010-03-01","4,10","4,08","4,13","4,10","+0,00","0,21"
"2010-03-02","4,10","4,06","4,10","4,10","+0,00","0,16"
"2010-03-03","4,15","4,08","4,15","4,10","+0,00","0,10"
"2010-03-04","4,05","4,05","4,12","4,10","+0,00","0,76"
"2010-03-05","4,10","4,07","4,11","4,11","+0,24","0,15"
"2010-03-08","4,10","4,06","4,10","4,08","-0,73","0,18"
"2010-03-09","4,09","4,05","4,10","4,10","+0,49","0,34"
"2010-03-10","4,06","4,06","4,11","4,08","-0,49","4,48"
"2010-03-11","4,08","4,06","4,09","4,07","-0,25","1,44"
"2010-03-12","4,07","4,06","4,08","4,07","+0,00","0,62"
"2010-03-15","3,99","3,99","4,09","4,03","-0,98","0,42"
"2010-03-16","4,05","4,02","4,12","4,09","+1,49","3,58"
"2010-03-17","4,10","4,05","4,11","4,10","+0,24","2,38"
"2010-03-18","4,05","4,05","4,10","4,10","+0,00","1,52"
"2010-03-19","4,10","4,10","4,28","4,25","+3,66","4,59"
"2010-03-22","4,29","4,15","4,35","4,35","+2,35","2,10"
"2010-03-23","4,34","4,34","4,48","4,40","+1,15","4,73"
"2010-03-24","4,35","4,35","4,40","4,37","-0,68","3,30"
"2010-03-25","4,37","4,37","4,72","4,70","+7,55","13,50"
"2010-03-26","4,69","4,60","4,70","4,67","-0,64","3,35"
"2010-03-29","4,69","4,50","4,69","4,58","-1,93","1,39"
"2010-03-30","4,60","4,50","4,60","4,58","+0,00","7,93"
"2010-03-31","4,57","4,52","4,61","4,61","+0,66","0,82"
"2010-04-01","4,58","4,50","4,61","4,61","+0,00","0,72"
"2010-04-06","4,60","4,55","4,61","4,61","+0,00","1,38"
"2010-04-07","4,60","4,54","4,61","4,60","-0,22","0,84"
"2010-04-08","4,53","4,40","4,53","4,48","-2,61","8,29"
"2010-04-09","4,48","4,47","4,55","4,50","+0,45","0,44"
"2010-04-12","4,40","4,40","4,55","4,51","+0,00","0,28"
"2010-04-13","4,40","4,40","4,53","4,51","+0,00","3,22"
"2010-04-14","4,51","4,43","4,60","4,50","-0,22","0,71"
"2010-04-15","4,50","4,47","4,57","4,53","+0,67","0,63"
"2010-04-16","4,54","4,47","4,54","4,50","-0,66","1,00"
"2010-04-19","4,46","4,30","4,46","4,43","-1,56","0,53"
"2010-04-20","4,48","4,35","4,48","4,48","+1,13","0,16"
"2010-04-21","4,43","4,43","4,47","4,47","-0,22","0,08"
"2010-04-22","4,47","4,42","4,47","4,45","-0,45","0,53"
"2010-04-23","4,42","4,42","4,47","4,47","+0,45","0,15"
"2010-04-26","4,47","4,43","4,60","4,56","+2,01","1,08"
"2010-04-27","4,56","4,40","4,56","4,41","-3,29","0,54"
"2010-04-28","4,40","4,26","4,48","4,26","-3,40","0,91"
"2010-04-29","4,28","4,28","4,37","4,28","+0,47","1,15"
"2010-04-30","4,37","4,28","4,37","4,28","+0,00","0,96"
"2010-05-04","4,28","4,20","4,28","4,24","-0,93","0,08"
"2010-05-05","4,20","4,10","4,20","4,14","-2,36","1,08"
"2010-05-06","4,09","3,94","4,19","3,96","-4,35","1,93"
"2010-05-07","3,86","3,84","4,05","3,96","+0,00","0,65"
"2010-05-10","4,01","4,01","4,17","4,11","+3,79","0,28"
"2010-05-11","4,12","4,05","4,12","4,06","-1,22","0,27"
"2010-05-12","4,11","4,06","4,12","4,12","+1,48","0,04"
"2010-05-13","4,13","4,10","4,17","4,12","+0,00","0,21"
"2010-05-14","4,11","4,05","4,11","4,05","-1,70","0,17"
"2010-05-17","4,00","4,00","4,10","4,06","+0,25","1,40"
"2010-05-18","4,09","4,08","4,17","4,15","+2,22","1,36"
"2010-05-19","4,05","3,96","4,07","3,97","-4,34","2,08"
"2010-05-20","3,97","3,80","3,97","3,84","-3,27","1,40"
"2010-05-21","3,87","3,83","3,91","3,84","+0,00","0,69"
"2010-05-24","3,94","3,89","4,02","4,01","+4,43","0,23"
"2010-05-25","3,89","3,89","4,02","4,00","-0,25","0,57"
"2010-05-26","4,02","4,02","4,26","4,26","+6,50","0,56"
"2010-05-27","4,20","4,15","4,30","4,27","+0,23","0,68"
"2010-05-28","4,25","4,25","4,30","4,29","+0,47","0,51"
"2010-05-31","4,14","4,14","4,29","4,28","+0,00","0,14"
"2010-06-01","4,29","4,23","4,29","4,25","-0,70","0,84"
"2010-06-02","4,22","4,21","4,23","4,22","-0,71","0,04"
"2010-06-04","4,28","4,12","4,29","4,18","-0,95","0,15"
"2010-06-07","4,07","4,02","4,19","4,15","-0,72","3,75"
"2010-06-08","4,13","4,10","4,22","4,20","+1,20","1,27"
"2010-06-09","4,22","4,20","4,26","4,26","+1,43","0,15"
"2010-06-10","4,25","4,21","4,30","4,30","+0,94","0,21"
"2010-06-11","4,30","4,29","4,33","4,32","+0,47","0,84"
"2010-06-14","4,32","4,20","4,34","4,30","-0,46","1,91"
"2010-06-15","4,30","4,21","4,32","4,32","+0,47","3,09"
"2010-06-16","4,33","4,27","4,33","4,32","+0,00","0,21"
"2010-06-17","4,30","4,30","4,35","4,30","-0,46","1,39"
"2010-06-18","4,25","4,25","4,25","4,25","-1,16","0,00"
"2010-06-21","4,32","4,30","4,33","4,31","+1,41","0,01"
"2010-06-22","4,32","4,30","4,32","4,30","-0,23","1,27"
"2010-06-23","4,33","4,29","4,33","4,29","-0,23","0,09"
