"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","6,20","6,00","6,20","6,01","+0,00","0,01"
"2010-01-05","6,01","6,01","6,38","6,24","+3,83","0,02"
"2010-01-06","6,32","6,32","6,32","6,32","+1,28","0,00"
"2010-01-07","6,32","6,17","6,32","6,17","-2,37","0,00"
"2010-01-08","6,30","6,13","6,30","6,20","+0,49","0,00"
"2010-01-11","6,25","6,25","6,25","6,25","+0,81","0,00"
"2010-01-12","6,26","6,25","6,26","6,25","+0,00","0,00"
"2010-01-13","6,20","6,20","6,20","6,20","-0,80","0,00"
"2010-01-14","6,18","6,18","6,40","6,40","+3,23","0,03"
"2010-01-15","6,40","6,40","6,40","6,40","+0,00","0,02"
"2010-01-18","6,50","6,40","6,50","6,40","+0,00","0,00"
"2010-01-19","6,47","6,47","6,55","6,55","+2,34","0,03"
"2010-01-20","6,58","6,40","6,70","6,65","+1,53","0,04"
"2010-01-21","6,40","6,40","6,70","6,70","+0,75","0,00"
"2010-01-22","6,80","6,60","6,80","6,60","-1,49","0,07"
"2010-01-25","6,60","6,47","6,60","6,47","-1,97","0,05"
"2010-01-26","6,47","6,31","6,47","6,47","+0,00","0,00"
"2010-01-27","6,47","6,47","6,47","6,47","+0,00","0,00"
"2010-01-28","6,46","6,35","6,46","6,35","-1,85","0,00"
"2010-01-29","6,46","6,46","6,46","6,46","+1,73","0,00"
"2010-02-01","6,64","6,49","6,64","6,49","+0,46","0,02"
"2010-02-02","6,90","6,58","6,90","6,58","+1,39","0,02"
"2010-02-03","6,85","6,17","6,85","6,52","-0,91","0,03"
"2010-02-04","6,84","6,00","6,84","6,00","-7,98","0,09"
"2010-02-05","6,27","5,95","6,41","5,99","-0,17","0,04"
"2010-02-08","6,25","5,98","6,25","6,23","+4,01","0,01"
"2010-02-09","6,21","5,93","6,30","6,30","+1,12","0,02"
"2010-02-10","6,69","6,20","6,69","6,50","+3,17","0,02"
"2010-02-11","6,50","6,50","6,79","6,50","+0,00","0,02"
"2010-02-12","6,79","6,56","6,79","6,56","+0,92","0,02"
"2010-02-15","6,64","6,62","6,64","6,62","+0,91","0,00"
"2010-02-16","6,64","6,28","6,80","6,56","-0,91","0,06"
"2010-02-17","6,64","6,64","6,64","6,64","+1,22","0,00"
"2010-02-18","6,80","6,64","6,80","6,64","+0,00","0,00"
"2010-02-19","6,33","6,33","6,36","6,36","-4,22","0,01"
"2010-02-22","6,63","6,63","6,63","6,63","+0,00","0,00"
"2010-02-23","6,59","6,59","6,59","6,59","-0,60","0,00"
"2010-02-24","6,59","6,59","6,59","6,59","+0,00","0,00"
"2010-02-25","6,59","6,59","6,59","6,59","+0,00","0,00"
"2010-02-26","6,59","6,23","6,59","6,45","-2,12","0,02"
"2010-03-01","6,30","5,92","6,55","6,39","-0,93","0,06"
"2010-03-02","6,07","6,07","6,07","6,07","-5,01","0,00"
"2010-03-03","6,23","6,23","6,23","6,23","+2,64","0,00"
"2010-03-04","6,23","6,23","6,23","6,23","+0,00","0,00"
"2010-03-05","6,23","6,23","6,23","6,23","+0,00","0,00"
"2010-03-08","6,23","6,23","6,23","6,23","+0,00","0,00"
"2010-03-09","6,23","6,23","6,23","6,23","+0,00","0,00"
"2010-03-10","6,39","6,10","6,39","6,10","-2,09","0,00"
"2010-03-11","6,36","6,07","6,36","6,36","+4,26","0,02"
"2010-03-12","6,36","5,85","6,36","6,22","-2,20","0,07"
"2010-03-15","6,20","6,20","6,20","6,20","-0,32","0,00"
"2010-03-16","6,19","6,19","6,19","6,19","-0,16","0,00"
"2010-03-17","6,17","5,98","6,30","6,30","+1,78","0,04"
"2010-03-18","6,28","6,28","6,28","6,28","-0,32","0,00"
"2010-03-19","6,28","6,28","6,28","6,28","+0,00","0,01"
"2010-03-22","6,25","6,25","6,25","6,25","-0,48","0,00"
"2010-03-23","6,24","6,24","6,24","6,24","-0,16","0,00"
"2010-03-24","6,21","6,02","6,24","6,24","+0,00","0,01"
"2010-03-25","6,30","6,30","6,30","6,30","+0,96","0,00"
"2010-03-26","6,25","6,20","6,25","6,25","-0,79","0,02"
"2010-03-29","6,06","6,06","6,48","6,46","+3,36","0,02"
