"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2011-01-17","4,00","3,90","4,20","4,12","+0,00","0,05"
"2011-01-18","4,12","3,90","4,15","4,09","-0,73","0,04"
"2011-01-19","4,00","3,90","4,25","4,00","-2,20","0,11"
"2011-01-20","4,00","3,90","4,20","4,07","+1,75","0,09"
"2011-01-21","4,06","3,89","4,07","4,01","-1,47","0,04"
"2011-01-24","3,90","3,90","4,04","3,96","-1,25","0,41"
"2011-01-25","3,85","3,85","3,98","3,91","-1,26","0,02"
"2011-01-26","3,90","3,80","3,96","3,85","-1,53","0,43"
"2011-01-27","3,88","3,80","4,08","3,94","+2,34","0,14"
"2011-01-28","3,95","3,88","3,98","3,95","+0,25","0,03"
"2011-01-31","4,04","4,01","4,20","4,08","+3,29","0,04"
"2011-02-01","4,08","4,00","4,19","4,09","+0,25","0,05"
"2011-02-02","4,00","3,92","4,09","4,09","+0,00","0,04"
"2011-02-03","4,09","4,08","4,12","4,12","+0,73","0,01"
"2011-02-04","4,01","3,85","4,01","3,99","-3,16","0,09"
"2011-02-07","4,01","3,90","4,01","3,97","+0,00","0,08"
"2011-02-08","3,95","3,90","4,00","4,00","+0,76","0,01"
"2011-02-09","4,10","3,80","4,10","3,98","-0,50","0,02"
"2011-02-10","3,80","3,80","4,00","3,99","+0,25","0,01"
"2011-02-11","3,98","3,82","4,08","4,00","+0,25","0,02"
"2011-02-14","3,99","3,84","3,99","3,95","-1,25","0,02"
"2011-02-15","3,92","3,84","3,95","3,95","+0,00","0,01"
"2011-02-16","3,90","3,90","3,95","3,95","+0,00","0,01"
"2011-02-17","3,87","3,86","3,90","3,90","-1,27","0,01"
"2011-02-18","3,86","3,86","3,97","3,97","+1,79","0,00"
"2011-02-21","3,95","3,95","4,00","4,00","+0,76","0,01"
"2011-02-22","4,00","3,87","4,00","4,00","+0,00","0,01"
"2011-02-23","3,97","3,97","4,00","4,00","+0,00","0,02"
"2011-02-24","3,95","3,95","4,00","4,00","+0,00","0,02"
"2011-02-25","4,04","4,04","4,37","4,22","+5,50","0,10"
"2011-02-28","4,26","4,12","4,26","4,19","-0,71","0,04"
"2011-03-01","4,16","4,16","4,21","4,21","+0,48","0,03"
"2011-03-02","4,16","4,16","4,34","4,20","-0,24","0,11"
"2011-03-03","4,17","4,16","4,28","4,16","-0,95","0,01"
"2011-03-04","4,13","3,96","4,20","4,14","-0,48","0,04"
"2011-03-07","3,91","3,91","4,10","4,10","-0,97","0,00"
"2011-03-08","4,15","4,10","4,35","4,32","+5,37","0,27"
"2011-03-09","4,35","4,04","4,35","4,34","+0,46","0,02"
"2011-03-10","4,36","4,21","4,40","4,40","+1,38","0,06"
"2011-03-11","4,30","4,30","4,40","4,35","-1,14","0,00"
"2011-03-14","4,21","4,20","4,38","4,37","+0,46","0,04"
"2011-03-15","4,14","4,14","4,37","4,37","+0,00","0,01"
"2011-03-16","4,33","4,15","4,35","4,15","-5,03","0,03"
"2011-03-17","4,17","4,12","4,28","4,28","+3,13","0,02"
"2011-03-18","4,34","4,13","4,34","4,13","-3,50","0,00"
"2011-03-21","4,23","4,10","4,23","4,23","+2,42","0,07"
"2011-03-22","4,21","4,11","4,22","4,22","-0,24","0,01"
"2011-03-23","4,18","4,10","4,22","4,11","-2,61","0,12"
"2011-03-24","4,12","4,12","4,22","4,22","+2,68","0,01"
"2011-03-25","4,15","4,15","4,22","4,22","+0,00","0,00"
"2011-03-28","4,20","4,20","4,29","4,29","+0,00","0,01"
