"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2013-07-29","0,12","0,11","0,12","0,11","+0,00","0,01"
"2013-07-30","0,12","0,11","0,12","0,12","+9,09","0,00"
"2013-07-31","0,12","0,10","0,12","0,11","-8,33","0,00"
"2013-08-01","0,11","0,10","0,11","0,10","-9,09","0,01"
"2013-08-02","0,11","0,11","0,11","0,11","+10,00","0,00"
"2013-08-05","0,10","0,10","0,11","0,11","+0,00","0,00"
"2013-08-06","0,10","0,10","0,11","0,11","+0,00","0,01"
"2013-08-07","0,10","0,10","0,11","0,11","+0,00","0,00"
"2013-08-08","0,11","0,10","0,11","0,11","+0,00","0,03"
"2013-08-09","0,11","0,11","0,13","0,13","+18,18","0,09"
"2013-08-12","0,13","0,13","0,14","0,13","+0,00","0,06"
"2013-08-13","0,13","0,12","0,13","0,13","+0,00","0,00"
"2013-08-14","0,13","0,11","0,13","0,12","-7,69","0,03"
"2013-08-16","0,12","0,11","0,12","0,12","+0,00","0,01"
"2013-08-19","0,12","0,11","0,12","0,11","-8,33","0,02"
"2013-08-20","0,11","0,11","0,12","0,12","+9,09","0,06"
"2013-08-21","0,12","0,11","0,12","0,11","-8,33","0,00"
"2013-08-22","0,12","0,11","0,12","0,11","+0,00","0,01"
"2013-08-23","0,12","0,11","0,12","0,12","+9,09","0,03"
"2013-08-26","0,11","0,11","0,13","0,12","+0,00","0,07"
"2013-08-27","0,12","0,11","0,13","0,12","+0,00","0,00"
"2013-08-28","0,12","0,12","0,12","0,12","+0,00","0,00"
"2013-08-29","0,12","0,11","0,13","0,12","+0,00","0,01"
"2013-08-30","0,12","0,11","0,12","0,12","+0,00","0,00"
"2013-09-02","0,11","0,11","0,13","0,12","+0,00","0,04"
"2013-09-03","0,13","0,11","0,13","0,12","+0,00","0,01"
"2013-09-04","0,12","0,11","0,12","0,12","+0,00","0,02"
"2013-09-05","0,12","0,11","0,12","0,12","+0,00","0,03"
"2013-09-06","0,12","0,12","0,12","0,12","+0,00","0,00"
"2013-09-09","0,12","0,12","0,12","0,12","+0,00","0,00"
"2013-09-10","0,12","0,11","0,12","0,11","-8,33","0,01"
"2013-09-11","0,11","0,11","0,12","0,12","+9,09","0,00"
"2013-09-12","0,12","0,11","0,12","0,12","+0,00","0,00"
"2013-09-13","0,12","0,11","0,12","0,12","+0,00","0,01"
"2013-09-16","0,12","0,11","0,12","0,11","-8,33","0,02"
"2013-09-17","0,11","0,10","0,12","0,11","+0,00","0,01"
"2013-09-18","0,12","0,11","0,12","0,11","+0,00","0,00"
"2013-09-19","0,11","0,10","0,11","0,11","+0,00","0,05"
"2013-09-20","0,11","0,10","0,11","0,11","+0,00","0,00"
"2013-09-23","0,10","0,10","0,11","0,11","+0,00","0,00"
"2013-09-24","0,11","0,09","0,11","0,09","-18,18","0,03"
"2013-09-25","0,09","0,09","0,10","0,10","+11,11","0,01"
"2013-09-26","0,10","0,09","0,10","0,09","-10,00","0,01"
"2013-09-27","0,10","0,09","0,10","0,10","+11,11","0,01"
"2013-09-30","0,10","0,09","0,11","0,11","+10,00","0,05"
"2013-10-01","0,11","0,10","0,11","0,11","+0,00","0,00"
"2013-10-02","0,10","0,10","0,11","0,11","+0,00","0,00"
"2013-10-03","0,11","0,10","0,11","0,11","+0,00","0,01"
"2013-10-04","0,11","0,10","0,11","0,11","+0,00","0,01"
"2013-10-07","0,10","0,10","0,11","0,11","+0,00","0,02"
"2013-10-08","0,10","0,09","0,10","0,10","-9,09","0,00"
"2013-10-10","0,10","0,09","0,11","0,11","+10,00","0,02"
"2013-10-11","0,10","0,10","0,11","0,11","+0,00","0,01"
"2013-10-14","0,11","0,10","0,11","0,11","+0,00","0,02"
"2013-10-15","0,11","0,10","0,11","0,10","-9,09","0,01"
"2013-10-16","0,11","0,10","0,11","0,11","+10,00","0,00"
"2013-10-17","0,11","0,10","0,11","0,10","-9,09","0,00"
"2013-10-18","0,10","0,10","0,11","0,11","+10,00","0,00"
"2013-10-21","0,11","0,10","0,11","0,11","+0,00","0,01"
"2013-10-22","0,11","0,11","0,11","0,11","+0,00","0,00"
"2013-10-23","0,11","0,10","0,11","0,11","+0,00","0,00"
"2013-10-24","0,10","0,10","0,11","0,11","+0,00","0,00"
"2013-10-25","0,11","0,11","0,11","0,11","+0,00","0,19"
"2013-10-28","0,11","0,10","0,11","0,11","+0,00","0,02"
"2013-10-29","0,11","0,10","0,11","0,11","+0,00","0,03"
"2013-10-30","0,11","0,11","0,12","0,11","+0,00","0,06"
"2013-10-31","0,12","0,11","0,12","0,12","+9,09","0,02"
"2013-11-04","0,11","0,11","0,12","0,11","+0,00","0,02"
"2013-11-05","0,11","0,10","0,11","0,11","+0,00","0,03"
"2013-11-06","0,12","0,10","0,12","0,11","+0,00","0,00"
"2013-11-07","0,11","0,10","0,11","0,11","+0,00","0,01"
"2013-11-08","0,11","0,11","0,11","0,11","+0,00","0,00"
