"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","4,00","3,90","4,01","4,00","+0,00","4,97"
"2010-01-05","4,04","3,95","4,04","3,96","-1,00","0,03"
"2010-01-06","3,96","3,81","4,00","4,00","+1,01","0,06"
"2010-01-07","3,84","3,84","3,98","3,98","-0,50","0,00"
"2010-01-08","3,86","3,86","3,98","3,98","+0,00","0,13"
"2010-01-11","3,90","3,81","3,92","3,92","-1,51","0,18"
"2010-01-12","3,85","3,76","3,85","3,76","-4,08","0,24"
"2010-01-13","3,82","3,76","3,82","3,80","+1,06","0,11"
"2010-01-14","3,80","3,75","3,88","3,85","+1,32","0,14"
"2010-01-15","3,80","3,80","3,81","3,81","-1,04","0,02"
"2010-01-18","3,80","3,80","3,93","3,80","-0,26","0,04"
"2010-01-19","3,80","3,76","3,80","3,79","-0,26","0,02"
"2010-01-20","3,80","3,80","3,89","3,89","+2,64","0,07"
"2010-01-21","3,90","3,89","3,94","3,89","+0,00","0,04"
"2010-01-22","3,85","3,82","3,85","3,82","-1,80","0,07"
"2010-01-25","3,80","3,79","3,88","3,82","+0,00","0,12"
"2010-01-26","3,75","3,75","3,82","3,76","-1,57","0,17"
"2010-01-27","3,70","3,70","3,75","3,75","-0,27","0,03"
"2010-01-28","3,85","3,78","3,95","3,81","+1,60","0,32"
"2010-01-29","3,78","3,75","3,91","3,80","-0,26","0,15"
"2010-02-02","3,80","3,80","4,05","4,05","+6,58","0,64"
"2010-02-03","4,02","3,99","4,02","4,02","-0,74","1,24"
"2010-02-04","3,99","3,90","3,99","3,90","-2,99","0,01"
"2010-02-05","3,81","3,65","3,81","3,80","-2,56","0,09"
"2010-02-08","3,75","3,75","3,85","3,75","-1,32","10,59"
"2010-02-09","3,82","3,76","3,83","3,83","+2,13","0,15"
"2010-02-10","3,85","3,85","3,87","3,85","+0,52","0,02"
"2010-02-11","3,85","3,85","3,85","3,85","+0,00","0,00"
"2010-02-12","3,77","3,77","3,77","3,77","-2,08","0,02"
"2010-02-15","3,76","3,65","3,77","3,77","+0,00","0,03"
"2010-02-16","3,82","3,78","3,82","3,78","+0,27","0,02"
"2010-02-17","3,78","3,78","3,89","3,89","+2,91","0,07"
"2010-02-18","3,87","3,77","3,95","3,95","+1,54","0,18"
"2010-02-22","3,94","3,94","3,94","3,94","+0,00","0,02"
"2010-02-24","3,85","3,85","3,85","3,85","-2,28","0,17"
"2010-02-25","3,85","3,77","3,85","3,81","-1,04","0,31"
"2010-02-26","3,85","3,85","3,90","3,90","+2,36","0,03"
"2010-03-01","3,85","3,66","3,90","3,90","+0,00","0,13"
"2010-03-02","3,76","3,60","3,76","3,67","-5,90","0,11"
"2010-03-03","3,63","3,36","3,63","3,48","-5,18","0,27"
"2010-03-04","3,55","3,38","3,55","3,45","-0,86","0,08"
"2010-03-05","3,55","3,55","3,59","3,59","+4,06","0,08"
"2010-03-09","3,70","3,65","3,70","3,70","+3,06","0,03"
"2010-03-10","3,65","3,65","3,75","3,75","+1,35","0,02"
"2010-03-11","3,78","3,75","3,85","3,75","+0,00","0,08"
"2010-03-12","3,75","3,75","3,85","3,85","+2,67","0,08"
"2010-03-15","3,85","3,61","4,06","4,00","+3,90","0,36"
"2010-03-16","4,00","3,96","4,28","4,28","+7,00","0,18"
"2010-03-17","4,28","4,26","4,69","4,69","+9,58","0,69"
"2010-03-18","4,67","4,22","4,67","4,34","-7,46","0,15"
"2010-03-19","4,51","4,33","4,52","4,33","-0,23","0,24"
"2010-03-22","4,29","4,29","4,34","4,30","-0,69","0,02"
"2010-03-23","4,32","4,21","4,32","4,21","-2,09","0,07"
"2010-03-24","4,20","4,08","4,35","4,30","+2,14","0,15"
"2010-03-25","4,25","4,25","4,35","4,30","+0,00","0,04"
"2010-03-26","4,35","4,30","4,35","4,30","+0,00","0,05"
"2010-03-29","4,48","4,33","4,48","4,47","+3,95","0,05"
"2010-03-30","4,45","4,40","4,49","4,42","-1,12","0,05"
"2010-03-31","4,45","4,42","4,70","4,70","+6,33","0,15"
"2010-04-01","4,70","4,58","4,70","4,58","-2,55","0,09"
"2010-04-06","4,51","4,50","4,60","4,60","+0,44","0,05"
"2010-04-07","4,60","4,50","4,60","4,58","-0,43","0,02"
"2010-04-08","4,50","4,35","4,58","4,48","-2,18","0,04"
"2010-04-09","4,40","4,36","4,55","4,53","+1,12","0,03"
"2010-04-12","4,50","4,49","4,50","4,49","+0,00","0,01"
"2010-04-13","4,49","4,43","4,55","4,55","+1,34","0,07"
"2010-04-14","4,89","4,80","5,14","4,92","+8,13","1,02"
"2010-04-15","4,98","4,80","4,98","4,95","+0,61","0,16"
"2010-04-16","4,75","4,75","5,02","4,88","-1,41","0,15"
"2010-04-19","4,80","4,51","4,95","4,80","-1,64","0,05"
"2010-04-20","4,88","4,55","4,89","4,89","+1,87","0,10"
"2010-04-21","4,86","4,80","4,86","4,85","-0,82","0,07"
"2010-04-22","4,80","4,57","4,80","4,73","-2,47","0,10"
"2010-04-23","4,60","4,41","4,73","4,57","-3,38","0,10"
"2010-04-26","4,62","4,62","4,82","4,71","+3,06","0,03"
"2010-04-27","4,61","4,60","4,61","4,61","-2,12","0,04"
"2010-04-28","4,60","4,45","4,60","4,54","-1,52","0,13"
"2010-04-29","4,55","4,40","4,55","4,52","-0,44","0,14"
"2010-04-30","4,54","4,36","4,54","4,42","-2,21","0,05"
"2010-05-04","4,49","4,33","4,49","4,48","+1,36","0,03"
"2010-05-05","4,54","4,02","4,54","4,16","-7,14","0,26"
"2010-05-06","4,10","3,80","4,43","4,43","+6,49","0,62"
"2010-05-07","4,20","4,00","4,26","4,26","-3,84","0,07"
"2010-05-10","4,30","4,25","4,39","4,35","+2,11","0,24"
"2010-05-11","4,40","4,00","4,46","4,00","-8,05","0,08"
"2010-05-12","4,07","4,01","4,30","4,11","+2,75","0,05"
"2010-05-13","4,25","4,12","4,25","4,12","+0,24","0,01"
"2010-05-14","4,20","4,00","4,20","4,15","+0,73","0,14"
"2010-05-17","3,98","3,98","4,17","4,06","-2,17","0,03"
"2010-05-18","4,19","4,05","4,19","4,05","-0,25","0,01"
"2010-05-19","4,02","4,02","4,09","4,02","-0,74","0,06"
"2010-05-20","4,00","3,81","4,16","4,16","+3,48","0,11"
"2010-05-21","4,02","4,00","4,16","4,10","-1,44","0,04"
"2010-05-24","4,10","4,10","4,10","4,10","+0,00","2,46"
"2010-05-25","4,00","3,95","4,05","4,05","-1,22","0,01"
"2010-05-26","4,10","4,10","4,30","4,30","+6,17","0,14"
"2010-05-27","4,40","4,25","4,40","4,25","-1,16","0,02"
"2010-05-28","4,30","4,30","4,30","4,30","+1,18","0,01"
"2010-05-31","4,30","4,25","4,49","4,40","+0,00","0,32"
"2010-06-01","4,23","4,23","4,40","4,34","-1,36","0,02"
"2010-06-02","4,49","4,22","4,49","4,30","-0,92","0,08"
"2010-06-04","4,22","4,22","4,38","4,38","+1,86","0,00"
"2010-06-07","4,22","4,04","4,22","4,17","-4,79","0,08"
"2010-06-08","4,10","4,05","4,18","4,18","+0,24","0,01"
"2010-06-09","4,10","4,10","4,18","4,10","-1,91","0,02"
"2010-06-10","4,06","4,06","4,29","4,29","+4,63","0,05"
"2010-06-11","4,22","4,22","4,40","4,33","+0,93","0,04"
"2010-06-14","4,22","4,22","4,40","4,40","+1,62","0,05"
