"data","otw","min","max","zamkniecie","zmiana","obroty mln"
"2010-01-04","70,85","70,85","72,57","72,26","+0,00","1,01"
"2010-01-05","72,57","72,53","73,39","73,39","+1,57","9,31"
"2010-01-06","73,48","73,12","75,20","74,80","+1,92","1,22"
"2010-01-07","74,84","74,39","75,25","75,20","+0,55","5,51"
"2010-01-08","75,75","75,75","77,47","77,11","+2,53","2,12"
"2010-01-11","77,93","77,56","80,42","80,19","+4,00","3,34"
"2010-01-12","81,06","79,83","81,65","80,47","+0,34","58,50"
"2010-01-13","80,28","80,28","81,01","80,47","+0,00","7,48"
"2010-01-14","80,42","80,28","80,74","80,28","-0,23","5,39"
"2010-01-15","80,47","80,28","81,06","80,65","+0,45","0,64"
"2010-01-18","80,65","80,47","81,56","81,19","+0,67","1,67"
"2010-01-19","81,19","80,56","81,19","81,01","-0,22","2,31"
"2010-01-20","80,97","80,47","81,19","80,47","-0,67","4,33"
"2010-01-21","80,47","79,15","80,65","80,42","-0,06","1,14"
"2010-01-22","80,38","79,42","80,38","79,83","-0,73","1,47"
"2010-01-25","79,70","79,24","80,28","79,83","+0,00","1,49"
"2010-01-26","80,74","79,38","81,10","79,83","+0,00","4,54"
"2010-01-27","79,83","79,24","79,83","79,70","-0,17","5,39"
"2010-01-28","79,83","79,47","80,69","79,65","-0,06","14,01"
"2010-01-29","79,00","78,00","81,00","78,50","-1,44","5,27"
"2010-02-01","74,50","74,50","78,00","75,65","-3,63","1,68"
"2010-02-02","75,00","72,50","75,15","73,00","-3,50","2,17"
"2010-02-03","72,85","72,50","74,90","74,50","+2,05","0,99"
"2010-02-04","75,00","72,50","76,15","73,30","-1,61","3,11"
"2010-02-05","72,10","71,00","72,10","71,05","-3,07","2,65"
"2010-02-08","71,00","70,50","72,10","70,55","-0,70","0,87"
"2010-02-09","71,00","70,80","72,55","72,55","+2,83","2,00"
"2010-02-10","73,05","71,55","73,20","72,85","+0,41","0,49"
"2010-02-11","73,95","71,00","73,95","72,50","-0,48","0,33"
"2010-02-12","72,45","71,20","72,55","72,50","+0,00","1,33"
"2010-02-15","72,70","71,60","74,00","74,00","+2,07","0,40"
"2010-02-16","74,10","73,00","74,10","73,50","-0,68","0,52"
"2010-02-17","73,50","72,35","73,90","73,55","+0,07","4,74"
"2010-02-18","73,00","73,00","73,45","73,05","-0,68","0,17"
"2010-02-19","73,00","72,00","73,00","72,85","-0,27","2,42"
"2010-02-22","72,50","71,60","73,00","73,00","+0,00","0,27"
"2010-02-23","72,85","71,70","72,85","72,00","-1,37","0,15"
"2010-02-24","71,80","71,60","72,00","71,90","-0,14","0,32"
"2010-02-25","72,70","70,00","72,70","70,00","-2,64","1,66"
"2010-02-26","69,00","69,00","70,00","69,50","-0,71","3,07"
